Activity,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,24.004108562636915,81.6629044972073,141.9459083283279,1658.257428393499,41.27225385002131,37.044318054055196
9.0,24.69493854117658,96.21066939908484,219.34753195824067,1680.0099135679407,40.78241768806961,38.97757185792876
7.64,20.432279872959747,70.22186092307722,166.138285959921,1659.481440489254,68.55106704106494,30.50179756424201
7.31,20.649488719071464,73.7529301722989,186.69716321886003,1734.329026261897,68.78631715239385,31.187211496060364
7.3,23.618965684868893,97.47564371934149,253.6120181711015,2205.148568188162,82.48599460838025,38.65308479500698
8.54,27.02669076346811,110.7727983396646,226.51769140984507,2373.618827141232,57.83697609947871,46.09113543459306
8.52,24.710272752427773,99.93325394732224,234.21577043824735,2243.200078757755,55.44342537164712,40.91885145834374
8.92,24.559257219053457,99.08342555392399,219.5856103535891,2185.847220949476,54.79148528119404,40.3988848660455
8.92,25.42072813151265,102.69331556873601,244.12837372871044,2366.2645082389454,57.10094172855711,42.945600330301595
8.96,25.152591391550526,109.23209478903168,272.9845261583744,2407.0733585326284,64.38708500597212,42.44054574837605
8.55,25.442880288293395,101.5561951212234,224.18376411110168,2189.8304455223374,55.508668765596745,42.09636548895879
9.22,24.870240865683307,102.5644933517443,302.7899415177045,2321.238151202674,81.96024117338209,41.456725215940544
8.0,26.185668387590873,115.44696345655872,247.9118616511923,2561.2683379364935,69.71204251201577,44.79418593790941
8.11,26.76992012730529,119.2383817359159,301.21482180546195,2575.4050380047615,71.1238473795553,46.40569686676412
7.92,25.439040710344518,114.85176787276721,268.7571019480117,2510.3862637789525,71.30593087055681,43.425395057730924
8.15,24.313891469394264,96.78279668215833,187.56046123515668,2182.781837946296,59.931643194833335,39.62962857673537
5.55,19.513477942059566,60.0652486467841,96.99224083297173,1318.2581580643791,66.69901347796775,27.590390168498885
6.07,19.751254602611326,62.27181449098781,110.30204965320146,1411.319627621447,67.02635098434203,28.34628963197829
6.37,21.070702411277548,81.14098397234284,177.94569187204294,1875.08245454621,79.89135147578962,32.514722410009895
6.7,20.210351997433982,68.39162751389968,148.20648542226868,1581.0945991059612,68.05736267898266,29.80062328878374
2.7,22.052551960385305,70.88264314343814,84.05630868818044,1292.47117710901,26.980444358077946,32.237751982109415
2.87,22.239416663542077,72.76189857336048,98.02277348716156,1387.2635883867922,27.779807506558143,32.88700593106645
4.96,20.432279872959747,70.22186092307722,166.138285959921,1659.481440489254,68.55106704106494,30.50179756424201
2.74,20.210351997433982,68.39162751389968,148.20648542226868,1581.0945991059612,68.05736267898266,29.80062328878374
2.96,22.604004990912365,75.61163234912998,121.36000803108925,1559.6593550119526,30.183247677702344,34.1485017476609
2.98,22.781969850914958,76.72189369078424,130.66199752293383,1639.071634701348,31.351156246550524,34.76208678805114
3.26,23.29984333283908,89.44481138668691,169.16327509368492,1857.0437215373527,51.59277099995083,36.54107547144719
