Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,55.836343007090015,41.27225385002131,1658.257428393499,24.004108562636915
9.0,62.187615209699366,40.78241768806961,1680.0099135679407,24.69493854117658
7.64,49.050505516529704,68.55106704106494,1659.481440489254,20.432279872959747
7.31,50.319267369939276,68.78631715239385,1734.329026261897,20.649488719071464
7.3,60.64109009603223,82.48599460838025,2205.148568188162,23.618965684868893
8.54,66.24740610177557,57.83697609947871,2373.618827141232,27.02669076346811
8.52,61.48285010217771,55.44342537164712,2243.200078757755,24.710272752427773
8.92,61.28827962759615,54.79148528119404,2185.847220949476,24.559257219053457
8.92,62.13603423362555,57.10094172855711,2366.2645082389454,25.42072813151265
8.96,65.44108223757739,64.38708500597212,2407.0733585326284,25.152591391550526
8.55,62.66521148806405,55.508668765596745,2189.8304455223374,25.442880288293395
9.22,62.38552998024147,81.96024117338209,2321.238151202674,24.870240865683307
8.0,68.07917299997499,69.71204251201577,2561.2683379364935,26.185668387590873
8.11,69.30960624897119,71.1238473795553,2575.4050380047615,26.76992012730529
7.92,67.52942290783024,71.30593087055681,2510.3862637789525,25.439040710344518
8.15,60.80658960330297,59.931643194833335,2182.781837946296,24.313891469394264
5.55,44.867260801608516,66.69901347796775,1318.2581580643791,19.513477942059566
6.07,45.89053391180466,67.02635098434203,1411.319627621447,19.751254602611326
6.37,53.51751404340992,79.89135147578962,1875.08245454621,21.070702411277548
6.7,48.27651832589877,68.05736267898266,1581.0945991059612,20.210351997433982
2.7,50.8416677914314,26.980444358077946,1292.47117710901,22.052551960385305
2.87,51.6441609207177,27.779807506558143,1387.2635883867922,22.239416663542077
4.96,49.050505516529704,68.55106704106494,1659.481440489254,20.432279872959747
2.74,48.27651832589877,68.05736267898266,1581.0945991059612,20.210351997433982
2.96,52.58890661196682,30.183247677702344,1559.6593550119526,22.604004990912365
2.98,52.85268849591541,31.351156246550524,1639.071634701348,22.781969850914958
3.26,57.92729620347919,51.59277099995083,1857.0437215373527,23.29984333283908
3.35,48.08112403824545,26.995201522263994,1396.017814949286,20.387858001464778
3.38,50.023166515181856,30.196439655062452,1646.4875643850244,21.028939669036234
3.89,50.3144667804951,31.363856992785948,1721.9000608864555,21.234175598623825
3.22,53.358687733155605,49.795223978181035,1721.9000608864558,21.23417559862383
3.72,54.0887817107883,50.232834464912486,1794.1455737166452,21.435519057835872
4.28,54.95205915376767,51.60085652052105,1930.5427681612057,21.82723356024138
4.77,49.47148394581421,69.14547188958034,1734.329026261897,20.649488719071464
2.96,37.50220281618735,66.31741695436637,1383.8965622132057,17.389834514517673
3.19,48.27651832589877,68.05736267898264,1581.0945991059612,20.210351997433982
3.48,53.55611267954138,30.18262072192864,1559.6593550119526,22.604004990912365
5.31,54.436233474934134,32.40835276461758,1714.8102937901906,22.957196920035898
5.62,54.8541518148425,31.565339535686544,1657.0395026318927,23.278009029568086
4.32,54.46917902125624,39.3035377406941,1640.3029016685364,23.5385225447577
7.92,69.45726764280516,60.70045236520145,2544.1649500341123,28.443887838160077
6.41,68.78147191715351,58.53318913549234,2377.287454929111,27.762678649961813
9.6,76.31664935997044,84.50674547872296,2862.1112562976696,28.904145582868434
8.46,70.81711893956812,62.674004540602176,2736.5762136302865,28.88996379025341
7.82,71.22589421152014,61.7162300106627,2678.7323052893557,28.458517592346503
7.92,62.42598066972487,42.539430620492325,2328.485043831946,26.494803745988076
7.0,66.20827955757666,58.6624989656838,2474.8078854262217,26.51166308567721
6.66,66.20827955757666,58.6624989656838,2474.8078854262217,26.51166308567721
7.44,62.56580792365542,62.91428004223864,2460.093180939183,25.915577641248014
9.31,64.51774330082581,66.0991416479872,2752.4842558933856,26.709738835167403
9.88,67.30211669017416,76.44527825584176,2752.4842558933856,26.709738835167403
9.05,67.46359373330417,76.91389422747474,2798.2473262646413,26.837589613902626
9.28,67.48716417439292,98.36270887971772,2816.446260840241,26.846836616044296
9.28,63.22928489047573,87.7352154449711,2581.1386906111275,26.195381293794885
8.72,63.22928489047573,87.7352154449711,2581.1386906111275,26.195381293794885
8.59,64.29191330995288,107.04196884254202,2696.7564631304745,26.469331933337433
9.06,63.306605735919675,62.732360139299495,2463.6330420148774,26.713221844050675
7.8,63.306605735919675,62.732360139299495,2463.6330420148774,26.713221844050675
9.2,64.60550454311881,106.95324243260687,2696.7564631304745,26.469331933337436
8.97,66.1105816318643,76.39075256128845,2610.3857988661784,26.318649161100172
9.53,63.1227330969079,64.6050021755245,2610.3857988661784,26.318649161100172
9.53,67.48652512614598,76.04844587442685,2658.5959713594066,26.450299516134145
2.46,53.83820455161984,68.9631451691091,1669.9512762162585,22.794799373923777
4.11,53.83820455161984,68.9631451691091,1669.9512762162585,22.794799373923777
4.72,45.898266690101835,91.07509722600032,1447.0675632337625,19.768318297709683
5.1,46.759766695785025,91.31509547751399,1532.326026852494,20.000110085202813
3.27,46.759766695785025,91.31509547751399,1532.326026852494,20.000110085202813
2.14,48.31090636938541,91.67803911061961,1613.0844902161202,20.226650198353994
4.17,46.24369100208818,91.46879190383741,1532.326026852494,20.000110085202813
3.64,53.90666904354346,73.57516001589406,1694.7940377899286,21.622075620274323
6.12,57.90751261259404,82.66197112538774,1956.828255354386,21.84120889357651
7.19,58.453790489045105,82.92632150093552,2020.691797617722,22.031660661953218
6.44,58.453790489045105,82.92632150093552,2020.691797617722,22.031660661953218
5.34,58.12533743900402,83.09553554768473,2020.691797617722,22.031660661953218
7.46,58.662874888800545,83.50037248783107,2082.5978634786384,22.218875451713856
4.48,58.662874888800545,83.50037248783107,2082.5978634786384,22.218875451713856
