Activity,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,98.55208210941986,37.044318054055196,1122.5983339962586,81.6629044972073,24.004108562636915
9.0,146.21731236945502,38.97757185792876,1101.7339396077177,96.21066939908484,24.69493854117658
7.64,114.5039223167868,30.50179756424201,1114.9846323233883,70.22186092307722,20.432279872959747
7.31,127.29549639489386,31.187211496060364,1148.3061461383586,73.7529301722989,20.649488719071464
7.3,160.46762301072576,38.65308479500698,1343.879030010122,97.47564371934149,23.618965684868893
8.54,135.8255312310981,46.09113543459306,1400.6613893408266,110.7727983396646,27.02669076346811
8.52,145.26751142466313,40.91885145834374,1352.2730898297873,99.93325394732224,24.710272752427773
8.92,136.48722300747113,40.3988848660455,1328.521183573048,99.08342555392399,24.559257219053457
8.92,150.45628207737997,42.945600330301595,1399.879031927145,102.69331556873601,25.42072813151265
8.96,165.64934877443773,42.44054574837605,1418.9435314350842,109.23209478903168,25.152591391550526
8.55,138.45793535167564,42.09636548895879,1328.9556137070222,101.5561951212234,25.442880288293395
9.22,188.9746288056574,41.456725215940544,1389.964470003376,102.5644933517443,24.870240865683307
8.0,147.2749458896052,44.79418593790941,1494.0681716378788,115.44696345655872,26.185668387590873
8.11,180.32080332357373,46.40569686676412,1482.4159567252243,119.2383817359159,26.76992012730529
7.92,160.70526668026514,43.425395057730924,1460.127889924978,114.85176787276721,25.439040710344518
8.15,117.58298842042117,39.62962857673537,1345.6440279292674,96.78279668215833,24.313891469394264
5.55,69.80231540895738,27.590390168498885,956.113731426241,60.0652486467841,19.513477942059566
6.07,78.09989182510638,28.34628963197829,1000.6864127172288,62.27181449098781,19.751254602611326
6.37,116.45979521903092,32.514722410009895,1209.6938110896965,81.14098397234284,21.070702411277548
6.7,102.488477458879,29.80062328878374,1079.5427277204933,68.39162751389968,20.210351997433982
2.7,59.0920498409243,32.237751982109415,926.0197891913127,70.88264314343814,22.052551960385305
2.87,68.6324938196261,32.88700593106645,973.3281548424735,72.76189857336048,22.239416663542077
4.96,114.5039223167868,30.50179756424201,1114.9846323233883,70.22186092307722,20.432279872959747
2.74,102.488477458879,29.80062328878374,1079.5427277204933,68.39162751389968,20.210351997433982
2.96,84.26822936537289,34.1485017476609,1056.169750133596,75.61163234912998,22.604004990912365
2.98,90.20954557794674,34.76208678805114,1093.1189070353041,76.72189369078424,22.781969850914958
3.26,111.19002639953064,36.54107547144719,1191.198441279818,89.44481138668691,23.29984333283908
3.35,86.38697580945892,29.780768152450328,976.7679129056453,67.50674099673306,20.387858001464778
3.38,105.86531739014914,31.83931014485081,1095.848899115494,72.45640018314461,21.028939669036234
3.89,110.31326901214473,32.49652561044026,1130.2915857533676,73.61426459932883,21.234175598623825
3.22,106.16046935973073,32.49652561044026,1130.2915857533676,80.39654623178782,21.23417559862383
3.72,110.80368319937297,33.1407103575044,1162.754116548992,82.05820757852317,21.435519057835872
4.28,118.64716374405144,34.39290181854389,1222.735992833348,84.59535739920955,21.82723356024138
4.77,109.59026150345052,31.187211496060364,1148.3061461383586,71.99896889886686,20.649488719071464
2.96,59.91896407419241,24.043104549537688,995.0915662607708,48.50487445092503,17.389834514517673
3.19,100.47456690039236,29.80062328878374,1079.5427277204933,68.39162751389968,20.210351997433982
3.48,94.59301293782798,34.1485017476609,1056.169750133596,78.06362608795469,22.604004990912365
5.31,106.07710621825484,35.3650276984198,1127.7260059278133,80.72641934645682,22.957196920035898
5.62,106.45074324926094,35.96956836577275,1097.1248148797756,81.68457632564423,23.278009029568086
4.32,89.59022484086381,35.87303067110444,1118.7730979405133,78.90166025325449,23.5385225447577
7.92,147.4641919748979,49.76626913804169,1465.6928091013122,118.80551528864306,28.443887838160077
6.41,137.53297430622882,47.58599431145682,1401.0522405142372,115.69943223715491,27.762678649961813
9.6,190.13598200195145,51.838710604238614,1591.4191036771078,136.6085242215873,28.904145582868434
8.46,168.3734353935773,51.43745297854474,1541.196908380198,123.4112854361383,28.88996379025341
7.82,172.13900839010495,50.1808917030178,1520.9429226251582,123.69959322487685,28.458517592346503
7.92,151.65109977514666,45.0275842234513,1380.6830954997342,102.28054132385104,26.494803745988076
7.0,161.70528775600363,45.48542282083349,1442.5126088886118,111.53025459712714,26.51166308567721
6.66,161.70528775600363,45.48542282083349,1442.5126088886118,111.53025459712714,26.51166308567721
7.44,125.14808111134744,43.840096730504605,1454.8102398489439,102.9417041952386,25.915577641248014
9.31,150.54501324959065,46.64385403072951,1566.9281716382966,109.70232301606016,26.709738835167403
9.88,158.95563241367492,46.64385403072951,1566.9281716382966,115.70496910297327,26.709738835167403
9.05,154.1673853020186,47.09492143628654,1584.1200136201023,116.43354284792677,26.837589613902626
9.28,193.64440998355815,47.11641730649733,1595.2739671823515,116.48067960447348,26.846836616044296
9.28,157.49473110969808,44.81678534377495,1506.5904573014693,105.01339771010174,26.195381293794885
8.72,157.49473110969808,44.81678534377495,1506.5904573014693,105.01339771010174,26.195381293794885
