Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,55.836343007090015,41.27225385002131,37.044318054055196,1658.257428393499,98.55208210941986
9.0,62.187615209699366,40.78241768806961,38.97757185792876,1680.0099135679407,146.21731236945502
7.64,49.050505516529704,68.55106704106494,30.50179756424201,1659.481440489254,114.5039223167868
7.31,50.319267369939276,68.78631715239385,31.187211496060364,1734.329026261897,127.29549639489386
7.3,60.64109009603223,82.48599460838025,38.65308479500698,2205.148568188162,160.46762301072576
8.54,66.24740610177557,57.83697609947871,46.09113543459306,2373.618827141232,135.8255312310981
8.52,61.48285010217771,55.44342537164712,40.91885145834374,2243.200078757755,145.26751142466313
8.92,61.28827962759615,54.79148528119404,40.3988848660455,2185.847220949476,136.48722300747113
8.92,62.13603423362555,57.10094172855711,42.945600330301595,2366.2645082389454,150.45628207737997
8.96,65.44108223757739,64.38708500597212,42.44054574837605,2407.0733585326284,165.64934877443773
8.55,62.66521148806405,55.508668765596745,42.09636548895879,2189.8304455223374,138.45793535167564
9.22,62.38552998024147,81.96024117338209,41.456725215940544,2321.238151202674,188.9746288056574
8.0,68.07917299997499,69.71204251201577,44.79418593790941,2561.2683379364935,147.2749458896052
8.11,69.30960624897119,71.1238473795553,46.40569686676412,2575.4050380047615,180.32080332357373
7.92,67.52942290783024,71.30593087055681,43.425395057730924,2510.3862637789525,160.70526668026514
8.15,60.80658960330297,59.931643194833335,39.62962857673537,2182.781837946296,117.58298842042117
5.55,44.867260801608516,66.69901347796775,27.590390168498885,1318.2581580643791,69.80231540895738
6.07,45.89053391180466,67.02635098434203,28.34628963197829,1411.319627621447,78.09989182510638
6.37,53.51751404340992,79.89135147578962,32.514722410009895,1875.08245454621,116.45979521903092
6.7,48.27651832589877,68.05736267898266,29.80062328878374,1581.0945991059612,102.488477458879
2.7,50.8416677914314,26.980444358077946,32.237751982109415,1292.47117710901,59.0920498409243
2.87,51.6441609207177,27.779807506558143,32.88700593106645,1387.2635883867922,68.6324938196261
4.96,49.050505516529704,68.55106704106494,30.50179756424201,1659.481440489254,114.5039223167868
2.74,48.27651832589877,68.05736267898266,29.80062328878374,1581.0945991059612,102.488477458879
