Activity,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,81.6629044972073,37.044318054055196,1658.257428393499,141.9459083283279,24.004108562636915,41.27225385002131
9.0,96.21066939908484,38.97757185792876,1680.0099135679407,219.34753195824067,24.69493854117658,40.78241768806961
7.64,70.22186092307722,30.50179756424201,1659.481440489254,166.138285959921,20.432279872959747,68.55106704106494
7.31,73.7529301722989,31.187211496060364,1734.329026261897,186.69716321886003,20.649488719071464,68.78631715239385
7.3,97.47564371934149,38.65308479500698,2205.148568188162,253.6120181711015,23.618965684868893,82.48599460838025
8.54,110.7727983396646,46.09113543459306,2373.618827141232,226.51769140984507,27.02669076346811,57.83697609947871
8.52,99.93325394732224,40.91885145834374,2243.200078757755,234.21577043824735,24.710272752427773,55.44342537164712
8.92,99.08342555392399,40.3988848660455,2185.847220949476,219.5856103535891,24.559257219053457,54.79148528119404
8.92,102.69331556873601,42.945600330301595,2366.2645082389454,244.12837372871044,25.42072813151265,57.10094172855711
8.96,109.23209478903168,42.44054574837605,2407.0733585326284,272.9845261583744,25.152591391550526,64.38708500597212
8.55,101.5561951212234,42.09636548895879,2189.8304455223374,224.18376411110168,25.442880288293395,55.508668765596745
9.22,102.5644933517443,41.456725215940544,2321.238151202674,302.7899415177045,24.870240865683307,81.96024117338209
8.0,115.44696345655872,44.79418593790941,2561.2683379364935,247.9118616511923,26.185668387590873,69.71204251201577
8.11,119.2383817359159,46.40569686676412,2575.4050380047615,301.21482180546195,26.76992012730529,71.1238473795553
7.92,114.85176787276721,43.425395057730924,2510.3862637789525,268.7571019480117,25.439040710344518,71.30593087055681
8.15,96.78279668215833,39.62962857673537,2182.781837946296,187.56046123515668,24.313891469394264,59.931643194833335
5.55,60.0652486467841,27.590390168498885,1318.2581580643791,96.99224083297173,19.513477942059566,66.69901347796775
6.07,62.27181449098781,28.34628963197829,1411.319627621447,110.30204965320146,19.751254602611326,67.02635098434203
6.37,81.14098397234284,32.514722410009895,1875.08245454621,177.94569187204294,21.070702411277548,79.89135147578962
6.7,68.39162751389968,29.80062328878374,1581.0945991059612,148.20648542226868,20.210351997433982,68.05736267898266
2.7,70.88264314343814,32.237751982109415,1292.47117710901,84.05630868818044,22.052551960385305,26.980444358077946
2.87,72.76189857336048,32.88700593106645,1387.2635883867922,98.02277348716156,22.239416663542077,27.779807506558143
4.96,70.22186092307722,30.50179756424201,1659.481440489254,166.138285959921,20.432279872959747,68.55106704106494
2.74,68.39162751389968,29.80062328878374,1581.0945991059612,148.20648542226868,20.210351997433982,68.05736267898266
2.96,75.61163234912998,34.1485017476609,1559.6593550119526,121.36000803108925,22.604004990912365,30.183247677702344
2.98,76.72189369078424,34.76208678805114,1639.071634701348,130.66199752293383,22.781969850914958,31.351156246550524
3.26,89.44481138668691,36.54107547144719,1857.0437215373527,169.16327509368492,23.29984333283908,51.59277099995083
3.35,67.50674099673306,29.780768152450328,1396.017814949286,121.04081199349312,20.387858001464778,26.995201522263994
3.38,72.45640018314461,31.83931014485081,1646.4875643850244,153.37281275576655,21.028939669036234,30.196439655062452
3.89,73.61426459932883,32.49652561044026,1721.9000608864555,161.28230624319806,21.234175598623825,31.363856992785948
3.22,80.39654623178782,32.49652561044026,1721.9000608864558,157.82616760210936,21.23417559862383,49.795223978181035
3.72,82.05820757852317,33.1407103575044,1794.1455737166452,166.5949013168648,21.435519057835872,50.232834464912486
4.28,84.59535739920955,34.39290181854389,1930.5427681612057,181.73092041830697,21.82723356024138,51.60085652052105
4.77,71.99896889886686,31.187211496060364,1734.329026261897,160.99562615912632,20.649488719071464,69.14547188958034
2.96,48.50487445092503,24.043104549537688,1383.8965622132057,82.667864670593,17.389834514517673,66.31741695436637
3.19,68.39162751389968,29.80062328878374,1581.0945991059612,145.66501969171293,20.210351997433982,68.05736267898264
3.48,78.06362608795469,34.1485017476609,1559.6593550119526,136.64135706597216,22.604004990912365,30.18262072192864
5.31,80.72641934645682,35.3650276984198,1714.8102937901906,155.98150446186267,22.957196920035898,32.40835276461758
5.62,81.68457632564423,35.96956836577275,1657.0395026318927,156.55558951435958,23.278009029568086,31.565339535686544
4.32,78.90166025325449,35.87303067110444,1640.3029016685364,127.57707194979496,23.5385225447577,39.3035377406941
7.92,118.80551528864306,49.76626913804169,2544.1649500341123,251.57078758149916,28.443887838160077,60.70045236520145
6.41,115.69943223715491,47.58599431145682,2377.287454929111,232.2242560961422,27.762678649961813,58.53318913549234
9.6,136.6085242215873,51.838710604238614,2862.1112562976696,331.91902746739646,28.904145582868434,84.50674547872296
8.46,123.4112854361383,51.43745297854474,2736.5762136302865,290.12683048946565,28.88996379025341,62.674004540602176
7.82,123.69959322487685,50.1808917030178,2678.7323052893557,296.38314798760183,28.458517592346503,61.7162300106627
7.92,102.28054132385104,45.0275842234513,2328.485043831946,246.03757209230736,26.494803745988076,42.539430620492325
7.0,111.53025459712714,45.48542282083349,2474.8078854262217,270.35673587055237,26.51166308567721,58.6624989656838
6.66,111.53025459712714,45.48542282083349,2474.8078854262217,270.35673587055237,26.51166308567721,58.6624989656838
7.44,102.9417041952386,43.840096730504605,2460.093180939183,205.24682836943217,25.915577641248014,62.91428004223864
9.31,109.70232301606016,46.64385403072951,2752.4842558933856,252.14665399725098,26.709738835167403,66.0991416479872
9.88,115.70496910297327,46.64385403072951,2752.4842558933856,266.29450462350235,26.709738835167403,76.44527825584176
9.05,116.43354284792677,47.09492143628654,2798.2473262646413,261.669333436164,26.837589613902626,76.91389422747474
9.28,116.48067960447348,47.11641730649733,2816.446260840241,317.2605203329924,26.846836616044296,98.36270887971772
9.28,105.01339771010174,44.81678534377495,2581.1386906111275,255.93031831326337,26.195381293794885,87.7352154449711
8.72,105.01339771010174,44.81678534377495,2581.1386906111275,255.93031831326337,26.195381293794885,87.7352154449711
8.59,107.44858964462959,45.77263828708152,2696.7564631304745,349.5903096988002,26.469331933337433,107.04196884254202
9.06,104.78096272997306,45.409119902283955,2463.6330420148774,211.43612675873882,26.713221844050675,62.732360139299495
7.8,104.78096272997306,45.409119902283955,2463.6330420148774,211.43612675873882,26.713221844050675,62.732360139299495
