Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,41.27225385002131,24.004108562636915,81.6629044972073,37.044318054055196,1658.257428393499,141.9459083283279
9.0,40.78241768806961,24.69493854117658,96.21066939908484,38.97757185792876,1680.0099135679407,219.34753195824067
7.64,68.55106704106494,20.432279872959747,70.22186092307722,30.50179756424201,1659.481440489254,166.138285959921
7.31,68.78631715239385,20.649488719071464,73.7529301722989,31.187211496060364,1734.329026261897,186.69716321886003
7.3,82.48599460838025,23.618965684868893,97.47564371934149,38.65308479500698,2205.148568188162,253.6120181711015
8.54,57.83697609947871,27.02669076346811,110.7727983396646,46.09113543459306,2373.618827141232,226.51769140984507
8.52,55.44342537164712,24.710272752427773,99.93325394732224,40.91885145834374,2243.200078757755,234.21577043824735
8.92,54.79148528119404,24.559257219053457,99.08342555392399,40.3988848660455,2185.847220949476,219.5856103535891
8.92,57.10094172855711,25.42072813151265,102.69331556873601,42.945600330301595,2366.2645082389454,244.12837372871044
8.96,64.38708500597212,25.152591391550526,109.23209478903168,42.44054574837605,2407.0733585326284,272.9845261583744
8.55,55.508668765596745,25.442880288293395,101.5561951212234,42.09636548895879,2189.8304455223374,224.18376411110168
9.22,81.96024117338209,24.870240865683307,102.5644933517443,41.456725215940544,2321.238151202674,302.7899415177045
8.0,69.71204251201577,26.185668387590873,115.44696345655872,44.79418593790941,2561.2683379364935,247.9118616511923
8.11,71.1238473795553,26.76992012730529,119.2383817359159,46.40569686676412,2575.4050380047615,301.21482180546195
7.92,71.30593087055681,25.439040710344518,114.85176787276721,43.425395057730924,2510.3862637789525,268.7571019480117
8.15,59.931643194833335,24.313891469394264,96.78279668215833,39.62962857673537,2182.781837946296,187.56046123515668
5.55,66.69901347796775,19.513477942059566,60.0652486467841,27.590390168498885,1318.2581580643791,96.99224083297173
6.07,67.02635098434203,19.751254602611326,62.27181449098781,28.34628963197829,1411.319627621447,110.30204965320146
6.37,79.89135147578962,21.070702411277548,81.14098397234284,32.514722410009895,1875.08245454621,177.94569187204294
6.7,68.05736267898266,20.210351997433982,68.39162751389968,29.80062328878374,1581.0945991059612,148.20648542226868
2.7,26.980444358077946,22.052551960385305,70.88264314343814,32.237751982109415,1292.47117710901,84.05630868818044
2.87,27.779807506558143,22.239416663542077,72.76189857336048,32.88700593106645,1387.2635883867922,98.02277348716156
4.96,68.55106704106494,20.432279872959747,70.22186092307722,30.50179756424201,1659.481440489254,166.138285959921
2.74,68.05736267898266,20.210351997433982,68.39162751389968,29.80062328878374,1581.0945991059612,148.20648542226868
2.96,30.183247677702344,22.604004990912365,75.61163234912998,34.1485017476609,1559.6593550119526,121.36000803108925
2.98,31.351156246550524,22.781969850914958,76.72189369078424,34.76208678805114,1639.071634701348,130.66199752293383
3.26,51.59277099995083,23.29984333283908,89.44481138668691,36.54107547144719,1857.0437215373527,169.16327509368492
3.35,26.995201522263994,20.387858001464778,67.50674099673306,29.780768152450328,1396.017814949286,121.04081199349312
3.38,30.196439655062452,21.028939669036234,72.45640018314461,31.83931014485081,1646.4875643850244,153.37281275576655
3.89,31.363856992785948,21.234175598623825,73.61426459932883,32.49652561044026,1721.9000608864555,161.28230624319806
