Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,41.27225385002131,24.004108562636915,1658.257428393499,81.6629044972073,141.9459083283279,37.044318054055196
9.0,40.78241768806961,24.69493854117658,1680.0099135679407,96.21066939908484,219.34753195824067,38.97757185792876
7.64,68.55106704106494,20.432279872959747,1659.481440489254,70.22186092307722,166.138285959921,30.50179756424201
7.31,68.78631715239385,20.649488719071464,1734.329026261897,73.7529301722989,186.69716321886003,31.187211496060364
7.3,82.48599460838025,23.618965684868893,2205.148568188162,97.47564371934149,253.6120181711015,38.65308479500698
8.54,57.83697609947871,27.02669076346811,2373.618827141232,110.7727983396646,226.51769140984507,46.09113543459306
8.52,55.44342537164712,24.710272752427773,2243.200078757755,99.93325394732224,234.21577043824735,40.91885145834374
8.92,54.79148528119404,24.559257219053457,2185.847220949476,99.08342555392399,219.5856103535891,40.3988848660455
8.92,57.10094172855711,25.42072813151265,2366.2645082389454,102.69331556873601,244.12837372871044,42.945600330301595
8.96,64.38708500597212,25.152591391550526,2407.0733585326284,109.23209478903168,272.9845261583744,42.44054574837605
8.55,55.508668765596745,25.442880288293395,2189.8304455223374,101.5561951212234,224.18376411110168,42.09636548895879
9.22,81.96024117338209,24.870240865683307,2321.238151202674,102.5644933517443,302.7899415177045,41.456725215940544
8.0,69.71204251201577,26.185668387590873,2561.2683379364935,115.44696345655872,247.9118616511923,44.79418593790941
8.11,71.1238473795553,26.76992012730529,2575.4050380047615,119.2383817359159,301.21482180546195,46.40569686676412
7.92,71.30593087055681,25.439040710344518,2510.3862637789525,114.85176787276721,268.7571019480117,43.425395057730924
8.15,59.931643194833335,24.313891469394264,2182.781837946296,96.78279668215833,187.56046123515668,39.62962857673537
5.55,66.69901347796775,19.513477942059566,1318.2581580643791,60.0652486467841,96.99224083297173,27.590390168498885
6.07,67.02635098434203,19.751254602611326,1411.319627621447,62.27181449098781,110.30204965320146,28.34628963197829
6.37,79.89135147578962,21.070702411277548,1875.08245454621,81.14098397234284,177.94569187204294,32.514722410009895
6.7,68.05736267898266,20.210351997433982,1581.0945991059612,68.39162751389968,148.20648542226868,29.80062328878374
2.7,26.980444358077946,22.052551960385305,1292.47117710901,70.88264314343814,84.05630868818044,32.237751982109415
2.87,27.779807506558143,22.239416663542077,1387.2635883867922,72.76189857336048,98.02277348716156,32.88700593106645
4.96,68.55106704106494,20.432279872959747,1659.481440489254,70.22186092307722,166.138285959921,30.50179756424201
2.74,68.05736267898266,20.210351997433982,1581.0945991059612,68.39162751389968,148.20648542226868,29.80062328878374
2.96,30.183247677702344,22.604004990912365,1559.6593550119526,75.61163234912998,121.36000803108925,34.1485017476609
2.98,31.351156246550524,22.781969850914958,1639.071634701348,76.72189369078424,130.66199752293383,34.76208678805114
3.26,51.59277099995083,23.29984333283908,1857.0437215373527,89.44481138668691,169.16327509368492,36.54107547144719
3.35,26.995201522263994,20.387858001464778,1396.017814949286,67.50674099673306,121.04081199349312,29.780768152450328
3.38,30.196439655062452,21.028939669036234,1646.4875643850244,72.45640018314461,153.37281275576655,31.83931014485081
3.89,31.363856992785948,21.234175598623825,1721.9000608864555,73.61426459932883,161.28230624319806,32.49652561044026
3.22,49.795223978181035,21.23417559862383,1721.9000608864558,80.39654623178782,157.82616760210936,32.49652561044026
3.72,50.232834464912486,21.435519057835872,1794.1455737166452,82.05820757852317,166.5949013168648,33.1407103575044
4.28,51.60085652052105,21.82723356024138,1930.5427681612057,84.59535739920955,181.73092041830697,34.39290181854389
4.77,69.14547188958034,20.649488719071464,1734.329026261897,71.99896889886686,160.99562615912632,31.187211496060364
