Activity,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,37.044318054055196,141.9459083283279,1658.257428393499,41.27225385002131,24.004108562636915,81.6629044972073
9.0,38.97757185792876,219.34753195824067,1680.0099135679407,40.78241768806961,24.69493854117658,96.21066939908484
7.64,30.50179756424201,166.138285959921,1659.481440489254,68.55106704106494,20.432279872959747,70.22186092307722
7.31,31.187211496060364,186.69716321886003,1734.329026261897,68.78631715239385,20.649488719071464,73.7529301722989
7.3,38.65308479500698,253.6120181711015,2205.148568188162,82.48599460838025,23.618965684868893,97.47564371934149
8.54,46.09113543459306,226.51769140984507,2373.618827141232,57.83697609947871,27.02669076346811,110.7727983396646
8.52,40.91885145834374,234.21577043824735,2243.200078757755,55.44342537164712,24.710272752427773,99.93325394732224
8.92,40.3988848660455,219.5856103535891,2185.847220949476,54.79148528119404,24.559257219053457,99.08342555392399
8.92,42.945600330301595,244.12837372871044,2366.2645082389454,57.10094172855711,25.42072813151265,102.69331556873601
8.96,42.44054574837605,272.9845261583744,2407.0733585326284,64.38708500597212,25.152591391550526,109.23209478903168
8.55,42.09636548895879,224.18376411110168,2189.8304455223374,55.508668765596745,25.442880288293395,101.5561951212234
9.22,41.456725215940544,302.7899415177045,2321.238151202674,81.96024117338209,24.870240865683307,102.5644933517443
8.0,44.79418593790941,247.9118616511923,2561.2683379364935,69.71204251201577,26.185668387590873,115.44696345655872
8.11,46.40569686676412,301.21482180546195,2575.4050380047615,71.1238473795553,26.76992012730529,119.2383817359159
7.92,43.425395057730924,268.7571019480117,2510.3862637789525,71.30593087055681,25.439040710344518,114.85176787276721
8.15,39.62962857673537,187.56046123515668,2182.781837946296,59.931643194833335,24.313891469394264,96.78279668215833
5.55,27.590390168498885,96.99224083297173,1318.2581580643791,66.69901347796775,19.513477942059566,60.0652486467841
6.07,28.34628963197829,110.30204965320146,1411.319627621447,67.02635098434203,19.751254602611326,62.27181449098781
