Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,2668.46223557841,55.836343007090015,380.75086812680667,301.3499999999999,298.36068984,1658.257428393499,3965.385526119835,146.30089999999998,57.92706976236028,269.2561360659322,127.05139518999997,82.56727108676455,1122.5983339962586,6014.1709999999985,24.004108562636915,81.6629044972073
9.0,2839.2021770149195,62.187615209699366,628.4647591733835,393.4861999999999,399.72824663999995,1680.0099135679407,4381.833280793953,163.7514,71.72114188754168,421.3194367158121,148.66076701999998,105.02349143668306,1101.7339396077177,6562.225599999998,24.69493854117658,96.21066939908484
7.64,2530.4588124896004,49.050505516529704,428.44481789443364,238.42499999999995,260.24555816,1659.481440489254,3710.545956333448,109.92129999999999,51.461518398282365,304.81551060752173,156.34935581999997,75.39910408071142,1114.9846323233883,5772.2676999999985,20.432279872959747,70.22186092307722
7.31,2746.975416584827,50.319267369939276,493.07788905840687,264.435,282.47367271999997,1734.329026261897,4106.236764288257,116.42379999999999,52.65354408486567,343.6938193509517,162.21306158,78.18703203724944,1148.3061461383586,6276.270199999998,20.649488719071464,73.7529301722989
7.3,3619.321004921604,60.64109009603223,699.0221455538546,447.5759999999999,657.8430293199999,2205.148568188162,5812.647541007195,183.01649999999998,105.69417557341862,447.97672904429015,288.01664399000003,159.03959070619246,1343.879030010122,10179.667799999997,23.618965684868893,97.47564371934149
8.54,3675.2048462017765,66.24740610177557,612.5542518861757,579.156,727.4414055599998,2373.618827141232,6110.916161369422,247.11249999999993,105.04548299758798,374.6907906880165,275.90773209,159.8881473060451,1400.6613893408266,12238.2732,27.02669076346811,110.7727983396646
8.52,3623.1384430364737,61.48285010217771,636.256268261373,477.97199999999987,658.0925665200002,2243.200078757755,5895.985188522907,201.19869999999995,104.4937859992049,400.87714434331554,244.87801539,156.52564206980463,1352.2730898297873,10722.867999999997,24.710272752427773,99.93325394732224
8.92,3596.9420917097605,61.28827962759615,604.2436839540127,464.96699999999987,640.6441877999999,2185.847220949476,5809.17956885966,194.69619999999995,104.31186349045801,381.1923685037444,236.40060083,155.5205158208182,1328.521183573048,10218.865499999998,24.559257219053457,99.08342555392399
8.92,3687.664924575597,62.13603423362555,662.0187055984071,519.4859999999999,706.6368994,2366.2645082389454,6114.991505409595,223.44529999999995,104.8533212301897,414.96619938563794,268.45134428,158.9672497138528,1399.879031927145,11974.233,25.42072813151265,102.69331556873601
8.96,4118.102306273063,65.44108223757739,823.8816532307743,556.002,873.7315709999998,2407.0733585326284,6815.2397803429485,220.70619999999994,124.85814374163368,520.4291093516167,303.82246843,194.63500506260536,1418.9435314350842,12234.8755,25.152591391550526,109.23209478903168
8.55,3650.3849024850315,62.66521148806405,623.7953098324994,482.51099999999985,659.6263474,2189.8304455223374,5887.248114816845,206.52979999999994,108.15229549287595,391.3829379994046,240.52402551,160.28132433343328,1328.9556137070222,10350.885599999998,25.442880288293395,101.5561951212234
9.22,3733.836316848946,62.38552998024147,815.8655582153875,504.28799999999984,734.0889702399999,2321.238151202674,6169.05951530134,207.85509999999996,108.03495815148254,513.6592680866952,302.45776264,166.2883943479743,1389.964470003376,11319.6929,24.870240865683307,102.5644933517443
8.0,4327.866225232816,68.07917299997499,726.9677232730112,619.0026000000001,950.3311864799996,2561.2683379364935,7322.342744794522,243.83839999999995,129.6800892576781,439.73070707413405,338.51581983999995,206.38168295634296,1494.0681716378788,13574.208500000002,26.185668387590873,115.44696345655872
8.11,4245.994731975482,69.30960624897119,859.7767797022084,661.1130000000002,1033.2419151199997,2575.4050380047615,7259.780058300045,261.28889999999996,130.31255857231224,517.424678439041,361.25084707999997,210.2004699045632,1482.4159567252243,14122.263100000002,26.76992012730529,119.2383817359159
7.92,4208.701959855615,67.52942290783024,781.1675900893554,612.5610000000001,1017.3534449199997,2510.3862637789525,7136.190148192137,233.71119999999993,130.69831946298717,473.68183772905587,351.4167150099999,210.85433038283895,1460.127889924978,13242.880500000003,25.439040710344518,114.85176787276721
8.15,3673.329393472428,60.80658960330297,530.9691408158914,440.5067999999999,668.9364868399998,2182.781837946296,5863.854551316469,186.48729999999998,108.18642583895642,339.25558801932203,245.84982003000002,162.7768453352415,1345.6440279292674,9914.1709,24.313891469394264,96.78279668215833
5.55,2022.4448637099583,44.867260801608516,222.75514367316921,170.90099999999995,186.86191704000004,1318.2581580643791,2784.572969298883,83.9113,46.89676520120246,165.01789338712737,124.93721341999998,64.57136466536652,956.113731426241,3756.2577000000006,19.513477942059566,60.0652486467841
