Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,2668.46223557841,301.3499999999999,380.75086812680667,98.55208210941986,298.36068984,3965.385526119835,146.30089999999998,1298.602980597656,57.92706976236028,269.2561360659322,127.05139518999997,32.82789831009999,6014.1709999999985,1122.5983339962586,24.004108562636915,81.6629044972073,37.044318054055196
9.0,2839.2021770149195,393.4861999999999,628.4647591733835,146.21731236945502,399.72824663999995,4381.833280793953,163.7514,2382.9307214179685,71.72114188754168,421.3194367158121,148.66076701999998,28.139996218638522,6562.225599999998,1101.7339396077177,24.69493854117658,96.21066939908484,38.97757185792876
7.64,2530.4588124896004,238.42499999999995,428.44481789443364,114.5039223167868,260.24555816,3710.545956333448,109.92129999999999,1399.5618880000002,51.461518398282365,304.81551060752173,156.34935581999997,62.94270230227651,5772.2676999999985,1114.9846323233883,20.432279872959747,70.22186092307722,30.50179756424201
7.31,2746.975416584827,264.435,493.07788905840687,127.29549639489386,282.47367271999997,4106.236764288257,116.42379999999999,1691.2365320625,52.65354408486567,343.6938193509517,162.21306158,62.955818067585916,6276.270199999998,1148.3061461383586,20.649488719071464,73.7529301722989,31.187211496060364
7.3,3619.321004921604,447.5759999999999,699.0221455538546,160.46762301072576,657.8430293199999,5812.647541007195,183.01649999999998,3066.9944992931155,105.69417557341862,447.97672904429015,288.01664399000003,65.83090651106703,10179.667799999997,1343.879030010122,23.618965684868893,97.47564371934149,38.65308479500698
8.54,3675.2048462017765,579.156,612.5542518861757,135.8255312310981,727.4414055599998,6110.916161369422,247.11249999999993,3084.6520283516384,105.04548299758798,374.6907906880165,275.90773209,36.27120042543326,12238.2732,1400.6613893408266,27.02669076346811,110.7727983396646,46.09113543459306
8.52,3623.1384430364737,477.97199999999987,636.256268261373,145.26751142466313,658.0925665200002,5895.985188522907,201.19869999999995,2913.722255681102,104.4937859992049,400.87714434331554,244.87801539,35.563691280198974,10722.867999999997,1352.2730898297873,24.710272752427773,99.93325394732224,40.91885145834374
8.92,3596.9420917097605,464.96699999999987,604.2436839540127,136.48722300747113,640.6441877999999,5809.17956885966,194.69619999999995,2729.3012414498535,104.31186349045801,381.1923685037444,236.40060083,35.402394182423244,10218.865499999998,1328.521183573048,24.559257219053457,99.08342555392399,40.3988848660455
8.92,3687.664924575597,519.4859999999999,662.0187055984071,150.45628207737997,706.6368994,6114.991505409595,223.44529999999995,3140.007850068009,104.8533212301897,414.96619938563794,268.45134428,35.950941969016014,11974.233,1399.879031927145,25.42072813151265,102.69331556873601,42.945600330301595
8.96,4118.102306273063,556.002,823.8816532307743,165.64934877443773,873.7315709999998,6815.2397803429485,220.70619999999994,3900.808433836276,124.85814374163368,520.4291093516167,303.82246843,39.97666786951465,12234.8755,1418.9435314350842,25.152591391550526,109.23209478903168,42.44054574837605
