Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,2668.46223557841,380.75086812680667,14694.437399999997,301.3499999999999,55.836343007090015,41.27225385002131,1658.257428393499,3965.385526119835,1298.602980597656,269.2561360659322,127.05139518999997,32.82789831009999,82.56727108676455,1122.5983339962586,6014.1709999999985,24.004108562636915,81.6629044972073
9.0,2839.2021770149195,628.4647591733835,17604.845,393.4861999999999,62.187615209699366,40.78241768806961,1680.0099135679407,4381.833280793953,2382.9307214179685,421.3194367158121,148.66076701999998,28.139996218638522,105.02349143668306,1101.7339396077177,6562.225599999998,24.69493854117658,96.21066939908484
7.64,2530.4588124896004,428.44481789443364,12833.766999999998,238.42499999999995,49.050505516529704,68.55106704106494,1659.481440489254,3710.545956333448,1399.5618880000002,304.81551060752173,156.34935581999997,62.94270230227651,75.39910408071142,1114.9846323233883,5772.2676999999985,20.432279872959747,70.22186092307722
7.31,2746.975416584827,493.07788905840687,14849.776999999998,264.435,50.319267369939276,68.78631715239385,1734.329026261897,4106.236764288257,1691.2365320625,343.6938193509517,162.21306158,62.955818067585916,78.18703203724944,1148.3061461383586,6276.270199999998,20.649488719071464,73.7529301722989
7.3,3619.321004921604,699.0221455538546,26354.504,447.5759999999999,60.64109009603223,82.48599460838025,2205.148568188162,5812.647541007195,3066.9944992931155,447.97672904429015,288.01664399000003,65.83090651106703,159.03959070619246,1343.879030010122,10179.667799999997,23.618965684868893,97.47564371934149
8.54,3675.2048462017765,612.5542518861757,31253.992000000002,579.156,66.24740610177557,57.83697609947871,2373.618827141232,6110.916161369422,3084.6520283516384,374.6907906880165,275.90773209,36.27120042543326,159.8881473060451,1400.6613893408266,12238.2732,27.02669076346811,110.7727983396646
8.52,3623.1384430364737,636.256268261373,27789.507999999998,477.97199999999987,61.48285010217771,55.44342537164712,2243.200078757755,5895.985188522907,2913.722255681102,400.87714434331554,244.87801539,35.563691280198974,156.52564206980463,1352.2730898297873,10722.867999999997,24.710272752427773,99.93325394732224
8.92,3596.9420917097605,604.2436839540127,26781.502999999997,464.96699999999987,61.28827962759615,54.79148528119404,2185.847220949476,5809.17956885966,2729.3012414498535,381.1923685037444,236.40060083,35.402394182423244,155.5205158208182,1328.521183573048,10218.865499999998,24.559257219053457,99.08342555392399
8.92,3687.664924575597,662.0187055984071,30505.958000000002,519.4859999999999,62.13603423362555,57.10094172855711,2366.2645082389454,6114.991505409595,3140.007850068009,414.96619938563794,268.45134428,35.950941969016014,158.9672497138528,1399.879031927145,11974.233,25.42072813151265,102.69331556873601
8.96,4118.102306273063,823.8816532307743,33837.53799999999,556.002,65.44108223757739,64.38708500597212,2407.0733585326284,6815.2397803429485,3900.808433836276,520.4291093516167,303.82246843,39.97666786951465,194.63500506260536,1418.9435314350842,12234.8755,25.152591391550526,109.23209478903168
8.55,3650.3849024850315,623.7953098324994,27297.403999999995,482.51099999999985,62.66521148806405,55.508668765596745,2189.8304455223374,5887.248114816845,2848.7208421904,391.3829379994046,240.52402551,35.96496158590133,160.28132433343328,1328.9556137070222,10350.885599999998,25.442880288293395,101.5561951212234
9.22,3733.836316848946,815.8655582153875,29983.321999999996,504.28799999999984,62.38552998024147,81.96024117338209,2321.238151202674,6169.05951530134,3798.7249245568237,513.6592680866952,302.45776264,64.51736070064428,166.2883943479743,1389.964470003376,11319.6929,24.870240865683307,102.5644933517443
8.0,4327.866225232816,726.9677232730112,38539.4268,619.0026000000001,68.07917299997499,69.71204251201577,2561.2683379364935,7322.342744794522,3744.354908849396,439.73070707413405,338.51581983999995,42.71547425024511,206.38168295634296,1494.0681716378788,13574.208500000002,26.185668387590873,115.44696345655872
8.11,4245.994731975482,859.7767797022084,39294.235,661.1130000000002,69.30960624897119,71.1238473795553,2575.4050380047615,7259.780058300045,4513.931980554596,517.424678439041,361.25084707999997,43.07840966127201,210.2004699045632,1482.4159567252243,14122.263100000002,26.76992012730529,119.2383817359159
7.92,4208.701959855615,781.1675900893554,37377.454,612.5610000000001,67.52942290783024,71.30593087055681,2510.3862637789525,7136.190148192137,3989.978754332734,473.68183772905587,351.4167150099999,43.34423583035612,210.85433038283895,1460.127889924978,13242.880500000003,25.439040710344518,114.85176787276721
