Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,55.836343007090015,380.75086812680667,14694.437399999997,301.3499999999999,500.8623182792969,37.044318054055196,1658.257428393499,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,269.2561360659322,127.05139518999997,82.56727108676455,6014.1709999999985,24.004108562636915,41.27225385002131
9.0,62.187615209699366,628.4647591733835,17604.845,393.4861999999999,846.226733185547,38.97757185792876,1680.0099135679407,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,421.3194367158121,148.66076701999998,105.02349143668306,6562.225599999998,24.69493854117658,40.78241768806961
7.64,49.050505516529704,428.44481789443364,12833.766999999998,238.42499999999995,569.4400800000001,30.50179756424201,1659.481440489254,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,304.81551060752173,156.34935581999997,75.39910408071142,5772.2676999999985,20.432279872959747,68.55106704106494
7.31,50.319267369939276,493.07788905840687,14849.776999999998,264.435,662.31948146875,31.187211496060364,1734.329026261897,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,343.6938193509517,162.21306158,78.18703203724944,6276.270199999998,20.649488719071464,68.78631715239385
7.3,60.64109009603223,699.0221455538546,26354.504,447.5759999999999,1137.1787448707198,38.65308479500698,2205.148568188162,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,447.97672904429015,288.01664399000003,159.03959070619246,10179.667799999997,23.618965684868893,82.48599460838025
8.54,66.24740610177557,612.5542518861757,31253.992000000002,579.156,1172.6578587694028,46.09113543459306,2373.618827141232,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,374.6907906880165,275.90773209,159.8881473060451,12238.2732,27.02669076346811,57.83697609947871
8.52,61.48285010217771,636.256268261373,27789.507999999998,477.97199999999987,1096.8716246386896,40.91885145834374,2243.200078757755,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,400.87714434331554,244.87801539,156.52564206980463,10722.867999999997,24.710272752427773,55.44342537164712
8.92,61.28827962759615,604.2436839540127,26781.502999999997,464.96699999999987,1014.8934958177413,40.3988848660455,2185.847220949476,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,381.1923685037444,236.40060083,155.5205158208182,10218.865499999998,24.559257219053457,54.79148528119404
8.92,62.13603423362555,662.0187055984071,30505.958000000002,519.4859999999999,1191.2622766668464,42.945600330301595,2366.2645082389454,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,414.96619938563794,268.45134428,158.9672497138528,11974.233,25.42072813151265,57.10094172855711
8.96,65.44108223757739,823.8816532307743,33837.53799999999,556.002,1355.1486629861904,42.44054574837605,2407.0733585326284,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,520.4291093516167,303.82246843,194.63500506260536,12234.8755,25.152591391550526,64.38708500597212
8.55,62.66521148806405,623.7953098324994,27297.403999999995,482.51099999999985,1053.9797880480837,42.09636548895879,2189.8304455223374,5887.248114816845,206.52979999999994,224.18376411110168,2848.7208421904,391.3829379994046,240.52402551,160.28132433343328,10350.885599999998,25.442880288293395,55.508668765596745
9.22,62.38552998024147,815.8655582153875,29983.321999999996,504.28799999999984,1424.0706510176346,41.456725215940544,2321.238151202674,6169.05951530134,207.85509999999996,302.7899415177045,3798.7249245568237,513.6592680866952,302.45776264,166.2883943479743,11319.6929,24.870240865683307,81.96024117338209
