Activity,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS
6.11,380.75086812680667,55.836343007090015,301.3499999999999,98.55208210941986,41.27225385002131,298.36068984,37.044318054055196,1658.257428393499,141.9459083283279,1298.602980597656,127.05139518999997,32.82789831009999,82.56727108676455,1122.5983339962586,24.004108562636915,81.6629044972073,2668.46223557841,14694.437399999997
9.0,628.4647591733835,62.187615209699366,393.4861999999999,146.21731236945502,40.78241768806961,399.72824663999995,38.97757185792876,1680.0099135679407,219.34753195824067,2382.9307214179685,148.66076701999998,28.139996218638522,105.02349143668306,1101.7339396077177,24.69493854117658,96.21066939908484,2839.2021770149195,17604.845
7.64,428.44481789443364,49.050505516529704,238.42499999999995,114.5039223167868,68.55106704106494,260.24555816,30.50179756424201,1659.481440489254,166.138285959921,1399.5618880000002,156.34935581999997,62.94270230227651,75.39910408071142,1114.9846323233883,20.432279872959747,70.22186092307722,2530.4588124896004,12833.766999999998
7.31,493.07788905840687,50.319267369939276,264.435,127.29549639489386,68.78631715239385,282.47367271999997,31.187211496060364,1734.329026261897,186.69716321886003,1691.2365320625,162.21306158,62.955818067585916,78.18703203724944,1148.3061461383586,20.649488719071464,73.7529301722989,2746.975416584827,14849.776999999998
7.3,699.0221455538546,60.64109009603223,447.5759999999999,160.46762301072576,82.48599460838025,657.8430293199999,38.65308479500698,2205.148568188162,253.6120181711015,3066.9944992931155,288.01664399000003,65.83090651106703,159.03959070619246,1343.879030010122,23.618965684868893,97.47564371934149,3619.321004921604,26354.504
8.54,612.5542518861757,66.24740610177557,579.156,135.8255312310981,57.83697609947871,727.4414055599998,46.09113543459306,2373.618827141232,226.51769140984507,3084.6520283516384,275.90773209,36.27120042543326,159.8881473060451,1400.6613893408266,27.02669076346811,110.7727983396646,3675.2048462017765,31253.992000000002
8.52,636.256268261373,61.48285010217771,477.97199999999987,145.26751142466313,55.44342537164712,658.0925665200002,40.91885145834374,2243.200078757755,234.21577043824735,2913.722255681102,244.87801539,35.563691280198974,156.52564206980463,1352.2730898297873,24.710272752427773,99.93325394732224,3623.1384430364737,27789.507999999998
8.92,604.2436839540127,61.28827962759615,464.96699999999987,136.48722300747113,54.79148528119404,640.6441877999999,40.3988848660455,2185.847220949476,219.5856103535891,2729.3012414498535,236.40060083,35.402394182423244,155.5205158208182,1328.521183573048,24.559257219053457,99.08342555392399,3596.9420917097605,26781.502999999997
8.92,662.0187055984071,62.13603423362555,519.4859999999999,150.45628207737997,57.10094172855711,706.6368994,42.945600330301595,2366.2645082389454,244.12837372871044,3140.007850068009,268.45134428,35.950941969016014,158.9672497138528,1399.879031927145,25.42072813151265,102.69331556873601,3687.664924575597,30505.958000000002
8.96,823.8816532307743,65.44108223757739,556.002,165.64934877443773,64.38708500597212,873.7315709999998,42.44054574837605,2407.0733585326284,272.9845261583744,3900.808433836276,303.82246843,39.97666786951465,194.63500506260536,1418.9435314350842,25.152591391550526,109.23209478903168,4118.102306273063,33837.53799999999
8.55,623.7953098324994,62.66521148806405,482.51099999999985,138.45793535167564,55.508668765596745,659.6263474,42.09636548895879,2189.8304455223374,224.18376411110168,2848.7208421904,240.52402551,35.96496158590133,160.28132433343328,1328.9556137070222,25.442880288293395,101.5561951212234,3650.3849024850315,27297.403999999995
9.22,815.8655582153875,62.38552998024147,504.28799999999984,188.9746288056574,81.96024117338209,734.0889702399999,41.456725215940544,2321.238151202674,302.7899415177045,3798.7249245568237,302.45776264,64.51736070064428,166.2883943479743,1389.964470003376,24.870240865683307,102.5644933517443,3733.836316848946,29983.321999999996
8.0,726.9677232730112,68.07917299997499,619.0026000000001,147.2749458896052,69.71204251201577,950.3311864799996,44.79418593790941,2561.2683379364935,247.9118616511923,3744.354908849396,338.51581983999995,42.71547425024511,206.38168295634296,1494.0681716378788,26.185668387590873,115.44696345655872,4327.866225232816,38539.4268
8.11,859.7767797022084,69.30960624897119,661.1130000000002,180.32080332357373,71.1238473795553,1033.2419151199997,46.40569686676412,2575.4050380047615,301.21482180546195,4513.931980554596,361.25084707999997,43.07840966127201,210.2004699045632,1482.4159567252243,26.76992012730529,119.2383817359159,4245.994731975482,39294.235
7.92,781.1675900893554,67.52942290783024,612.5610000000001,160.70526668026514,71.30593087055681,1017.3534449199997,43.425395057730924,2510.3862637789525,268.7571019480117,3989.978754332734,351.4167150099999,43.34423583035612,210.85433038283895,1460.127889924978,25.439040710344518,114.85176787276721,4208.701959855615,37377.454
8.15,530.9691408158914,60.80658960330297,440.5067999999999,117.58298842042117,59.931643194833335,668.9364868399998,39.62962857673537,2182.781837946296,187.56046123515668,2333.5438293020256,245.84982003000002,39.997661469858066,162.7768453352415,1345.6440279292674,24.313891469394264,96.78279668215833,3673.329393472428,26363.810799999996
5.55,222.75514367316921,44.867260801608516,170.90099999999995,69.80231540895738,66.69901347796775,186.86191704000004,27.590390168498885,1318.2581580643791,96.99224083297173,634.51852475,124.93721341999998,62.771937706528256,64.57136466536652,956.113731426241,19.513477942059566,60.0652486467841,2022.4448637099583,8101.306999999999
6.07,262.28831124236524,45.89053391180466,183.90599999999995,78.09989182510638,67.02635098434203,196.68203816000002,28.34628963197829,1411.319627621447,110.30204965320146,774.8945950000001,131.46413805999998,62.79769274989507,65.69307603380621,1000.6864127172288,19.751254602611326,62.27181449098781,2174.5479444079765,9109.312
6.37,492.12455270232607,53.51751404340992,313.9559999999999,116.45979521903092,79.89135147578962,538.58197084,32.514722410009895,1875.08245454621,177.94569187204294,1848.1658432351685,237.61801106000004,65.5316645716761,151.23736019322632,1209.6938110896965,21.070702411277548,81.14098397234284,3321.86414980736,19189.361999999997
6.7,375.91092316112685,48.27651832589877,225.41999999999996,102.488477458879,68.05736267898266,245.00578216,29.80062328878374,1581.0945991059612,148.20648542226868,1206.5652112500002,148.16205853999998,62.895624578552926,72.9021049021589,1079.5427277204933,20.210351997433982,68.39162751389968,2389.454288194701,11825.761999999999
2.7,211.4240758782761,50.8416677914314,223.38,59.0920498409243,26.980444358077946,191.53701944,32.237751982109415,1292.47117710901,84.05630868818044,654.6577929375,79.09121726999999,19.693317693691252,61.33693720619342,926.0197891913127,22.052551960385305,70.88264314343814,2169.194037976688,9560.108
2.87,250.05974984728348,51.6441609207177,236.385,68.6324938196261,27.779807506558143,201.35714055999998,32.88700593106645,1387.2635883867922,98.02277348716156,792.513849125,85.61814190999999,19.951691409703784,62.51670952531182,973.3281548424735,22.239416663542077,72.76189857336048,2303.1622874137324,10568.113
4.96,428.44481789443364,49.050505516529704,238.42499999999995,114.5039223167868,68.55106704106494,260.24555816,30.50179756424201,1659.481440489254,166.138285959921,1399.5618880000002,156.34935581999997,62.94270230227651,75.39910408071142,1114.9846323233883,20.432279872959747,70.22186092307722,2530.4588124896004,12833.766999999998
2.74,375.91092316112685,48.27651832589877,225.41999999999996,102.488477458879,68.05736267898266,245.00578216,29.80062328878374,1581.0945991059612,148.20648542226868,1206.5652112500002,148.16205853999998,62.895624578552926,72.9021049021589,1079.5427277204933,20.210351997433982,68.39162751389968,2389.454288194701,11825.761999999999
2.96,310.30269407516727,52.58890661196682,262.395,84.26822936537289,30.183247677702344,233.80466055999997,34.1485017476609,1559.6593550119526,121.36000803108925,1033.3052710625002,102.28285374999999,20.885643775381038,67.3252764329194,1056.169750133596,22.604004990912365,75.61163234912998,2509.403606865237,12584.123
2.98,332.832286201804,52.85268849591541,275.4,90.20954557794674,31.351156246550524,250.77176231999997,34.76208678805114,1639.071634701348,130.66199752293383,1136.103819761719,110.76026830999999,21.341192735168484,69.3760171738867,1093.1189070353041,22.781969850914958,76.72189369078424,2562.4884972759487,13592.127999999999
3.26,482.1569669461345,57.92729620347919,366.4349999999999,111.19002639953064,51.59277099995083,543.25707324,36.54107547144719,1857.0437215373527,169.16327509368492,1860.1639068105317,191.77201491,34.681583716637356,149.88494870834913,1191.198441279818,23.29984333283908,89.44481138668691,3379.303457356439,20648.162999999997
3.35,318.6058564011808,48.08112403824545,214.76099999999997,86.38697580945892,26.995201522263994,197.24572863999998,29.780768152450328,1396.017814949286,121.04081199349312,964.8382893906253,84.28270183,19.112253753329828,61.77424734199726,976.7679129056453,20.387858001464778,67.50674099673306,2286.492847393357,10421.289999999999
3.38,407.37799897858184,50.023166515181856,253.77599999999995,105.86531739014914,30.196439655062452,239.41070807999995,31.83931014485081,1646.4875643850244,153.37281275576655,1351.1966441406255,107.47433830999998,20.371573844756206,67.77818955287671,1095.848899115494,21.028939669036234,72.45640018314461,2598.6653853654225,13445.305
3.89,426.7504136739306,50.3144667804951,266.78099999999995,110.31326901214473,31.363856992785948,256.37780984,32.49652561044026,1721.9000608864555,161.28230624319806,1454.64867925,115.95175286999998,20.849618462369687,69.81562784368623,1130.2915857533676,21.234175598623825,73.61426459932883,2648.2677968530515,14453.31
3.22,454.818573303691,53.358687733155605,303.2969999999999,106.16046935973073,49.795223978181035,490.82191731999995,32.49652561044026,1721.9000608864558,157.82616760210936,1618.8048157693486,173.73865435,34.08345978185739,146.19876830438946,1130.2915857533676,21.23417559862383,80.39654623178782,3270.049566730981,17784.89
3.72,477.3925927247277,54.0887817107883,316.3019999999999,110.80368319937297,50.232834464912486,500.53937676,33.1407103575044,1794.1455737166452,166.5949013168648,1751.5948545962522,180.26557899,34.17063116042957,146.72356411020505,1162.754116548992,21.435519057835872,82.05820757852317,3331.5521490827355,18792.894999999997
4.28,513.8852313145782,54.95205915376767,342.3119999999999,118.64716374405144,51.60085652052105,532.98689676,34.39290181854389,1930.5427681612057,181.73092041830697,1985.1049298107296,196.93029083000002,34.500968411276254,148.8351611619915,1222.735992833348,21.82723356024138,84.59535739920955,3435.906182311889,20808.905
4.77,411.946729436374,49.47148394581421,255.96899999999994,109.59026150345052,69.14547188958034,269.3692276,31.187211496060364,1734.329026261897,160.99562615912632,1392.3549854101564,165.16234509999995,63.0053714858271,74.67762571607261,1148.3061461383586,20.649488719071464,71.99896889886686,2429.1079210219814,13349.667999999998
2.96,164.5088636724865,37.50220281618735,130.81499999999997,59.91896407419241,66.31741695436637,164.95627296,24.043104549537688,1383.8965622132057,82.667864670593,462.90594600000003,121.24517936999999,62.6969993107102,59.32319258469782,995.0915662607708,17.389834514517673,48.50487445092503,1971.998800906446,7684.635
3.19,363.75611121682203,48.27651832589877,225.41999999999996,100.47456690039236,68.05736267898264,245.00578215999997,29.80062328878374,1581.0945991059612,145.66501969171293,1178.0660585000003,148.16205854,62.895624578552926,72.90125023098373,1079.5427277204933,20.210351997433982,68.39162751389968,2389.454288194701,11825.761999999999
3.48,360.4035864030962,53.55611267954138,277.89899999999994,94.59301293782798,30.18262072192864,249.68088455999998,34.1485017476609,1559.6593550119526,136.64135706597216,1215.7508955625,102.31606238999998,20.879563521739176,70.05337700820817,1056.169750133596,22.604004990912365,78.06362608795469,2497.4442679333442,13284.562999999998
5.31,412.18613063213184,54.436233474934134,303.9089999999999,106.07710621825484,32.40835276461758,281.87827496,35.3650276984198,1714.8102937901906,155.98150446186267,1459.351733640625,118.98077422999998,21.73718563014107,74.66000507740327,1127.7260059278133,22.957196920035898,80.72641934645682,2675.957377334459,15300.572999999999
5.62,413.59051181184145,54.8541518148425,308.9069999999999,106.45074324926094,31.565339535686544,271.96930488,35.96956836577275,1657.0395026318927,156.55558951435958,1464.6196832500002,115.24238862999997,21.31482198842864,71.99693381047052,1097.1248148797756,23.278009029568086,81.68457632564423,2577.785552694551,14685.443000000001
4.32,338.35839195601795,54.46917902125624,283.6997999999999,89.59022484086381,39.3035377406941,291.42675904,35.87303067110444,1640.3029016685364,127.57707194979496,1123.9330681289066,120.21919043,30.71518325305349,82.7925786351545,1118.7730979405133,23.5385225447577,78.90166025325449,2709.6563025648984,14357.321399999997
7.92,677.9362269770118,69.45726764280516,668.7629999999999,147.4641919748979,60.70045236520145,819.8413183599998,49.76626913804169,2544.1649500341123,251.57078758149916,3656.7194939480746,313.72852255,37.091674165474096,165.64346841460736,1465.6928091013122,28.443887838160077,118.80551528864306,3810.7356328001256,36010.248999999996
6.41,633.5067930159504,68.78147191715351,614.244,137.53297430622882,58.53318913549234,753.8486067599998,47.58599431145682,2377.287454929111,232.2242560961422,3275.138915977901,281.6777791,36.57706435723219,162.33854436949946,1401.0522405142372,27.762678649961813,115.69943223715491,3725.979965129382,32285.793999999998
9.6,985.1636484878428,76.31664935997044,848.3340000000004,190.13598200195145,84.50674547872296,1417.3355386799992,51.838710604238614,2862.1112562976696,331.91902746739646,5770.015192986763,479.22713645999977,48.97382022713539,254.87135532163518,1591.4191036771078,28.904145582868434,136.6085242215873,4716.672265789521,50429.884
8.46,783.038400364614,70.81711893956812,733.7880000000001,168.3734353935773,62.674004540602176,895.8798556399997,51.43745297854474,2736.5762136302865,290.12683048946565,4415.175079316972,344.73435471,37.554341242065156,170.03257440735416,1541.196908380198,28.88996379025341,123.4112854361383,3994.784955636237,41050.27399999999
7.82,810.0901971454301,71.22589421152014,720.7830000000001,172.13900839010495,61.7162300106627,878.2108880399998,50.1808917030178,2678.7323052893557,296.38314798760183,4534.078908423103,329.3815317399999,37.33221820732259,169.78308982363728,1520.9429226251582,28.458517592346503,123.69959322487685,3989.5351990037357,40042.269
7.92,646.5352962399834,62.42598066972487,518.0579999999999,151.65109977514666,42.539430620492325,499.16309688,45.0275842234513,2328.485043831946,246.03757209230736,3052.751063492891,214.16926478,25.57052973954584,97.4552256082092,1380.6830954997342,26.494803745988076,102.28054132385104,3296.870383458111,28206.18
