Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,2668.46223557841,301.3499999999999,380.75086812680667,98.55208210941986,41.27225385002131,298.36068984,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,57.92706976236028,127.05139518999997,32.82789831009999,82.56727108676455,1122.5983339962586,81.6629044972073
9.0,2839.2021770149195,393.4861999999999,628.4647591733835,146.21731236945502,40.78241768806961,399.72824663999995,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,71.72114188754168,148.66076701999998,28.139996218638522,105.02349143668306,1101.7339396077177,96.21066939908484
7.64,2530.4588124896004,238.42499999999995,428.44481789443364,114.5039223167868,68.55106704106494,260.24555816,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,51.461518398282365,156.34935581999997,62.94270230227651,75.39910408071142,1114.9846323233883,70.22186092307722
7.31,2746.975416584827,264.435,493.07788905840687,127.29549639489386,68.78631715239385,282.47367271999997,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,52.65354408486567,162.21306158,62.955818067585916,78.18703203724944,1148.3061461383586,73.7529301722989
7.3,3619.321004921604,447.5759999999999,699.0221455538546,160.46762301072576,82.48599460838025,657.8430293199999,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,105.69417557341862,288.01664399000003,65.83090651106703,159.03959070619246,1343.879030010122,97.47564371934149
8.54,3675.2048462017765,579.156,612.5542518861757,135.8255312310981,57.83697609947871,727.4414055599998,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,105.04548299758798,275.90773209,36.27120042543326,159.8881473060451,1400.6613893408266,110.7727983396646
8.52,3623.1384430364737,477.97199999999987,636.256268261373,145.26751142466313,55.44342537164712,658.0925665200002,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,104.4937859992049,244.87801539,35.563691280198974,156.52564206980463,1352.2730898297873,99.93325394732224
8.92,3596.9420917097605,464.96699999999987,604.2436839540127,136.48722300747113,54.79148528119404,640.6441877999999,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,104.31186349045801,236.40060083,35.402394182423244,155.5205158208182,1328.521183573048,99.08342555392399
8.92,3687.664924575597,519.4859999999999,662.0187055984071,150.45628207737997,57.10094172855711,706.6368994,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,104.8533212301897,268.45134428,35.950941969016014,158.9672497138528,1399.879031927145,102.69331556873601
8.96,4118.102306273063,556.002,823.8816532307743,165.64934877443773,64.38708500597212,873.7315709999998,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,124.85814374163368,303.82246843,39.97666786951465,194.63500506260536,1418.9435314350842,109.23209478903168
