Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,301.3499999999999,3965.385526119835,24.004108562636915,32.82789831009999,82.56727108676455,98.55208210941986,14694.437399999997,55.836343007090015,141.9459083283279,57.92706976236028,146.30089999999998,298.36068984,1658.257428393499,269.2561360659322,41.27225385002131,1298.602980597656,37.044318054055196,81.6629044972073
9.0,393.4861999999999,4381.833280793953,24.69493854117658,28.139996218638522,105.02349143668306,146.21731236945502,17604.845,62.187615209699366,219.34753195824067,71.72114188754168,163.7514,399.72824663999995,1680.0099135679407,421.3194367158121,40.78241768806961,2382.9307214179685,38.97757185792876,96.21066939908484
7.64,238.42499999999995,3710.545956333448,20.432279872959747,62.94270230227651,75.39910408071142,114.5039223167868,12833.766999999998,49.050505516529704,166.138285959921,51.461518398282365,109.92129999999999,260.24555816,1659.481440489254,304.81551060752173,68.55106704106494,1399.5618880000002,30.50179756424201,70.22186092307722
7.31,264.435,4106.236764288257,20.649488719071464,62.955818067585916,78.18703203724944,127.29549639489386,14849.776999999998,50.319267369939276,186.69716321886003,52.65354408486567,116.42379999999999,282.47367271999997,1734.329026261897,343.6938193509517,68.78631715239385,1691.2365320625,31.187211496060364,73.7529301722989
7.3,447.5759999999999,5812.647541007195,23.618965684868893,65.83090651106703,159.03959070619246,160.46762301072576,26354.504,60.64109009603223,253.6120181711015,105.69417557341862,183.01649999999998,657.8430293199999,2205.148568188162,447.97672904429015,82.48599460838025,3066.9944992931155,38.65308479500698,97.47564371934149
8.54,579.156,6110.916161369422,27.02669076346811,36.27120042543326,159.8881473060451,135.8255312310981,31253.992000000002,66.24740610177557,226.51769140984507,105.04548299758798,247.11249999999993,727.4414055599998,2373.618827141232,374.6907906880165,57.83697609947871,3084.6520283516384,46.09113543459306,110.7727983396646
8.52,477.97199999999987,5895.985188522907,24.710272752427773,35.563691280198974,156.52564206980463,145.26751142466313,27789.507999999998,61.48285010217771,234.21577043824735,104.4937859992049,201.19869999999995,658.0925665200002,2243.200078757755,400.87714434331554,55.44342537164712,2913.722255681102,40.91885145834374,99.93325394732224
8.92,464.96699999999987,5809.17956885966,24.559257219053457,35.402394182423244,155.5205158208182,136.48722300747113,26781.502999999997,61.28827962759615,219.5856103535891,104.31186349045801,194.69619999999995,640.6441877999999,2185.847220949476,381.1923685037444,54.79148528119404,2729.3012414498535,40.3988848660455,99.08342555392399
8.92,519.4859999999999,6114.991505409595,25.42072813151265,35.950941969016014,158.9672497138528,150.45628207737997,30505.958000000002,62.13603423362555,244.12837372871044,104.8533212301897,223.44529999999995,706.6368994,2366.2645082389454,414.96619938563794,57.10094172855711,3140.007850068009,42.945600330301595,102.69331556873601
8.96,556.002,6815.2397803429485,25.152591391550526,39.97666786951465,194.63500506260536,165.64934877443773,33837.53799999999,65.44108223757739,272.9845261583744,124.85814374163368,220.70619999999994,873.7315709999998,2407.0733585326284,520.4291093516167,64.38708500597212,3900.808433836276,42.44054574837605,109.23209478903168
8.55,482.51099999999985,5887.248114816845,25.442880288293395,35.96496158590133,160.28132433343328,138.45793535167564,27297.403999999995,62.66521148806405,224.18376411110168,108.15229549287595,206.52979999999994,659.6263474,2189.8304455223374,391.3829379994046,55.508668765596745,2848.7208421904,42.09636548895879,101.5561951212234
9.22,504.28799999999984,6169.05951530134,24.870240865683307,64.51736070064428,166.2883943479743,188.9746288056574,29983.321999999996,62.38552998024147,302.7899415177045,108.03495815148254,207.85509999999996,734.0889702399999,2321.238151202674,513.6592680866952,81.96024117338209,3798.7249245568237,41.456725215940544,102.5644933517443
8.0,619.0026000000001,7322.342744794522,26.185668387590873,42.71547425024511,206.38168295634296,147.2749458896052,38539.4268,68.07917299997499,247.9118616511923,129.6800892576781,243.83839999999995,950.3311864799996,2561.2683379364935,439.73070707413405,69.71204251201577,3744.354908849396,44.79418593790941,115.44696345655872
8.11,661.1130000000002,7259.780058300045,26.76992012730529,43.07840966127201,210.2004699045632,180.32080332357373,39294.235,69.30960624897119,301.21482180546195,130.31255857231224,261.28889999999996,1033.2419151199997,2575.4050380047615,517.424678439041,71.1238473795553,4513.931980554596,46.40569686676412,119.2383817359159
7.92,612.5610000000001,7136.190148192137,25.439040710344518,43.34423583035612,210.85433038283895,160.70526668026514,37377.454,67.52942290783024,268.7571019480117,130.69831946298717,233.71119999999993,1017.3534449199997,2510.3862637789525,473.68183772905587,71.30593087055681,3989.978754332734,43.425395057730924,114.85176787276721
8.15,440.5067999999999,5863.854551316469,24.313891469394264,39.997661469858066,162.7768453352415,117.58298842042117,26363.810799999996,60.80658960330297,187.56046123515668,108.18642583895642,186.48729999999998,668.9364868399998,2182.781837946296,339.25558801932203,59.931643194833335,2333.5438293020256,39.62962857673537,96.78279668215833
5.55,170.90099999999995,2784.572969298883,19.513477942059566,62.771937706528256,64.57136466536652,69.80231540895738,8101.306999999999,44.867260801608516,96.99224083297173,46.89676520120246,83.9113,186.86191704000004,1318.2581580643791,165.01789338712737,66.69901347796775,634.51852475,27.590390168498885,60.0652486467841
6.07,183.90599999999995,3020.421197858835,19.751254602611326,62.79769274989507,65.69307603380621,78.09989182510638,9109.312,45.89053391180466,110.30204965320146,47.32677369129971,90.4138,196.68203816000002,1411.319627621447,191.33662181293448,67.02635098434203,774.8945950000001,28.34628963197829,62.27181449098781
6.37,313.9559999999999,5037.869539088423,21.070702411277548,65.5316645716761,151.23736019322632,116.45979521903092,19189.361999999997,53.51751404340992,177.94569187204294,103.94848537465445,129.42879999999997,538.58197084,1875.08245454621,330.62922011513666,79.89135147578962,1848.1658432351685,32.514722410009895,81.14098397234284
6.7,225.41999999999996,3499.148492708619,20.210351997433982,62.895624578552926,72.9021049021589,102.488477458879,11825.761999999999,48.27651832589877,148.20648542226868,50.12069178884418,103.41879999999999,245.00578216,1581.0945991059612,268.13718967640284,68.05736267898266,1206.5652112500002,29.80062328878374,68.39162751389968
2.7,223.38,3054.0234077924156,22.052551960385305,19.693317693691252,61.33693720619342,59.0920498409243,9560.108,50.8416677914314,84.05630868818044,43.69684029735141,107.4246,191.53701944,1292.47117710901,152.49627499743224,26.980444358077946,654.6577929375,32.237751982109415,70.88264314343814
2.87,236.385,3270.4979080361754,22.239416663542077,19.951691409703784,62.51670952531182,68.6324938196261,10568.113,51.6441609207177,98.02277348716156,44.19107807047381,113.9271,201.35714055999998,1387.2635883867922,179.00551269417275,27.779807506558143,792.513849125,32.88700593106645,72.76189857336048
4.96,238.42499999999995,3710.545956333448,20.432279872959747,62.94270230227651,75.39910408071142,114.5039223167868,12833.766999999998,49.050505516529704,166.138285959921,51.461518398282365,109.92129999999999,260.24555816,1659.481440489254,304.81551060752173,68.55106704106494,1399.5618880000002,30.50179756424201,70.22186092307722
2.74,225.41999999999996,3499.148492708619,20.210351997433982,62.895624578552926,72.9021049021589,102.488477458879,11825.761999999999,48.27651832589877,148.20648542226868,50.12069178884418,103.41879999999999,245.00578216,1581.0945991059612,268.13718967640284,68.05736267898266,1206.5652112500002,29.80062328878374,68.39162751389968
2.96,262.395,3638.1783582627586,22.604004990912365,20.885643775381038,67.3252764329194,84.26822936537289,12584.123,52.58890661196682,121.36000803108925,46.3636496235388,126.93209999999999,233.80466055999997,1559.6593550119526,219.5437638931178,30.183247677702344,1033.3052710625002,34.1485017476609,75.61163234912998
2.98,275.4,3775.23719076782,22.781969850914958,21.341192735168484,69.3760171738867,90.20954557794674,13592.127999999999,52.85268849591541,130.66199752293383,47.05868033921529,133.4346,250.77176231999997,1639.071634701348,234.27530129197027,31.351156246550524,1136.103819761719,34.76208678805114,76.72189369078424
3.26,366.4349999999999,5191.660798518043,23.29984333283908,34.681583716637356,149.88494870834913,111.19002639953064,20648.162999999997,57.92729620347919,169.16327509368492,103.33701369553043,152.94209999999995,543.25707324,1857.0437215373527,323.5304200703904,51.59277099995083,1860.1639068105317,36.54107547144719,89.44481138668691
3.35,214.76099999999997,3266.7799663136175,20.387858001464778,19.112253753329828,61.77424734199726,86.38697580945892,10421.289999999999,48.08112403824545,121.04081199349312,43.41675644639923,99.5015,197.24572863999998,1396.017814949286,231.65549238833066,26.995201522263994,964.8382893906253,29.780768152450328,67.50674099673306
3.38,253.77599999999995,3818.525126209791,21.028939669036234,20.371573844756206,67.77818955287671,105.86531739014914,13445.305,50.023166515181856,153.37281275576655,46.09480754988029,119.00899999999999,239.41070807999995,1646.4875643850244,288.82190443966397,30.196439655062452,1351.1966441406255,31.83931014485081,72.45640018314461
3.89,266.78099999999995,3949.330097563446,21.234175598623825,20.849618462369687,69.81562784368623,110.31326901214473,14453.31,50.3144667804951,161.28230624319806,46.7977874666965,125.51149999999998,256.37780984,1721.9000608864555,300.313605114971,31.363856992785948,1454.64867925,32.49652561044026,73.61426459932883
3.22,303.2969999999999,4879.338138227151,21.23417559862383,34.08345978185739,146.19876830438946,106.16046935973073,17784.89,53.358687733155605,157.82616760210936,102.5709089196309,125.51149999999998,490.82191731999995,1721.9000608864558,312.2386810619441,49.795223978181035,1618.8048157693486,32.49652561044026,80.39654623178782
3.72,316.3019999999999,5017.672593771239,21.435519057835872,34.17063116042957,146.72356411020505,110.80368319937297,18792.894999999997,54.0887817107883,166.5949013168648,102.6579866249764,132.01399999999998,500.53937676,1794.1455737166452,323.8398506140436,50.232834464912486,1751.5948545962522,33.1407103575044,82.05820757852317
4.28,342.3119999999999,5264.714945592544,21.82723356024138,34.500968411276254,148.8351611619915,118.64716374405144,20808.905,54.95205915376767,181.73092041830697,103.07842663930343,145.01899999999995,532.98689676,1930.5427681612057,342.3764105329148,51.60085652052105,1985.1049298107296,34.39290181854389,84.59535739920955
4.77,255.96899999999994,3643.93282726109,20.649488719071464,63.0053714858271,74.67762571607261,109.59026150345052,13349.667999999998,49.47148394581421,160.99562615912632,50.44014474062066,116.42379999999999,269.3692276,1734.329026261897,290.2075674633797,69.14547188958034,1392.3549854101564,31.187211496060364,71.99896889886686
2.96,130.81499999999997,2727.3364921229463,17.389834514517673,62.6969993107102,59.32319258469782,59.91896407419241,7684.635,37.50220281618735,82.667864670593,43.55709468754718,69.33859999999999,164.95627296,1383.8965622132057,119.06929571762963,66.31741695436637,462.90594600000003,24.043104549537688,48.50487445092503
3.19,225.41999999999996,3499.148492708619,20.210351997433982,62.895624578552926,72.90125023098373,100.47456690039236,11825.761999999999,48.27651832589877,145.66501969171293,50.119806475739516,103.41879999999999,245.00578215999997,1581.0945991059612,257.21956100787224,68.05736267898264,1178.0660585000003,29.80062328878374,68.39162751389968
3.48,277.89899999999994,3717.1565111007903,22.604004990912365,20.879563521739176,70.05337700820817,94.59301293782798,13284.562999999998,53.55611267954138,136.64135706597216,47.35633232503845,126.93209999999999,249.68088455999998,1559.6593550119526,254.4351433857517,30.18262072192864,1215.7508955625,34.1485017476609,78.06362608795469
5.31,303.9089999999999,4044.4329303477766,22.957196920035898,21.73718563014107,74.66000507740327,106.07710621825484,15300.572999999999,54.436233474934134,155.98150446186267,49.609415848885,139.9371,281.87827496,1714.8102937901906,287.5026955992919,32.40835276461758,1459.351733640625,35.3650276984198,80.72641934645682
5.62,308.9069999999999,3886.413553870265,23.278009029568086,21.31482198842864,71.99693381047052,106.45074324926094,14685.443000000001,54.8541518148425,156.55558951435958,47.838923829011776,142.6762,271.96930488,1657.0395026318927,288.4457333251809,31.565339535686544,1464.6196832500002,35.96956836577275,81.68457632564423
4.32,283.6997999999999,3986.571553251676,23.5385225447577,30.71518325305349,82.7925786351545,89.59022484086381,14357.321399999997,54.46917902125624,127.57707194979496,58.4318006809953,137.05929999999998,291.42675904,1640.3029016685364,241.35562808896825,39.3035377406941,1123.9330681289066,35.87303067110444,78.90166025325449
7.92,668.7629999999999,6511.800545686885,28.443887838160077,37.091674165474096,165.64346841460736,147.4641919748979,36010.248999999996,69.45726764280516,251.57078758149916,106.28581221815412,287.6951999999999,819.8413183599998,2544.1649500341123,404.2118826638489,60.70045236520145,3656.7194939480746,49.76626913804169,118.80551528864306
6.41,614.244,6225.511424680947,27.762678649961813,36.57706435723219,162.33854436949946,137.53297430622882,32285.793999999998,68.78147191715351,232.2242560961422,105.758960625551,258.94609999999994,753.8486067599998,2377.287454929111,380.85042181486386,58.53318913549234,3275.138915977901,47.58599431145682,115.69943223715491
9.6,848.3340000000004,8363.328399733147,28.904145582868434,48.97382022713539,254.87135532163518,190.13598200195145,50429.884,76.31664935997044,331.91902746739646,150.31976990161306,323.9710999999999,1417.3355386799992,2862.1112562976696,576.2307581331216,84.50674547872296,5770.015192986763,51.838710604238614,136.6085242215873
8.46,733.7880000000001,6989.493138851916,28.88996379025341,37.554341242065156,170.03257440735416,168.3734353935773,41050.27399999999,70.81711893956812,290.12683048946565,107.13737115960787,313.70519999999993,895.8798556399997,2736.5762136302865,461.94984200654704,62.674004540602176,4415.175079316972,51.43745297854474,123.4112854361383
7.82,720.7830000000001,6951.802388707047,28.458517592346503,37.33221820732259,169.78308982363728,172.13900839010495,40042.269,71.22589421152014,296.38314798760183,107.19946203859593,297.96109999999993,878.2108880399998,2678.7323052893557,476.60073483262187,61.7162300106627,4534.078908423103,50.1808917030178,123.69959322487685
7.92,518.0579999999999,5532.94728671379,26.494803745988076,25.57052973954584,97.4552256082092,151.65109977514666,28206.18,62.42598066972487,246.03757209230736,58.174816716383546,238.01799999999994,499.16309688,2328.485043831946,408.0273866243868,42.539430620492325,3052.751063492891,45.0275842234513,102.28054132385104
7.0,593.5889999999999,6574.506605820585,26.51166308567721,36.44256914503116,164.22765978167658,161.70528775600363,34561.774999999994,66.20827955757666,270.35673587055237,106.15666232548459,248.28389999999993,775.0703179599998,2474.8078854262217,450.2820381972007,58.6624989656838,3786.214932891702,45.48542282083349,111.53025459712714
6.66,593.5889999999999,6574.506605820585,26.51166308567721,36.44256914503116,164.22765978167658,161.70528775600363,34561.774999999994,66.20827955757666,270.35673587055237,106.15666232548459,248.28389999999993,775.0703179599998,2474.8078854262217,450.2820381972007,58.6624989656838,3786.214932891702,45.48542282083349,111.53025459712714
7.44,524.8277999999999,6256.7553457102085,25.915577641248014,40.62837602480082,164.85063395836005,125.14808111134744,31701.7424,62.56580792365542,205.24682836943217,107.45108427987142,230.83339999999993,750.9373905199998,2460.093180939183,353.8220334576642,62.91428004223864,2714.339094416475,43.840096730504605,102.9417041952386
9.31,615.8628000000001,6912.569503179391,26.709738835167403,41.30496063865352,171.6216041363849,150.54501324959065,38757.777400000006,64.51774330082581,252.14665399725098,108.78526660375515,269.8483999999999,865.8406989999997,2752.4842558933856,415.4648590908741,66.0991416479872,3560.048427452327,46.64385403072951,109.70232301606016
9.88,654.8778000000001,7477.44674180203,26.709738835167403,46.537330673888626,214.0859856961732,158.95563241367492,41781.7924,67.30211669017416,266.29450462350235,131.27577994057862,269.8483999999999,1090.9926908799996,2752.4842558933856,464.2773343192603,76.44527825584176,4006.7251764907173,46.64385403072951,115.70496910297327
9.05,667.8828000000001,7545.083422766828,26.837589613902626,46.630912828304666,214.75654665156222,154.1673853020186,42789.797399999996,67.46359373330417,261.669333436164,131.39990308135216,276.3508999999999,1108.1711257599998,2798.2473262646413,441.9833973222395,76.91389422747474,3978.4659887121907,47.09492143628654,116.43354284792677
9.28,668.1888000000001,7578.4572531434,26.846836616044296,69.03779619004821,234.03283737351546,193.64440998355815,42967.60140000001,67.48716417439292,317.2605203329924,145.49562162002235,276.5048,1188.3544515999997,2816.446260840241,551.1272916514496,98.36270887971772,4622.416808181207,47.11641730649733,116.48067960447348
9.28,551.1437999999998,6485.174064478284,26.195381293794885,66.30712220502913,174.30319039691003,157.49473110969808,33895.55640000001,63.22928489047573,255.93031831326337,110.96519843812996,243.99229999999997,832.2045363199998,2581.1386906111275,427.37750906664076,87.7352154449711,3335.3572350200084,44.81678534377495,105.01339771010174
8.72,551.1437999999998,6485.174064478284,26.195381293794885,66.30712220502913,174.30319039691003,157.49473110969808,33895.55640000001,63.22928489047573,255.93031831326337,110.96519843812996,243.99229999999997,832.2045363199998,2581.1386906111275,427.37750906664076,87.7352154449711,3335.3572350200084,44.81678534377495,105.01339771010174
8.59,577.4597999999999,6750.524447805132,26.469331933337433,80.22110932104738,183.70208399564677,228.05117570998667,36089.37040000001,64.29191330995288,349.5903096988002,115.00762751550644,257.15119999999996,909.5143129199997,2696.7564631304745,630.0451460416338,107.04196884254202,4324.797206435185,45.77263828708152,107.44858964462959
9.06,542.3717999999999,6308.731660522484,26.713221844050675,40.56110837773718,164.91334790722485,128.7333540446334,32217.6434,63.306605735919675,211.43612675873882,107.46331331319762,242.66699999999992,755.0170001199998,2463.6330420148774,363.51825320764794,62.732360139299495,2827.1390147380266,45.409119902283955,104.78096272997306
7.8,542.3717999999999,6308.731660522484,26.713221844050675,40.56110837773718,164.91334790722485,128.7333540446334,32217.6434,63.306605735919675,211.43612675873882,107.46331331319762,242.66699999999992,755.0170001199998,2463.6330420148774,363.51825320764794,62.732360139299495,2827.1390147380266,45.409119902283955,104.78096272997306
