Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,2668.46223557841,82.56727108676455,141.9459083283279,1658.257428393499,146.30089999999998,298.36068984,269.2561360659322,37.044318054055196,127.05139518999997,98.55208210941986,6014.1709999999985,57.92706976236028,500.8623182792969,41.27225385002131,32.82789831009999,301.3499999999999,3965.385526119835,55.836343007090015,81.6629044972073,24.004108562636915
9.0,2839.2021770149195,105.02349143668306,219.34753195824067,1680.0099135679407,163.7514,399.72824663999995,421.3194367158121,38.97757185792876,148.66076701999998,146.21731236945502,6562.225599999998,71.72114188754168,846.226733185547,40.78241768806961,28.139996218638522,393.4861999999999,4381.833280793953,62.187615209699366,96.21066939908484,24.69493854117658
7.64,2530.4588124896004,75.39910408071142,166.138285959921,1659.481440489254,109.92129999999999,260.24555816,304.81551060752173,30.50179756424201,156.34935581999997,114.5039223167868,5772.2676999999985,51.461518398282365,569.4400800000001,68.55106704106494,62.94270230227651,238.42499999999995,3710.545956333448,49.050505516529704,70.22186092307722,20.432279872959747
7.31,2746.975416584827,78.18703203724944,186.69716321886003,1734.329026261897,116.42379999999999,282.47367271999997,343.6938193509517,31.187211496060364,162.21306158,127.29549639489386,6276.270199999998,52.65354408486567,662.31948146875,68.78631715239385,62.955818067585916,264.435,4106.236764288257,50.319267369939276,73.7529301722989,20.649488719071464
7.3,3619.321004921604,159.03959070619246,253.6120181711015,2205.148568188162,183.01649999999998,657.8430293199999,447.97672904429015,38.65308479500698,288.01664399000003,160.46762301072576,10179.667799999997,105.69417557341862,1137.1787448707198,82.48599460838025,65.83090651106703,447.5759999999999,5812.647541007195,60.64109009603223,97.47564371934149,23.618965684868893
8.54,3675.2048462017765,159.8881473060451,226.51769140984507,2373.618827141232,247.11249999999993,727.4414055599998,374.6907906880165,46.09113543459306,275.90773209,135.8255312310981,12238.2732,105.04548299758798,1172.6578587694028,57.83697609947871,36.27120042543326,579.156,6110.916161369422,66.24740610177557,110.7727983396646,27.02669076346811
8.52,3623.1384430364737,156.52564206980463,234.21577043824735,2243.200078757755,201.19869999999995,658.0925665200002,400.87714434331554,40.91885145834374,244.87801539,145.26751142466313,10722.867999999997,104.4937859992049,1096.8716246386896,55.44342537164712,35.563691280198974,477.97199999999987,5895.985188522907,61.48285010217771,99.93325394732224,24.710272752427773
8.92,3596.9420917097605,155.5205158208182,219.5856103535891,2185.847220949476,194.69619999999995,640.6441877999999,381.1923685037444,40.3988848660455,236.40060083,136.48722300747113,10218.865499999998,104.31186349045801,1014.8934958177413,54.79148528119404,35.402394182423244,464.96699999999987,5809.17956885966,61.28827962759615,99.08342555392399,24.559257219053457
8.92,3687.664924575597,158.9672497138528,244.12837372871044,2366.2645082389454,223.44529999999995,706.6368994,414.96619938563794,42.945600330301595,268.45134428,150.45628207737997,11974.233,104.8533212301897,1191.2622766668464,57.10094172855711,35.950941969016014,519.4859999999999,6114.991505409595,62.13603423362555,102.69331556873601,25.42072813151265
8.96,4118.102306273063,194.63500506260536,272.9845261583744,2407.0733585326284,220.70619999999994,873.7315709999998,520.4291093516167,42.44054574837605,303.82246843,165.64934877443773,12234.8755,124.85814374163368,1355.1486629861904,64.38708500597212,39.97666786951465,556.002,6815.2397803429485,65.44108223757739,109.23209478903168,25.152591391550526
