Activity,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,1298.602980597656,24.004108562636915,1658.257428393499,298.36068984,6014.1709999999985,380.75086812680667,32.82789831009999,127.05139518999997,81.6629044972073,57.92706976236028,3965.385526119835,500.8623182792969,55.836343007090015,141.9459083283279,82.56727108676455,146.30089999999998,41.27225385002131,37.044318054055196
9.0,2382.9307214179685,24.69493854117658,1680.0099135679407,399.72824663999995,6562.225599999998,628.4647591733835,28.139996218638522,148.66076701999998,96.21066939908484,71.72114188754168,4381.833280793953,846.226733185547,62.187615209699366,219.34753195824067,105.02349143668306,163.7514,40.78241768806961,38.97757185792876
7.64,1399.5618880000002,20.432279872959747,1659.481440489254,260.24555816,5772.2676999999985,428.44481789443364,62.94270230227651,156.34935581999997,70.22186092307722,51.461518398282365,3710.545956333448,569.4400800000001,49.050505516529704,166.138285959921,75.39910408071142,109.92129999999999,68.55106704106494,30.50179756424201
7.31,1691.2365320625,20.649488719071464,1734.329026261897,282.47367271999997,6276.270199999998,493.07788905840687,62.955818067585916,162.21306158,73.7529301722989,52.65354408486567,4106.236764288257,662.31948146875,50.319267369939276,186.69716321886003,78.18703203724944,116.42379999999999,68.78631715239385,31.187211496060364
7.3,3066.9944992931155,23.618965684868893,2205.148568188162,657.8430293199999,10179.667799999997,699.0221455538546,65.83090651106703,288.01664399000003,97.47564371934149,105.69417557341862,5812.647541007195,1137.1787448707198,60.64109009603223,253.6120181711015,159.03959070619246,183.01649999999998,82.48599460838025,38.65308479500698
8.54,3084.6520283516384,27.02669076346811,2373.618827141232,727.4414055599998,12238.2732,612.5542518861757,36.27120042543326,275.90773209,110.7727983396646,105.04548299758798,6110.916161369422,1172.6578587694028,66.24740610177557,226.51769140984507,159.8881473060451,247.11249999999993,57.83697609947871,46.09113543459306
8.52,2913.722255681102,24.710272752427773,2243.200078757755,658.0925665200002,10722.867999999997,636.256268261373,35.563691280198974,244.87801539,99.93325394732224,104.4937859992049,5895.985188522907,1096.8716246386896,61.48285010217771,234.21577043824735,156.52564206980463,201.19869999999995,55.44342537164712,40.91885145834374
8.92,2729.3012414498535,24.559257219053457,2185.847220949476,640.6441877999999,10218.865499999998,604.2436839540127,35.402394182423244,236.40060083,99.08342555392399,104.31186349045801,5809.17956885966,1014.8934958177413,61.28827962759615,219.5856103535891,155.5205158208182,194.69619999999995,54.79148528119404,40.3988848660455
8.92,3140.007850068009,25.42072813151265,2366.2645082389454,706.6368994,11974.233,662.0187055984071,35.950941969016014,268.45134428,102.69331556873601,104.8533212301897,6114.991505409595,1191.2622766668464,62.13603423362555,244.12837372871044,158.9672497138528,223.44529999999995,57.10094172855711,42.945600330301595
8.96,3900.808433836276,25.152591391550526,2407.0733585326284,873.7315709999998,12234.8755,823.8816532307743,39.97666786951465,303.82246843,109.23209478903168,124.85814374163368,6815.2397803429485,1355.1486629861904,65.44108223757739,272.9845261583744,194.63500506260536,220.70619999999994,64.38708500597212,42.44054574837605
8.55,2848.7208421904,25.442880288293395,2189.8304455223374,659.6263474,10350.885599999998,623.7953098324994,35.96496158590133,240.52402551,101.5561951212234,108.15229549287595,5887.248114816845,1053.9797880480837,62.66521148806405,224.18376411110168,160.28132433343328,206.52979999999994,55.508668765596745,42.09636548895879
9.22,3798.7249245568237,24.870240865683307,2321.238151202674,734.0889702399999,11319.6929,815.8655582153875,64.51736070064428,302.45776264,102.5644933517443,108.03495815148254,6169.05951530134,1424.0706510176346,62.38552998024147,302.7899415177045,166.2883943479743,207.85509999999996,81.96024117338209,41.456725215940544
8.0,3744.354908849396,26.185668387590873,2561.2683379364935,950.3311864799996,13574.208500000002,726.9677232730112,42.71547425024511,338.51581983999995,115.44696345655872,129.6800892576781,7322.342744794522,1303.2108147501267,68.07917299997499,247.9118616511923,206.38168295634296,243.83839999999995,69.71204251201577,44.79418593790941
8.11,4513.931980554596,26.76992012730529,2575.4050380047615,1033.2419151199997,14122.263100000002,859.7767797022084,43.07840966127201,361.25084707999997,119.2383817359159,130.31255857231224,7259.780058300045,1601.118572771993,69.30960624897119,301.21482180546195,210.2004699045632,261.28889999999996,71.1238473795553,46.40569686676412
7.92,3989.978754332734,25.439040710344518,2510.3862637789525,1017.3534449199997,13242.880500000003,781.1675900893554,43.34423583035612,351.4167150099999,114.85176787276721,130.69831946298717,7136.190148192137,1394.166947523137,67.52942290783024,268.7571019480117,210.85433038283895,233.71119999999993,71.30593087055681,43.425395057730924
8.15,2333.5438293020256,24.313891469394264,2182.781837946296,668.9364868399998,9914.1709,530.9691408158914,39.997661469858066,245.84982003000002,96.78279668215833,108.18642583895642,5863.854551316469,849.424560977104,60.80658960330297,187.56046123515668,162.7768453352415,186.48729999999998,59.931643194833335,39.62962857673537
5.55,634.51852475,19.513477942059566,1318.2581580643791,186.86191704000004,3756.2577000000006,222.75514367316921,62.771937706528256,124.93721341999998,60.0652486467841,46.89676520120246,2784.572969298883,283.9510423750001,44.867260801608516,96.99224083297173,64.57136466536652,83.9113,66.69901347796775,27.590390168498885
