Activity,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,6014.1709999999985,14694.437399999997,81.6629044972073,146.30089999999998,500.8623182792969,2668.46223557841,55.836343007090015,1298.602980597656,1658.257428393499,301.3499999999999,41.27225385002131,141.9459083283279,3965.385526119835,269.2561360659322,298.36068984,82.56727108676455,98.55208210941986,37.044318054055196,24.004108562636915
9.0,6562.225599999998,17604.845,96.21066939908484,163.7514,846.226733185547,2839.2021770149195,62.187615209699366,2382.9307214179685,1680.0099135679407,393.4861999999999,40.78241768806961,219.34753195824067,4381.833280793953,421.3194367158121,399.72824663999995,105.02349143668306,146.21731236945502,38.97757185792876,24.69493854117658
7.64,5772.2676999999985,12833.766999999998,70.22186092307722,109.92129999999999,569.4400800000001,2530.4588124896004,49.050505516529704,1399.5618880000002,1659.481440489254,238.42499999999995,68.55106704106494,166.138285959921,3710.545956333448,304.81551060752173,260.24555816,75.39910408071142,114.5039223167868,30.50179756424201,20.432279872959747
7.31,6276.270199999998,14849.776999999998,73.7529301722989,116.42379999999999,662.31948146875,2746.975416584827,50.319267369939276,1691.2365320625,1734.329026261897,264.435,68.78631715239385,186.69716321886003,4106.236764288257,343.6938193509517,282.47367271999997,78.18703203724944,127.29549639489386,31.187211496060364,20.649488719071464
7.3,10179.667799999997,26354.504,97.47564371934149,183.01649999999998,1137.1787448707198,3619.321004921604,60.64109009603223,3066.9944992931155,2205.148568188162,447.5759999999999,82.48599460838025,253.6120181711015,5812.647541007195,447.97672904429015,657.8430293199999,159.03959070619246,160.46762301072576,38.65308479500698,23.618965684868893
8.54,12238.2732,31253.992000000002,110.7727983396646,247.11249999999993,1172.6578587694028,3675.2048462017765,66.24740610177557,3084.6520283516384,2373.618827141232,579.156,57.83697609947871,226.51769140984507,6110.916161369422,374.6907906880165,727.4414055599998,159.8881473060451,135.8255312310981,46.09113543459306,27.02669076346811
8.52,10722.867999999997,27789.507999999998,99.93325394732224,201.19869999999995,1096.8716246386896,3623.1384430364737,61.48285010217771,2913.722255681102,2243.200078757755,477.97199999999987,55.44342537164712,234.21577043824735,5895.985188522907,400.87714434331554,658.0925665200002,156.52564206980463,145.26751142466313,40.91885145834374,24.710272752427773
8.92,10218.865499999998,26781.502999999997,99.08342555392399,194.69619999999995,1014.8934958177413,3596.9420917097605,61.28827962759615,2729.3012414498535,2185.847220949476,464.96699999999987,54.79148528119404,219.5856103535891,5809.17956885966,381.1923685037444,640.6441877999999,155.5205158208182,136.48722300747113,40.3988848660455,24.559257219053457
8.92,11974.233,30505.958000000002,102.69331556873601,223.44529999999995,1191.2622766668464,3687.664924575597,62.13603423362555,3140.007850068009,2366.2645082389454,519.4859999999999,57.10094172855711,244.12837372871044,6114.991505409595,414.96619938563794,706.6368994,158.9672497138528,150.45628207737997,42.945600330301595,25.42072813151265
8.96,12234.8755,33837.53799999999,109.23209478903168,220.70619999999994,1355.1486629861904,4118.102306273063,65.44108223757739,3900.808433836276,2407.0733585326284,556.002,64.38708500597212,272.9845261583744,6815.2397803429485,520.4291093516167,873.7315709999998,194.63500506260536,165.64934877443773,42.44054574837605,25.152591391550526
