Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,2668.46223557841,380.75086812680667,301.3499999999999,14694.437399999997,98.55208210941986,41.27225385002131,141.9459083283279,146.30089999999998,1298.602980597656,32.82789831009999,6014.1709999999985,24.004108562636915,81.6629044972073,269.2561360659322,298.36068984,55.836343007090015,57.92706976236028,1658.257428393499
9.0,2839.2021770149195,628.4647591733835,393.4861999999999,17604.845,146.21731236945502,40.78241768806961,219.34753195824067,163.7514,2382.9307214179685,28.139996218638522,6562.225599999998,24.69493854117658,96.21066939908484,421.3194367158121,399.72824663999995,62.187615209699366,71.72114188754168,1680.0099135679407
7.64,2530.4588124896004,428.44481789443364,238.42499999999995,12833.766999999998,114.5039223167868,68.55106704106494,166.138285959921,109.92129999999999,1399.5618880000002,62.94270230227651,5772.2676999999985,20.432279872959747,70.22186092307722,304.81551060752173,260.24555816,49.050505516529704,51.461518398282365,1659.481440489254
7.31,2746.975416584827,493.07788905840687,264.435,14849.776999999998,127.29549639489386,68.78631715239385,186.69716321886003,116.42379999999999,1691.2365320625,62.955818067585916,6276.270199999998,20.649488719071464,73.7529301722989,343.6938193509517,282.47367271999997,50.319267369939276,52.65354408486567,1734.329026261897
7.3,3619.321004921604,699.0221455538546,447.5759999999999,26354.504,160.46762301072576,82.48599460838025,253.6120181711015,183.01649999999998,3066.9944992931155,65.83090651106703,10179.667799999997,23.618965684868893,97.47564371934149,447.97672904429015,657.8430293199999,60.64109009603223,105.69417557341862,2205.148568188162
8.54,3675.2048462017765,612.5542518861757,579.156,31253.992000000002,135.8255312310981,57.83697609947871,226.51769140984507,247.11249999999993,3084.6520283516384,36.27120042543326,12238.2732,27.02669076346811,110.7727983396646,374.6907906880165,727.4414055599998,66.24740610177557,105.04548299758798,2373.618827141232
8.52,3623.1384430364737,636.256268261373,477.97199999999987,27789.507999999998,145.26751142466313,55.44342537164712,234.21577043824735,201.19869999999995,2913.722255681102,35.563691280198974,10722.867999999997,24.710272752427773,99.93325394732224,400.87714434331554,658.0925665200002,61.48285010217771,104.4937859992049,2243.200078757755
8.92,3596.9420917097605,604.2436839540127,464.96699999999987,26781.502999999997,136.48722300747113,54.79148528119404,219.5856103535891,194.69619999999995,2729.3012414498535,35.402394182423244,10218.865499999998,24.559257219053457,99.08342555392399,381.1923685037444,640.6441877999999,61.28827962759615,104.31186349045801,2185.847220949476
8.92,3687.664924575597,662.0187055984071,519.4859999999999,30505.958000000002,150.45628207737997,57.10094172855711,244.12837372871044,223.44529999999995,3140.007850068009,35.950941969016014,11974.233,25.42072813151265,102.69331556873601,414.96619938563794,706.6368994,62.13603423362555,104.8533212301897,2366.2645082389454
8.96,4118.102306273063,823.8816532307743,556.002,33837.53799999999,165.64934877443773,64.38708500597212,272.9845261583744,220.70619999999994,3900.808433836276,39.97666786951465,12234.8755,25.152591391550526,109.23209478903168,520.4291093516167,873.7315709999998,65.44108223757739,124.85814374163368,2407.0733585326284
