Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,2668.46223557841,14694.437399999997,500.8623182792969,98.55208210941986,37.044318054055196,1658.257428393499,141.9459083283279,1298.602980597656,269.2561360659322,32.82789831009999,82.56727108676455,6014.1709999999985,24.004108562636915,301.3499999999999,57.92706976236028,55.836343007090015,146.30089999999998
9.0,2839.2021770149195,17604.845,846.226733185547,146.21731236945502,38.97757185792876,1680.0099135679407,219.34753195824067,2382.9307214179685,421.3194367158121,28.139996218638522,105.02349143668306,6562.225599999998,24.69493854117658,393.4861999999999,71.72114188754168,62.187615209699366,163.7514
7.64,2530.4588124896004,12833.766999999998,569.4400800000001,114.5039223167868,30.50179756424201,1659.481440489254,166.138285959921,1399.5618880000002,304.81551060752173,62.94270230227651,75.39910408071142,5772.2676999999985,20.432279872959747,238.42499999999995,51.461518398282365,49.050505516529704,109.92129999999999
7.31,2746.975416584827,14849.776999999998,662.31948146875,127.29549639489386,31.187211496060364,1734.329026261897,186.69716321886003,1691.2365320625,343.6938193509517,62.955818067585916,78.18703203724944,6276.270199999998,20.649488719071464,264.435,52.65354408486567,50.319267369939276,116.42379999999999
7.3,3619.321004921604,26354.504,1137.1787448707198,160.46762301072576,38.65308479500698,2205.148568188162,253.6120181711015,3066.9944992931155,447.97672904429015,65.83090651106703,159.03959070619246,10179.667799999997,23.618965684868893,447.5759999999999,105.69417557341862,60.64109009603223,183.01649999999998
8.54,3675.2048462017765,31253.992000000002,1172.6578587694028,135.8255312310981,46.09113543459306,2373.618827141232,226.51769140984507,3084.6520283516384,374.6907906880165,36.27120042543326,159.8881473060451,12238.2732,27.02669076346811,579.156,105.04548299758798,66.24740610177557,247.11249999999993
8.52,3623.1384430364737,27789.507999999998,1096.8716246386896,145.26751142466313,40.91885145834374,2243.200078757755,234.21577043824735,2913.722255681102,400.87714434331554,35.563691280198974,156.52564206980463,10722.867999999997,24.710272752427773,477.97199999999987,104.4937859992049,61.48285010217771,201.19869999999995
8.92,3596.9420917097605,26781.502999999997,1014.8934958177413,136.48722300747113,40.3988848660455,2185.847220949476,219.5856103535891,2729.3012414498535,381.1923685037444,35.402394182423244,155.5205158208182,10218.865499999998,24.559257219053457,464.96699999999987,104.31186349045801,61.28827962759615,194.69619999999995
8.92,3687.664924575597,30505.958000000002,1191.2622766668464,150.45628207737997,42.945600330301595,2366.2645082389454,244.12837372871044,3140.007850068009,414.96619938563794,35.950941969016014,158.9672497138528,11974.233,25.42072813151265,519.4859999999999,104.8533212301897,62.13603423362555,223.44529999999995
8.96,4118.102306273063,33837.53799999999,1355.1486629861904,165.64934877443773,42.44054574837605,2407.0733585326284,272.9845261583744,3900.808433836276,520.4291093516167,39.97666786951465,194.63500506260536,12234.8755,25.152591391550526,556.002,124.85814374163368,65.44108223757739,220.70619999999994
8.55,3650.3849024850315,27297.403999999995,1053.9797880480837,138.45793535167564,42.09636548895879,2189.8304455223374,224.18376411110168,2848.7208421904,391.3829379994046,35.96496158590133,160.28132433343328,10350.885599999998,25.442880288293395,482.51099999999985,108.15229549287595,62.66521148806405,206.52979999999994
