Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,2668.46223557841,380.75086812680667,301.3499999999999,55.836343007090015,41.27225385002131,1658.257428393499,3965.385526119835,1298.602980597656,269.2561360659322,127.05139518999997,32.82789831009999,82.56727108676455,6014.1709999999985,146.30089999999998,500.8623182792969,298.36068984,24.004108562636915
9.0,2839.2021770149195,628.4647591733835,393.4861999999999,62.187615209699366,40.78241768806961,1680.0099135679407,4381.833280793953,2382.9307214179685,421.3194367158121,148.66076701999998,28.139996218638522,105.02349143668306,6562.225599999998,163.7514,846.226733185547,399.72824663999995,24.69493854117658
7.64,2530.4588124896004,428.44481789443364,238.42499999999995,49.050505516529704,68.55106704106494,1659.481440489254,3710.545956333448,1399.5618880000002,304.81551060752173,156.34935581999997,62.94270230227651,75.39910408071142,5772.2676999999985,109.92129999999999,569.4400800000001,260.24555816,20.432279872959747
7.31,2746.975416584827,493.07788905840687,264.435,50.319267369939276,68.78631715239385,1734.329026261897,4106.236764288257,1691.2365320625,343.6938193509517,162.21306158,62.955818067585916,78.18703203724944,6276.270199999998,116.42379999999999,662.31948146875,282.47367271999997,20.649488719071464
7.3,3619.321004921604,699.0221455538546,447.5759999999999,60.64109009603223,82.48599460838025,2205.148568188162,5812.647541007195,3066.9944992931155,447.97672904429015,288.01664399000003,65.83090651106703,159.03959070619246,10179.667799999997,183.01649999999998,1137.1787448707198,657.8430293199999,23.618965684868893
8.54,3675.2048462017765,612.5542518861757,579.156,66.24740610177557,57.83697609947871,2373.618827141232,6110.916161369422,3084.6520283516384,374.6907906880165,275.90773209,36.27120042543326,159.8881473060451,12238.2732,247.11249999999993,1172.6578587694028,727.4414055599998,27.02669076346811
8.52,3623.1384430364737,636.256268261373,477.97199999999987,61.48285010217771,55.44342537164712,2243.200078757755,5895.985188522907,2913.722255681102,400.87714434331554,244.87801539,35.563691280198974,156.52564206980463,10722.867999999997,201.19869999999995,1096.8716246386896,658.0925665200002,24.710272752427773
8.92,3596.9420917097605,604.2436839540127,464.96699999999987,61.28827962759615,54.79148528119404,2185.847220949476,5809.17956885966,2729.3012414498535,381.1923685037444,236.40060083,35.402394182423244,155.5205158208182,10218.865499999998,194.69619999999995,1014.8934958177413,640.6441877999999,24.559257219053457
8.92,3687.664924575597,662.0187055984071,519.4859999999999,62.13603423362555,57.10094172855711,2366.2645082389454,6114.991505409595,3140.007850068009,414.96619938563794,268.45134428,35.950941969016014,158.9672497138528,11974.233,223.44529999999995,1191.2622766668464,706.6368994,25.42072813151265
8.96,4118.102306273063,823.8816532307743,556.002,65.44108223757739,64.38708500597212,2407.0733585326284,6815.2397803429485,3900.808433836276,520.4291093516167,303.82246843,39.97666786951465,194.63500506260536,12234.8755,220.70619999999994,1355.1486629861904,873.7315709999998,25.152591391550526
8.55,3650.3849024850315,623.7953098324994,482.51099999999985,62.66521148806405,55.508668765596745,2189.8304455223374,5887.248114816845,2848.7208421904,391.3829379994046,240.52402551,35.96496158590133,160.28132433343328,10350.885599999998,206.52979999999994,1053.9797880480837,659.6263474,25.442880288293395
9.22,3733.836316848946,815.8655582153875,504.28799999999984,62.38552998024147,81.96024117338209,2321.238151202674,6169.05951530134,3798.7249245568237,513.6592680866952,302.45776264,64.51736070064428,166.2883943479743,11319.6929,207.85509999999996,1424.0706510176346,734.0889702399999,24.870240865683307
8.0,4327.866225232816,726.9677232730112,619.0026000000001,68.07917299997499,69.71204251201577,2561.2683379364935,7322.342744794522,3744.354908849396,439.73070707413405,338.51581983999995,42.71547425024511,206.38168295634296,13574.208500000002,243.83839999999995,1303.2108147501267,950.3311864799996,26.185668387590873
8.11,4245.994731975482,859.7767797022084,661.1130000000002,69.30960624897119,71.1238473795553,2575.4050380047615,7259.780058300045,4513.931980554596,517.424678439041,361.25084707999997,43.07840966127201,210.2004699045632,14122.263100000002,261.28889999999996,1601.118572771993,1033.2419151199997,26.76992012730529
7.92,4208.701959855615,781.1675900893554,612.5610000000001,67.52942290783024,71.30593087055681,2510.3862637789525,7136.190148192137,3989.978754332734,473.68183772905587,351.4167150099999,43.34423583035612,210.85433038283895,13242.880500000003,233.71119999999993,1394.166947523137,1017.3534449199997,25.439040710344518
8.15,3673.329393472428,530.9691408158914,440.5067999999999,60.80658960330297,59.931643194833335,2182.781837946296,5863.854551316469,2333.5438293020256,339.25558801932203,245.84982003000002,39.997661469858066,162.7768453352415,9914.1709,186.48729999999998,849.424560977104,668.9364868399998,24.313891469394264
5.55,2022.4448637099583,222.75514367316921,170.90099999999995,44.867260801608516,66.69901347796775,1318.2581580643791,2784.572969298883,634.51852475,165.01789338712737,124.93721341999998,62.771937706528256,64.57136466536652,3756.2577000000006,83.9113,283.9510423750001,186.86191704000004,19.513477942059566
6.07,2174.5479444079765,262.28831124236524,183.90599999999995,45.89053391180466,67.02635098434203,1411.319627621447,3020.421197858835,774.8945950000001,191.33662181293448,131.46413805999998,62.79769274989507,65.69307603380621,4260.2602,90.4138,339.0041039375001,196.68203816000002,19.751254602611326
6.37,3321.86414980736,492.12455270232607,313.9559999999999,53.51751404340992,79.89135147578962,1875.08245454621,5037.869539088423,1848.1658432351685,330.62922011513666,237.61801106000004,65.5316645716761,151.23736019322632,7284.275199999997,129.42879999999997,690.0606841872101,538.58197084,21.070702411277548
6.7,2389.454288194701,375.91092316112685,225.41999999999996,48.27651832589877,68.05736267898266,1581.0945991059612,3499.148492708619,1206.5652112500002,268.13718967640284,148.16205853999998,62.895624578552926,72.9021049021589,5268.265199999999,103.41879999999999,495.64730487500003,245.00578216,20.210351997433982
2.7,2169.194037976688,211.4240758782761,223.38,50.8416677914314,26.980444358077946,1292.47117710901,3054.0234077924156,654.6577929375,152.49627499743224,79.09121726999999,19.693317693691252,61.33693720619342,3927.475500000001,107.4246,268.09988684375,191.53701944,22.052551960385305
2.87,2303.1622874137324,250.05974984728348,236.385,51.6441609207177,27.779807506558143,1387.2635883867922,3270.4979080361754,792.513849125,179.00551269417275,85.61814190999999,19.951691409703784,62.51670952531182,4431.478,113.9271,322.0510172500001,201.35714055999998,22.239416663542077
4.96,2530.4588124896004,428.44481789443364,238.42499999999995,49.050505516529704,68.55106704106494,1659.481440489254,3710.545956333448,1399.5618880000002,304.81551060752173,156.34935581999997,62.94270230227651,75.39910408071142,5772.2676999999985,109.92129999999999,569.4400800000001,260.24555816,20.432279872959747
2.74,2389.454288194701,375.91092316112685,225.41999999999996,48.27651832589877,68.05736267898266,1581.0945991059612,3499.148492708619,1206.5652112500002,268.13718967640284,148.16205853999998,62.895624578552926,72.9021049021589,5268.265199999999,103.41879999999999,495.64730487500003,245.00578216,20.210351997433982
