Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,2668.46223557841,301.3499999999999,14694.437399999997,98.55208210941986,41.27225385002131,141.9459083283279,1298.602980597656,32.82789831009999,6014.1709999999985,24.004108562636915,81.6629044972073,269.2561360659322,55.836343007090015,57.92706976236028,127.05139518999997,82.56727108676455,37.044318054055196,1658.257428393499
9.0,2839.2021770149195,393.4861999999999,17604.845,146.21731236945502,40.78241768806961,219.34753195824067,2382.9307214179685,28.139996218638522,6562.225599999998,24.69493854117658,96.21066939908484,421.3194367158121,62.187615209699366,71.72114188754168,148.66076701999998,105.02349143668306,38.97757185792876,1680.0099135679407
7.64,2530.4588124896004,238.42499999999995,12833.766999999998,114.5039223167868,68.55106704106494,166.138285959921,1399.5618880000002,62.94270230227651,5772.2676999999985,20.432279872959747,70.22186092307722,304.81551060752173,49.050505516529704,51.461518398282365,156.34935581999997,75.39910408071142,30.50179756424201,1659.481440489254
7.31,2746.975416584827,264.435,14849.776999999998,127.29549639489386,68.78631715239385,186.69716321886003,1691.2365320625,62.955818067585916,6276.270199999998,20.649488719071464,73.7529301722989,343.6938193509517,50.319267369939276,52.65354408486567,162.21306158,78.18703203724944,31.187211496060364,1734.329026261897
7.3,3619.321004921604,447.5759999999999,26354.504,160.46762301072576,82.48599460838025,253.6120181711015,3066.9944992931155,65.83090651106703,10179.667799999997,23.618965684868893,97.47564371934149,447.97672904429015,60.64109009603223,105.69417557341862,288.01664399000003,159.03959070619246,38.65308479500698,2205.148568188162
8.54,3675.2048462017765,579.156,31253.992000000002,135.8255312310981,57.83697609947871,226.51769140984507,3084.6520283516384,36.27120042543326,12238.2732,27.02669076346811,110.7727983396646,374.6907906880165,66.24740610177557,105.04548299758798,275.90773209,159.8881473060451,46.09113543459306,2373.618827141232
8.52,3623.1384430364737,477.97199999999987,27789.507999999998,145.26751142466313,55.44342537164712,234.21577043824735,2913.722255681102,35.563691280198974,10722.867999999997,24.710272752427773,99.93325394732224,400.87714434331554,61.48285010217771,104.4937859992049,244.87801539,156.52564206980463,40.91885145834374,2243.200078757755
8.92,3596.9420917097605,464.96699999999987,26781.502999999997,136.48722300747113,54.79148528119404,219.5856103535891,2729.3012414498535,35.402394182423244,10218.865499999998,24.559257219053457,99.08342555392399,381.1923685037444,61.28827962759615,104.31186349045801,236.40060083,155.5205158208182,40.3988848660455,2185.847220949476
8.92,3687.664924575597,519.4859999999999,30505.958000000002,150.45628207737997,57.10094172855711,244.12837372871044,3140.007850068009,35.950941969016014,11974.233,25.42072813151265,102.69331556873601,414.96619938563794,62.13603423362555,104.8533212301897,268.45134428,158.9672497138528,42.945600330301595,2366.2645082389454
8.96,4118.102306273063,556.002,33837.53799999999,165.64934877443773,64.38708500597212,272.9845261583744,3900.808433836276,39.97666786951465,12234.8755,25.152591391550526,109.23209478903168,520.4291093516167,65.44108223757739,124.85814374163368,303.82246843,194.63500506260536,42.44054574837605,2407.0733585326284
