Activity,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,14694.437399999997,41.27225385002131,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,269.2561360659322,32.82789831009999,6014.1709999999985,24.004108562636915,301.3499999999999,1658.257428393499,2668.46223557841,127.05139518999997,82.56727108676455,57.92706976236028,380.75086812680667,98.55208210941986
9.0,17604.845,40.78241768806961,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,421.3194367158121,28.139996218638522,6562.225599999998,24.69493854117658,393.4861999999999,1680.0099135679407,2839.2021770149195,148.66076701999998,105.02349143668306,71.72114188754168,628.4647591733835,146.21731236945502
7.64,12833.766999999998,68.55106704106494,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,304.81551060752173,62.94270230227651,5772.2676999999985,20.432279872959747,238.42499999999995,1659.481440489254,2530.4588124896004,156.34935581999997,75.39910408071142,51.461518398282365,428.44481789443364,114.5039223167868
7.31,14849.776999999998,68.78631715239385,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,343.6938193509517,62.955818067585916,6276.270199999998,20.649488719071464,264.435,1734.329026261897,2746.975416584827,162.21306158,78.18703203724944,52.65354408486567,493.07788905840687,127.29549639489386
7.3,26354.504,82.48599460838025,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,447.97672904429015,65.83090651106703,10179.667799999997,23.618965684868893,447.5759999999999,2205.148568188162,3619.321004921604,288.01664399000003,159.03959070619246,105.69417557341862,699.0221455538546,160.46762301072576
8.54,31253.992000000002,57.83697609947871,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,374.6907906880165,36.27120042543326,12238.2732,27.02669076346811,579.156,2373.618827141232,3675.2048462017765,275.90773209,159.8881473060451,105.04548299758798,612.5542518861757,135.8255312310981
8.52,27789.507999999998,55.44342537164712,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,400.87714434331554,35.563691280198974,10722.867999999997,24.710272752427773,477.97199999999987,2243.200078757755,3623.1384430364737,244.87801539,156.52564206980463,104.4937859992049,636.256268261373,145.26751142466313
8.92,26781.502999999997,54.79148528119404,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,381.1923685037444,35.402394182423244,10218.865499999998,24.559257219053457,464.96699999999987,2185.847220949476,3596.9420917097605,236.40060083,155.5205158208182,104.31186349045801,604.2436839540127,136.48722300747113
8.92,30505.958000000002,57.10094172855711,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,414.96619938563794,35.950941969016014,11974.233,25.42072813151265,519.4859999999999,2366.2645082389454,3687.664924575597,268.45134428,158.9672497138528,104.8533212301897,662.0187055984071,150.45628207737997
8.96,33837.53799999999,64.38708500597212,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,520.4291093516167,39.97666786951465,12234.8755,25.152591391550526,556.002,2407.0733585326284,4118.102306273063,303.82246843,194.63500506260536,124.85814374163368,823.8816532307743,165.64934877443773
