Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS
6.11,55.836343007090015,301.3499999999999,98.55208210941986,41.27225385002131,37.044318054055196,1658.257428393499,141.9459083283279,82.56727108676455,81.6629044972073,2668.46223557841,14694.437399999997,3965.385526119835,146.30089999999998,57.92706976236028,127.05139518999997,269.2561360659322,298.36068984
9.0,62.187615209699366,393.4861999999999,146.21731236945502,40.78241768806961,38.97757185792876,1680.0099135679407,219.34753195824067,105.02349143668306,96.21066939908484,2839.2021770149195,17604.845,4381.833280793953,163.7514,71.72114188754168,148.66076701999998,421.3194367158121,399.72824663999995
7.64,49.050505516529704,238.42499999999995,114.5039223167868,68.55106704106494,30.50179756424201,1659.481440489254,166.138285959921,75.39910408071142,70.22186092307722,2530.4588124896004,12833.766999999998,3710.545956333448,109.92129999999999,51.461518398282365,156.34935581999997,304.81551060752173,260.24555816
7.31,50.319267369939276,264.435,127.29549639489386,68.78631715239385,31.187211496060364,1734.329026261897,186.69716321886003,78.18703203724944,73.7529301722989,2746.975416584827,14849.776999999998,4106.236764288257,116.42379999999999,52.65354408486567,162.21306158,343.6938193509517,282.47367271999997
7.3,60.64109009603223,447.5759999999999,160.46762301072576,82.48599460838025,38.65308479500698,2205.148568188162,253.6120181711015,159.03959070619246,97.47564371934149,3619.321004921604,26354.504,5812.647541007195,183.01649999999998,105.69417557341862,288.01664399000003,447.97672904429015,657.8430293199999
8.54,66.24740610177557,579.156,135.8255312310981,57.83697609947871,46.09113543459306,2373.618827141232,226.51769140984507,159.8881473060451,110.7727983396646,3675.2048462017765,31253.992000000002,6110.916161369422,247.11249999999993,105.04548299758798,275.90773209,374.6907906880165,727.4414055599998
8.52,61.48285010217771,477.97199999999987,145.26751142466313,55.44342537164712,40.91885145834374,2243.200078757755,234.21577043824735,156.52564206980463,99.93325394732224,3623.1384430364737,27789.507999999998,5895.985188522907,201.19869999999995,104.4937859992049,244.87801539,400.87714434331554,658.0925665200002
8.92,61.28827962759615,464.96699999999987,136.48722300747113,54.79148528119404,40.3988848660455,2185.847220949476,219.5856103535891,155.5205158208182,99.08342555392399,3596.9420917097605,26781.502999999997,5809.17956885966,194.69619999999995,104.31186349045801,236.40060083,381.1923685037444,640.6441877999999
8.92,62.13603423362555,519.4859999999999,150.45628207737997,57.10094172855711,42.945600330301595,2366.2645082389454,244.12837372871044,158.9672497138528,102.69331556873601,3687.664924575597,30505.958000000002,6114.991505409595,223.44529999999995,104.8533212301897,268.45134428,414.96619938563794,706.6368994
8.96,65.44108223757739,556.002,165.64934877443773,64.38708500597212,42.44054574837605,2407.0733585326284,272.9845261583744,194.63500506260536,109.23209478903168,4118.102306273063,33837.53799999999,6815.2397803429485,220.70619999999994,124.85814374163368,303.82246843,520.4291093516167,873.7315709999998
8.55,62.66521148806405,482.51099999999985,138.45793535167564,55.508668765596745,42.09636548895879,2189.8304455223374,224.18376411110168,160.28132433343328,101.5561951212234,3650.3849024850315,27297.403999999995,5887.248114816845,206.52979999999994,108.15229549287595,240.52402551,391.3829379994046,659.6263474
