Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,2668.46223557841,41.27225385002131,298.36068984,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,57.92706976236028,127.05139518999997,82.56727108676455,55.836343007090015,37.044318054055196,14694.437399999997,500.8623182792969,24.004108562636915,81.6629044972073,269.2561360659322,1658.257428393499
9.0,2839.2021770149195,40.78241768806961,399.72824663999995,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,71.72114188754168,148.66076701999998,105.02349143668306,62.187615209699366,38.97757185792876,17604.845,846.226733185547,24.69493854117658,96.21066939908484,421.3194367158121,1680.0099135679407
7.64,2530.4588124896004,68.55106704106494,260.24555816,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,51.461518398282365,156.34935581999997,75.39910408071142,49.050505516529704,30.50179756424201,12833.766999999998,569.4400800000001,20.432279872959747,70.22186092307722,304.81551060752173,1659.481440489254
7.31,2746.975416584827,68.78631715239385,282.47367271999997,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,52.65354408486567,162.21306158,78.18703203724944,50.319267369939276,31.187211496060364,14849.776999999998,662.31948146875,20.649488719071464,73.7529301722989,343.6938193509517,1734.329026261897
7.3,3619.321004921604,82.48599460838025,657.8430293199999,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,105.69417557341862,288.01664399000003,159.03959070619246,60.64109009603223,38.65308479500698,26354.504,1137.1787448707198,23.618965684868893,97.47564371934149,447.97672904429015,2205.148568188162
8.54,3675.2048462017765,57.83697609947871,727.4414055599998,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,105.04548299758798,275.90773209,159.8881473060451,66.24740610177557,46.09113543459306,31253.992000000002,1172.6578587694028,27.02669076346811,110.7727983396646,374.6907906880165,2373.618827141232
8.52,3623.1384430364737,55.44342537164712,658.0925665200002,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,104.4937859992049,244.87801539,156.52564206980463,61.48285010217771,40.91885145834374,27789.507999999998,1096.8716246386896,24.710272752427773,99.93325394732224,400.87714434331554,2243.200078757755
8.92,3596.9420917097605,54.79148528119404,640.6441877999999,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,104.31186349045801,236.40060083,155.5205158208182,61.28827962759615,40.3988848660455,26781.502999999997,1014.8934958177413,24.559257219053457,99.08342555392399,381.1923685037444,2185.847220949476
8.92,3687.664924575597,57.10094172855711,706.6368994,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,104.8533212301897,268.45134428,158.9672497138528,62.13603423362555,42.945600330301595,30505.958000000002,1191.2622766668464,25.42072813151265,102.69331556873601,414.96619938563794,2366.2645082389454
8.96,4118.102306273063,64.38708500597212,873.7315709999998,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,124.85814374163368,303.82246843,194.63500506260536,65.44108223757739,42.44054574837605,33837.53799999999,1355.1486629861904,25.152591391550526,109.23209478903168,520.4291093516167,2407.0733585326284
