Activity,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,82.56727108676455,1658.257428393499,380.75086812680667,24.004108562636915,500.8623182792969,127.05139518999997,301.3499999999999,6014.1709999999985,298.36068984,141.9459083283279,2668.46223557841,146.30089999999998,3965.385526119835,57.92706976236028,14694.437399999997,55.836343007090015,269.2561360659322,41.27225385002131,37.044318054055196,81.6629044972073
9.0,105.02349143668306,1680.0099135679407,628.4647591733835,24.69493854117658,846.226733185547,148.66076701999998,393.4861999999999,6562.225599999998,399.72824663999995,219.34753195824067,2839.2021770149195,163.7514,4381.833280793953,71.72114188754168,17604.845,62.187615209699366,421.3194367158121,40.78241768806961,38.97757185792876,96.21066939908484
7.64,75.39910408071142,1659.481440489254,428.44481789443364,20.432279872959747,569.4400800000001,156.34935581999997,238.42499999999995,5772.2676999999985,260.24555816,166.138285959921,2530.4588124896004,109.92129999999999,3710.545956333448,51.461518398282365,12833.766999999998,49.050505516529704,304.81551060752173,68.55106704106494,30.50179756424201,70.22186092307722
7.31,78.18703203724944,1734.329026261897,493.07788905840687,20.649488719071464,662.31948146875,162.21306158,264.435,6276.270199999998,282.47367271999997,186.69716321886003,2746.975416584827,116.42379999999999,4106.236764288257,52.65354408486567,14849.776999999998,50.319267369939276,343.6938193509517,68.78631715239385,31.187211496060364,73.7529301722989
7.3,159.03959070619246,2205.148568188162,699.0221455538546,23.618965684868893,1137.1787448707198,288.01664399000003,447.5759999999999,10179.667799999997,657.8430293199999,253.6120181711015,3619.321004921604,183.01649999999998,5812.647541007195,105.69417557341862,26354.504,60.64109009603223,447.97672904429015,82.48599460838025,38.65308479500698,97.47564371934149
8.54,159.8881473060451,2373.618827141232,612.5542518861757,27.02669076346811,1172.6578587694028,275.90773209,579.156,12238.2732,727.4414055599998,226.51769140984507,3675.2048462017765,247.11249999999993,6110.916161369422,105.04548299758798,31253.992000000002,66.24740610177557,374.6907906880165,57.83697609947871,46.09113543459306,110.7727983396646
8.52,156.52564206980463,2243.200078757755,636.256268261373,24.710272752427773,1096.8716246386896,244.87801539,477.97199999999987,10722.867999999997,658.0925665200002,234.21577043824735,3623.1384430364737,201.19869999999995,5895.985188522907,104.4937859992049,27789.507999999998,61.48285010217771,400.87714434331554,55.44342537164712,40.91885145834374,99.93325394732224
8.92,155.5205158208182,2185.847220949476,604.2436839540127,24.559257219053457,1014.8934958177413,236.40060083,464.96699999999987,10218.865499999998,640.6441877999999,219.5856103535891,3596.9420917097605,194.69619999999995,5809.17956885966,104.31186349045801,26781.502999999997,61.28827962759615,381.1923685037444,54.79148528119404,40.3988848660455,99.08342555392399
8.92,158.9672497138528,2366.2645082389454,662.0187055984071,25.42072813151265,1191.2622766668464,268.45134428,519.4859999999999,11974.233,706.6368994,244.12837372871044,3687.664924575597,223.44529999999995,6114.991505409595,104.8533212301897,30505.958000000002,62.13603423362555,414.96619938563794,57.10094172855711,42.945600330301595,102.69331556873601
8.96,194.63500506260536,2407.0733585326284,823.8816532307743,25.152591391550526,1355.1486629861904,303.82246843,556.002,12234.8755,873.7315709999998,272.9845261583744,4118.102306273063,220.70619999999994,6815.2397803429485,124.85814374163368,33837.53799999999,65.44108223757739,520.4291093516167,64.38708500597212,42.44054574837605,109.23209478903168
