Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,2668.46223557841,14694.437399999997,98.55208210941986,37.044318054055196,1658.257428393499,141.9459083283279,1298.602980597656,269.2561360659322,6014.1709999999985,301.3499999999999,146.30089999999998,298.36068984,41.27225385002131,127.05139518999997,500.8623182792969,57.92706976236028,32.82789831009999,82.56727108676455,81.6629044972073,24.004108562636915
9.0,2839.2021770149195,17604.845,146.21731236945502,38.97757185792876,1680.0099135679407,219.34753195824067,2382.9307214179685,421.3194367158121,6562.225599999998,393.4861999999999,163.7514,399.72824663999995,40.78241768806961,148.66076701999998,846.226733185547,71.72114188754168,28.139996218638522,105.02349143668306,96.21066939908484,24.69493854117658
7.64,2530.4588124896004,12833.766999999998,114.5039223167868,30.50179756424201,1659.481440489254,166.138285959921,1399.5618880000002,304.81551060752173,5772.2676999999985,238.42499999999995,109.92129999999999,260.24555816,68.55106704106494,156.34935581999997,569.4400800000001,51.461518398282365,62.94270230227651,75.39910408071142,70.22186092307722,20.432279872959747
7.31,2746.975416584827,14849.776999999998,127.29549639489386,31.187211496060364,1734.329026261897,186.69716321886003,1691.2365320625,343.6938193509517,6276.270199999998,264.435,116.42379999999999,282.47367271999997,68.78631715239385,162.21306158,662.31948146875,52.65354408486567,62.955818067585916,78.18703203724944,73.7529301722989,20.649488719071464
7.3,3619.321004921604,26354.504,160.46762301072576,38.65308479500698,2205.148568188162,253.6120181711015,3066.9944992931155,447.97672904429015,10179.667799999997,447.5759999999999,183.01649999999998,657.8430293199999,82.48599460838025,288.01664399000003,1137.1787448707198,105.69417557341862,65.83090651106703,159.03959070619246,97.47564371934149,23.618965684868893
8.54,3675.2048462017765,31253.992000000002,135.8255312310981,46.09113543459306,2373.618827141232,226.51769140984507,3084.6520283516384,374.6907906880165,12238.2732,579.156,247.11249999999993,727.4414055599998,57.83697609947871,275.90773209,1172.6578587694028,105.04548299758798,36.27120042543326,159.8881473060451,110.7727983396646,27.02669076346811
8.52,3623.1384430364737,27789.507999999998,145.26751142466313,40.91885145834374,2243.200078757755,234.21577043824735,2913.722255681102,400.87714434331554,10722.867999999997,477.97199999999987,201.19869999999995,658.0925665200002,55.44342537164712,244.87801539,1096.8716246386896,104.4937859992049,35.563691280198974,156.52564206980463,99.93325394732224,24.710272752427773
8.92,3596.9420917097605,26781.502999999997,136.48722300747113,40.3988848660455,2185.847220949476,219.5856103535891,2729.3012414498535,381.1923685037444,10218.865499999998,464.96699999999987,194.69619999999995,640.6441877999999,54.79148528119404,236.40060083,1014.8934958177413,104.31186349045801,35.402394182423244,155.5205158208182,99.08342555392399,24.559257219053457
8.92,3687.664924575597,30505.958000000002,150.45628207737997,42.945600330301595,2366.2645082389454,244.12837372871044,3140.007850068009,414.96619938563794,11974.233,519.4859999999999,223.44529999999995,706.6368994,57.10094172855711,268.45134428,1191.2622766668464,104.8533212301897,35.950941969016014,158.9672497138528,102.69331556873601,25.42072813151265
8.96,4118.102306273063,33837.53799999999,165.64934877443773,42.44054574837605,2407.0733585326284,272.9845261583744,3900.808433836276,520.4291093516167,12234.8755,556.002,220.70619999999994,873.7315709999998,64.38708500597212,303.82246843,1355.1486629861904,124.85814374163368,39.97666786951465,194.63500506260536,109.23209478903168,25.152591391550526
8.55,3650.3849024850315,27297.403999999995,138.45793535167564,42.09636548895879,2189.8304455223374,224.18376411110168,2848.7208421904,391.3829379994046,10350.885599999998,482.51099999999985,206.52979999999994,659.6263474,55.508668765596745,240.52402551,1053.9797880480837,108.15229549287595,35.96496158590133,160.28132433343328,101.5561951212234,25.442880288293395
9.22,3733.836316848946,29983.321999999996,188.9746288056574,41.456725215940544,2321.238151202674,302.7899415177045,3798.7249245568237,513.6592680866952,11319.6929,504.28799999999984,207.85509999999996,734.0889702399999,81.96024117338209,302.45776264,1424.0706510176346,108.03495815148254,64.51736070064428,166.2883943479743,102.5644933517443,24.870240865683307
8.0,4327.866225232816,38539.4268,147.2749458896052,44.79418593790941,2561.2683379364935,247.9118616511923,3744.354908849396,439.73070707413405,13574.208500000002,619.0026000000001,243.83839999999995,950.3311864799996,69.71204251201577,338.51581983999995,1303.2108147501267,129.6800892576781,42.71547425024511,206.38168295634296,115.44696345655872,26.185668387590873
8.11,4245.994731975482,39294.235,180.32080332357373,46.40569686676412,2575.4050380047615,301.21482180546195,4513.931980554596,517.424678439041,14122.263100000002,661.1130000000002,261.28889999999996,1033.2419151199997,71.1238473795553,361.25084707999997,1601.118572771993,130.31255857231224,43.07840966127201,210.2004699045632,119.2383817359159,26.76992012730529
7.92,4208.701959855615,37377.454,160.70526668026514,43.425395057730924,2510.3862637789525,268.7571019480117,3989.978754332734,473.68183772905587,13242.880500000003,612.5610000000001,233.71119999999993,1017.3534449199997,71.30593087055681,351.4167150099999,1394.166947523137,130.69831946298717,43.34423583035612,210.85433038283895,114.85176787276721,25.439040710344518
