Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,41.27225385002131,3965.385526119835,146.30089999999998,1298.602980597656,269.2561360659322,32.82789831009999,6014.1709999999985,24.004108562636915,301.3499999999999,1658.257428393499,127.05139518999997,82.56727108676455,57.92706976236028,380.75086812680667,98.55208210941986,81.6629044972073,141.9459083283279
9.0,40.78241768806961,4381.833280793953,163.7514,2382.9307214179685,421.3194367158121,28.139996218638522,6562.225599999998,24.69493854117658,393.4861999999999,1680.0099135679407,148.66076701999998,105.02349143668306,71.72114188754168,628.4647591733835,146.21731236945502,96.21066939908484,219.34753195824067
7.64,68.55106704106494,3710.545956333448,109.92129999999999,1399.5618880000002,304.81551060752173,62.94270230227651,5772.2676999999985,20.432279872959747,238.42499999999995,1659.481440489254,156.34935581999997,75.39910408071142,51.461518398282365,428.44481789443364,114.5039223167868,70.22186092307722,166.138285959921
7.31,68.78631715239385,4106.236764288257,116.42379999999999,1691.2365320625,343.6938193509517,62.955818067585916,6276.270199999998,20.649488719071464,264.435,1734.329026261897,162.21306158,78.18703203724944,52.65354408486567,493.07788905840687,127.29549639489386,73.7529301722989,186.69716321886003
7.3,82.48599460838025,5812.647541007195,183.01649999999998,3066.9944992931155,447.97672904429015,65.83090651106703,10179.667799999997,23.618965684868893,447.5759999999999,2205.148568188162,288.01664399000003,159.03959070619246,105.69417557341862,699.0221455538546,160.46762301072576,97.47564371934149,253.6120181711015
8.54,57.83697609947871,6110.916161369422,247.11249999999993,3084.6520283516384,374.6907906880165,36.27120042543326,12238.2732,27.02669076346811,579.156,2373.618827141232,275.90773209,159.8881473060451,105.04548299758798,612.5542518861757,135.8255312310981,110.7727983396646,226.51769140984507
8.52,55.44342537164712,5895.985188522907,201.19869999999995,2913.722255681102,400.87714434331554,35.563691280198974,10722.867999999997,24.710272752427773,477.97199999999987,2243.200078757755,244.87801539,156.52564206980463,104.4937859992049,636.256268261373,145.26751142466313,99.93325394732224,234.21577043824735
8.92,54.79148528119404,5809.17956885966,194.69619999999995,2729.3012414498535,381.1923685037444,35.402394182423244,10218.865499999998,24.559257219053457,464.96699999999987,2185.847220949476,236.40060083,155.5205158208182,104.31186349045801,604.2436839540127,136.48722300747113,99.08342555392399,219.5856103535891
8.92,57.10094172855711,6114.991505409595,223.44529999999995,3140.007850068009,414.96619938563794,35.950941969016014,11974.233,25.42072813151265,519.4859999999999,2366.2645082389454,268.45134428,158.9672497138528,104.8533212301897,662.0187055984071,150.45628207737997,102.69331556873601,244.12837372871044
8.96,64.38708500597212,6815.2397803429485,220.70619999999994,3900.808433836276,520.4291093516167,39.97666786951465,12234.8755,25.152591391550526,556.002,2407.0733585326284,303.82246843,194.63500506260536,124.85814374163368,823.8816532307743,165.64934877443773,109.23209478903168,272.9845261583744
8.55,55.508668765596745,5887.248114816845,206.52979999999994,2848.7208421904,391.3829379994046,35.96496158590133,10350.885599999998,25.442880288293395,482.51099999999985,2189.8304455223374,240.52402551,160.28132433343328,108.15229549287595,623.7953098324994,138.45793535167564,101.5561951212234,224.18376411110168
9.22,81.96024117338209,6169.05951530134,207.85509999999996,3798.7249245568237,513.6592680866952,64.51736070064428,11319.6929,24.870240865683307,504.28799999999984,2321.238151202674,302.45776264,166.2883943479743,108.03495815148254,815.8655582153875,188.9746288056574,102.5644933517443,302.7899415177045
8.0,69.71204251201577,7322.342744794522,243.83839999999995,3744.354908849396,439.73070707413405,42.71547425024511,13574.208500000002,26.185668387590873,619.0026000000001,2561.2683379364935,338.51581983999995,206.38168295634296,129.6800892576781,726.9677232730112,147.2749458896052,115.44696345655872,247.9118616511923
8.11,71.1238473795553,7259.780058300045,261.28889999999996,4513.931980554596,517.424678439041,43.07840966127201,14122.263100000002,26.76992012730529,661.1130000000002,2575.4050380047615,361.25084707999997,210.2004699045632,130.31255857231224,859.7767797022084,180.32080332357373,119.2383817359159,301.21482180546195
7.92,71.30593087055681,7136.190148192137,233.71119999999993,3989.978754332734,473.68183772905587,43.34423583035612,13242.880500000003,25.439040710344518,612.5610000000001,2510.3862637789525,351.4167150099999,210.85433038283895,130.69831946298717,781.1675900893554,160.70526668026514,114.85176787276721,268.7571019480117
8.15,59.931643194833335,5863.854551316469,186.48729999999998,2333.5438293020256,339.25558801932203,39.997661469858066,9914.1709,24.313891469394264,440.5067999999999,2182.781837946296,245.84982003000002,162.7768453352415,108.18642583895642,530.9691408158914,117.58298842042117,96.78279668215833,187.56046123515668
5.55,66.69901347796775,2784.572969298883,83.9113,634.51852475,165.01789338712737,62.771937706528256,3756.2577000000006,19.513477942059566,170.90099999999995,1318.2581580643791,124.93721341999998,64.57136466536652,46.89676520120246,222.75514367316921,69.80231540895738,60.0652486467841,96.99224083297173
6.07,67.02635098434203,3020.421197858835,90.4138,774.8945950000001,191.33662181293448,62.79769274989507,4260.2602,19.751254602611326,183.90599999999995,1411.319627621447,131.46413805999998,65.69307603380621,47.32677369129971,262.28831124236524,78.09989182510638,62.27181449098781,110.30204965320146
6.37,79.89135147578962,5037.869539088423,129.42879999999997,1848.1658432351685,330.62922011513666,65.5316645716761,7284.275199999997,21.070702411277548,313.9559999999999,1875.08245454621,237.61801106000004,151.23736019322632,103.94848537465445,492.12455270232607,116.45979521903092,81.14098397234284,177.94569187204294
6.7,68.05736267898266,3499.148492708619,103.41879999999999,1206.5652112500002,268.13718967640284,62.895624578552926,5268.265199999999,20.210351997433982,225.41999999999996,1581.0945991059612,148.16205853999998,72.9021049021589,50.12069178884418,375.91092316112685,102.488477458879,68.39162751389968,148.20648542226868
2.7,26.980444358077946,3054.0234077924156,107.4246,654.6577929375,152.49627499743224,19.693317693691252,3927.475500000001,22.052551960385305,223.38,1292.47117710901,79.09121726999999,61.33693720619342,43.69684029735141,211.4240758782761,59.0920498409243,70.88264314343814,84.05630868818044
