Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,41.27225385002131,298.36068984,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,57.92706976236028,127.05139518999997,55.836343007090015,37.044318054055196,14694.437399999997,81.6629044972073,269.2561360659322,1658.257428393499,380.75086812680667,32.82789831009999,98.55208210941986,24.004108562636915
9.0,40.78241768806961,399.72824663999995,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,71.72114188754168,148.66076701999998,62.187615209699366,38.97757185792876,17604.845,96.21066939908484,421.3194367158121,1680.0099135679407,628.4647591733835,28.139996218638522,146.21731236945502,24.69493854117658
7.64,68.55106704106494,260.24555816,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,51.461518398282365,156.34935581999997,49.050505516529704,30.50179756424201,12833.766999999998,70.22186092307722,304.81551060752173,1659.481440489254,428.44481789443364,62.94270230227651,114.5039223167868,20.432279872959747
7.31,68.78631715239385,282.47367271999997,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,52.65354408486567,162.21306158,50.319267369939276,31.187211496060364,14849.776999999998,73.7529301722989,343.6938193509517,1734.329026261897,493.07788905840687,62.955818067585916,127.29549639489386,20.649488719071464
7.3,82.48599460838025,657.8430293199999,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,105.69417557341862,288.01664399000003,60.64109009603223,38.65308479500698,26354.504,97.47564371934149,447.97672904429015,2205.148568188162,699.0221455538546,65.83090651106703,160.46762301072576,23.618965684868893
8.54,57.83697609947871,727.4414055599998,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,105.04548299758798,275.90773209,66.24740610177557,46.09113543459306,31253.992000000002,110.7727983396646,374.6907906880165,2373.618827141232,612.5542518861757,36.27120042543326,135.8255312310981,27.02669076346811
8.52,55.44342537164712,658.0925665200002,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,104.4937859992049,244.87801539,61.48285010217771,40.91885145834374,27789.507999999998,99.93325394732224,400.87714434331554,2243.200078757755,636.256268261373,35.563691280198974,145.26751142466313,24.710272752427773
8.92,54.79148528119404,640.6441877999999,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,104.31186349045801,236.40060083,61.28827962759615,40.3988848660455,26781.502999999997,99.08342555392399,381.1923685037444,2185.847220949476,604.2436839540127,35.402394182423244,136.48722300747113,24.559257219053457
8.92,57.10094172855711,706.6368994,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,104.8533212301897,268.45134428,62.13603423362555,42.945600330301595,30505.958000000002,102.69331556873601,414.96619938563794,2366.2645082389454,662.0187055984071,35.950941969016014,150.45628207737997,25.42072813151265
8.96,64.38708500597212,873.7315709999998,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,124.85814374163368,303.82246843,65.44108223757739,42.44054574837605,33837.53799999999,109.23209478903168,520.4291093516167,2407.0733585326284,823.8816532307743,39.97666786951465,165.64934877443773,25.152591391550526
8.55,55.508668765596745,659.6263474,5887.248114816845,206.52979999999994,224.18376411110168,2848.7208421904,108.15229549287595,240.52402551,62.66521148806405,42.09636548895879,27297.403999999995,101.5561951212234,391.3829379994046,2189.8304455223374,623.7953098324994,35.96496158590133,138.45793535167564,25.442880288293395
9.22,81.96024117338209,734.0889702399999,6169.05951530134,207.85509999999996,302.7899415177045,3798.7249245568237,108.03495815148254,302.45776264,62.38552998024147,41.456725215940544,29983.321999999996,102.5644933517443,513.6592680866952,2321.238151202674,815.8655582153875,64.51736070064428,188.9746288056574,24.870240865683307
8.0,69.71204251201577,950.3311864799996,7322.342744794522,243.83839999999995,247.9118616511923,3744.354908849396,129.6800892576781,338.51581983999995,68.07917299997499,44.79418593790941,38539.4268,115.44696345655872,439.73070707413405,2561.2683379364935,726.9677232730112,42.71547425024511,147.2749458896052,26.185668387590873
8.11,71.1238473795553,1033.2419151199997,7259.780058300045,261.28889999999996,301.21482180546195,4513.931980554596,130.31255857231224,361.25084707999997,69.30960624897119,46.40569686676412,39294.235,119.2383817359159,517.424678439041,2575.4050380047615,859.7767797022084,43.07840966127201,180.32080332357373,26.76992012730529
7.92,71.30593087055681,1017.3534449199997,7136.190148192137,233.71119999999993,268.7571019480117,3989.978754332734,130.69831946298717,351.4167150099999,67.52942290783024,43.425395057730924,37377.454,114.85176787276721,473.68183772905587,2510.3862637789525,781.1675900893554,43.34423583035612,160.70526668026514,25.439040710344518
8.15,59.931643194833335,668.9364868399998,5863.854551316469,186.48729999999998,187.56046123515668,2333.5438293020256,108.18642583895642,245.84982003000002,60.80658960330297,39.62962857673537,26363.810799999996,96.78279668215833,339.25558801932203,2182.781837946296,530.9691408158914,39.997661469858066,117.58298842042117,24.313891469394264
