Activity,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,298.36068984,82.56727108676455,141.9459083283279,81.6629044972073,2668.46223557841,32.82789831009999,37.044318054055196,380.75086812680667,57.92706976236028,146.30089999999998,269.2561360659322,1298.602980597656,500.8623182792969,24.004108562636915,1658.257428393499,14694.437399999997,55.836343007090015,41.27225385002131
9.0,399.72824663999995,105.02349143668306,219.34753195824067,96.21066939908484,2839.2021770149195,28.139996218638522,38.97757185792876,628.4647591733835,71.72114188754168,163.7514,421.3194367158121,2382.9307214179685,846.226733185547,24.69493854117658,1680.0099135679407,17604.845,62.187615209699366,40.78241768806961
7.64,260.24555816,75.39910408071142,166.138285959921,70.22186092307722,2530.4588124896004,62.94270230227651,30.50179756424201,428.44481789443364,51.461518398282365,109.92129999999999,304.81551060752173,1399.5618880000002,569.4400800000001,20.432279872959747,1659.481440489254,12833.766999999998,49.050505516529704,68.55106704106494
7.31,282.47367271999997,78.18703203724944,186.69716321886003,73.7529301722989,2746.975416584827,62.955818067585916,31.187211496060364,493.07788905840687,52.65354408486567,116.42379999999999,343.6938193509517,1691.2365320625,662.31948146875,20.649488719071464,1734.329026261897,14849.776999999998,50.319267369939276,68.78631715239385
7.3,657.8430293199999,159.03959070619246,253.6120181711015,97.47564371934149,3619.321004921604,65.83090651106703,38.65308479500698,699.0221455538546,105.69417557341862,183.01649999999998,447.97672904429015,3066.9944992931155,1137.1787448707198,23.618965684868893,2205.148568188162,26354.504,60.64109009603223,82.48599460838025
8.54,727.4414055599998,159.8881473060451,226.51769140984507,110.7727983396646,3675.2048462017765,36.27120042543326,46.09113543459306,612.5542518861757,105.04548299758798,247.11249999999993,374.6907906880165,3084.6520283516384,1172.6578587694028,27.02669076346811,2373.618827141232,31253.992000000002,66.24740610177557,57.83697609947871
8.52,658.0925665200002,156.52564206980463,234.21577043824735,99.93325394732224,3623.1384430364737,35.563691280198974,40.91885145834374,636.256268261373,104.4937859992049,201.19869999999995,400.87714434331554,2913.722255681102,1096.8716246386896,24.710272752427773,2243.200078757755,27789.507999999998,61.48285010217771,55.44342537164712
8.92,640.6441877999999,155.5205158208182,219.5856103535891,99.08342555392399,3596.9420917097605,35.402394182423244,40.3988848660455,604.2436839540127,104.31186349045801,194.69619999999995,381.1923685037444,2729.3012414498535,1014.8934958177413,24.559257219053457,2185.847220949476,26781.502999999997,61.28827962759615,54.79148528119404
8.92,706.6368994,158.9672497138528,244.12837372871044,102.69331556873601,3687.664924575597,35.950941969016014,42.945600330301595,662.0187055984071,104.8533212301897,223.44529999999995,414.96619938563794,3140.007850068009,1191.2622766668464,25.42072813151265,2366.2645082389454,30505.958000000002,62.13603423362555,57.10094172855711
8.96,873.7315709999998,194.63500506260536,272.9845261583744,109.23209478903168,4118.102306273063,39.97666786951465,42.44054574837605,823.8816532307743,124.85814374163368,220.70619999999994,520.4291093516167,3900.808433836276,1355.1486629861904,25.152591391550526,2407.0733585326284,33837.53799999999,65.44108223757739,64.38708500597212
8.55,659.6263474,160.28132433343328,224.18376411110168,101.5561951212234,3650.3849024850315,35.96496158590133,42.09636548895879,623.7953098324994,108.15229549287595,206.52979999999994,391.3829379994046,2848.7208421904,1053.9797880480837,25.442880288293395,2189.8304455223374,27297.403999999995,62.66521148806405,55.508668765596745
9.22,734.0889702399999,166.2883943479743,302.7899415177045,102.5644933517443,3733.836316848946,64.51736070064428,41.456725215940544,815.8655582153875,108.03495815148254,207.85509999999996,513.6592680866952,3798.7249245568237,1424.0706510176346,24.870240865683307,2321.238151202674,29983.321999999996,62.38552998024147,81.96024117338209
8.0,950.3311864799996,206.38168295634296,247.9118616511923,115.44696345655872,4327.866225232816,42.71547425024511,44.79418593790941,726.9677232730112,129.6800892576781,243.83839999999995,439.73070707413405,3744.354908849396,1303.2108147501267,26.185668387590873,2561.2683379364935,38539.4268,68.07917299997499,69.71204251201577
8.11,1033.2419151199997,210.2004699045632,301.21482180546195,119.2383817359159,4245.994731975482,43.07840966127201,46.40569686676412,859.7767797022084,130.31255857231224,261.28889999999996,517.424678439041,4513.931980554596,1601.118572771993,26.76992012730529,2575.4050380047615,39294.235,69.30960624897119,71.1238473795553
7.92,1017.3534449199997,210.85433038283895,268.7571019480117,114.85176787276721,4208.701959855615,43.34423583035612,43.425395057730924,781.1675900893554,130.69831946298717,233.71119999999993,473.68183772905587,3989.978754332734,1394.166947523137,25.439040710344518,2510.3862637789525,37377.454,67.52942290783024,71.30593087055681
8.15,668.9364868399998,162.7768453352415,187.56046123515668,96.78279668215833,3673.329393472428,39.997661469858066,39.62962857673537,530.9691408158914,108.18642583895642,186.48729999999998,339.25558801932203,2333.5438293020256,849.424560977104,24.313891469394264,2182.781837946296,26363.810799999996,60.80658960330297,59.931643194833335
5.55,186.86191704000004,64.57136466536652,96.99224083297173,60.0652486467841,2022.4448637099583,62.771937706528256,27.590390168498885,222.75514367316921,46.89676520120246,83.9113,165.01789338712737,634.51852475,283.9510423750001,19.513477942059566,1318.2581580643791,8101.306999999999,44.867260801608516,66.69901347796775
6.07,196.68203816000002,65.69307603380621,110.30204965320146,62.27181449098781,2174.5479444079765,62.79769274989507,28.34628963197829,262.28831124236524,47.32677369129971,90.4138,191.33662181293448,774.8945950000001,339.0041039375001,19.751254602611326,1411.319627621447,9109.312,45.89053391180466,67.02635098434203
6.37,538.58197084,151.23736019322632,177.94569187204294,81.14098397234284,3321.86414980736,65.5316645716761,32.514722410009895,492.12455270232607,103.94848537465445,129.42879999999997,330.62922011513666,1848.1658432351685,690.0606841872101,21.070702411277548,1875.08245454621,19189.361999999997,53.51751404340992,79.89135147578962
6.7,245.00578216,72.9021049021589,148.20648542226868,68.39162751389968,2389.454288194701,62.895624578552926,29.80062328878374,375.91092316112685,50.12069178884418,103.41879999999999,268.13718967640284,1206.5652112500002,495.64730487500003,20.210351997433982,1581.0945991059612,11825.761999999999,48.27651832589877,68.05736267898266
2.7,191.53701944,61.33693720619342,84.05630868818044,70.88264314343814,2169.194037976688,19.693317693691252,32.237751982109415,211.4240758782761,43.69684029735141,107.4246,152.49627499743224,654.6577929375,268.09988684375,22.052551960385305,1292.47117710901,9560.108,50.8416677914314,26.980444358077946
2.87,201.35714055999998,62.51670952531182,98.02277348716156,72.76189857336048,2303.1622874137324,19.951691409703784,32.88700593106645,250.05974984728348,44.19107807047381,113.9271,179.00551269417275,792.513849125,322.0510172500001,22.239416663542077,1387.2635883867922,10568.113,51.6441609207177,27.779807506558143
4.96,260.24555816,75.39910408071142,166.138285959921,70.22186092307722,2530.4588124896004,62.94270230227651,30.50179756424201,428.44481789443364,51.461518398282365,109.92129999999999,304.81551060752173,1399.5618880000002,569.4400800000001,20.432279872959747,1659.481440489254,12833.766999999998,49.050505516529704,68.55106704106494
2.74,245.00578216,72.9021049021589,148.20648542226868,68.39162751389968,2389.454288194701,62.895624578552926,29.80062328878374,375.91092316112685,50.12069178884418,103.41879999999999,268.13718967640284,1206.5652112500002,495.64730487500003,20.210351997433982,1581.0945991059612,11825.761999999999,48.27651832589877,68.05736267898266
2.96,233.80466055999997,67.3252764329194,121.36000803108925,75.61163234912998,2509.403606865237,20.885643775381038,34.1485017476609,310.30269407516727,46.3636496235388,126.93209999999999,219.5437638931178,1033.3052710625002,420.89076131249993,22.604004990912365,1559.6593550119526,12584.123,52.58890661196682,30.183247677702344
2.98,250.77176231999997,69.3760171738867,130.66199752293383,76.72189369078424,2562.4884972759487,21.341192735168484,34.76208678805114,332.832286201804,47.05868033921529,133.4346,234.27530129197027,1136.103819761719,465.0185349472658,22.781969850914958,1639.071634701348,13592.127999999999,52.85268849591541,31.351156246550524
3.26,543.25707324,149.88494870834913,169.16327509368492,89.44481138668691,3379.303457356439,34.681583716637356,36.54107547144719,482.1569669461345,103.33701369553043,152.94209999999995,323.5304200703904,1860.1639068105317,670.9877739055405,23.29984333283908,1857.0437215373527,20648.162999999997,57.92729620347919,51.59277099995083
3.35,197.24572863999998,61.77424734199726,121.04081199349312,67.50674099673306,2286.492847393357,19.112253753329828,29.780768152450328,318.6058564011808,43.41675644639923,99.5015,231.65549238833066,964.8382893906253,381.0150227421876,20.387858001464778,1396.017814949286,10421.289999999999,48.08112403824545,26.995201522263994
3.38,239.41070807999995,67.77818955287671,153.37281275576655,72.45640018314461,2598.6653853654225,20.371573844756206,31.83931014485081,407.37799897858184,46.09480754988029,119.00899999999999,288.82190443966397,1351.1966441406255,536.2325658671874,21.028939669036234,1646.4875643850244,13445.305,50.023166515181856,30.196439655062452
