Activity,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,98.55208210941986,298.36068984,1298.602980597656,269.2561360659322,32.82789831009999,37.044318054055196,82.56727108676455,24.004108562636915,41.27225385002131,57.92706976236028,3965.385526119835,1658.257428393499,127.05139518999997,500.8623182792969,81.6629044972073,141.9459083283279,55.836343007090015,6014.1709999999985
9.0,146.21731236945502,399.72824663999995,2382.9307214179685,421.3194367158121,28.139996218638522,38.97757185792876,105.02349143668306,24.69493854117658,40.78241768806961,71.72114188754168,4381.833280793953,1680.0099135679407,148.66076701999998,846.226733185547,96.21066939908484,219.34753195824067,62.187615209699366,6562.225599999998
7.64,114.5039223167868,260.24555816,1399.5618880000002,304.81551060752173,62.94270230227651,30.50179756424201,75.39910408071142,20.432279872959747,68.55106704106494,51.461518398282365,3710.545956333448,1659.481440489254,156.34935581999997,569.4400800000001,70.22186092307722,166.138285959921,49.050505516529704,5772.2676999999985
7.31,127.29549639489386,282.47367271999997,1691.2365320625,343.6938193509517,62.955818067585916,31.187211496060364,78.18703203724944,20.649488719071464,68.78631715239385,52.65354408486567,4106.236764288257,1734.329026261897,162.21306158,662.31948146875,73.7529301722989,186.69716321886003,50.319267369939276,6276.270199999998
7.3,160.46762301072576,657.8430293199999,3066.9944992931155,447.97672904429015,65.83090651106703,38.65308479500698,159.03959070619246,23.618965684868893,82.48599460838025,105.69417557341862,5812.647541007195,2205.148568188162,288.01664399000003,1137.1787448707198,97.47564371934149,253.6120181711015,60.64109009603223,10179.667799999997
8.54,135.8255312310981,727.4414055599998,3084.6520283516384,374.6907906880165,36.27120042543326,46.09113543459306,159.8881473060451,27.02669076346811,57.83697609947871,105.04548299758798,6110.916161369422,2373.618827141232,275.90773209,1172.6578587694028,110.7727983396646,226.51769140984507,66.24740610177557,12238.2732
8.52,145.26751142466313,658.0925665200002,2913.722255681102,400.87714434331554,35.563691280198974,40.91885145834374,156.52564206980463,24.710272752427773,55.44342537164712,104.4937859992049,5895.985188522907,2243.200078757755,244.87801539,1096.8716246386896,99.93325394732224,234.21577043824735,61.48285010217771,10722.867999999997
8.92,136.48722300747113,640.6441877999999,2729.3012414498535,381.1923685037444,35.402394182423244,40.3988848660455,155.5205158208182,24.559257219053457,54.79148528119404,104.31186349045801,5809.17956885966,2185.847220949476,236.40060083,1014.8934958177413,99.08342555392399,219.5856103535891,61.28827962759615,10218.865499999998
8.92,150.45628207737997,706.6368994,3140.007850068009,414.96619938563794,35.950941969016014,42.945600330301595,158.9672497138528,25.42072813151265,57.10094172855711,104.8533212301897,6114.991505409595,2366.2645082389454,268.45134428,1191.2622766668464,102.69331556873601,244.12837372871044,62.13603423362555,11974.233
8.96,165.64934877443773,873.7315709999998,3900.808433836276,520.4291093516167,39.97666786951465,42.44054574837605,194.63500506260536,25.152591391550526,64.38708500597212,124.85814374163368,6815.2397803429485,2407.0733585326284,303.82246843,1355.1486629861904,109.23209478903168,272.9845261583744,65.44108223757739,12234.8755
8.55,138.45793535167564,659.6263474,2848.7208421904,391.3829379994046,35.96496158590133,42.09636548895879,160.28132433343328,25.442880288293395,55.508668765596745,108.15229549287595,5887.248114816845,2189.8304455223374,240.52402551,1053.9797880480837,101.5561951212234,224.18376411110168,62.66521148806405,10350.885599999998
9.22,188.9746288056574,734.0889702399999,3798.7249245568237,513.6592680866952,64.51736070064428,41.456725215940544,166.2883943479743,24.870240865683307,81.96024117338209,108.03495815148254,6169.05951530134,2321.238151202674,302.45776264,1424.0706510176346,102.5644933517443,302.7899415177045,62.38552998024147,11319.6929
8.0,147.2749458896052,950.3311864799996,3744.354908849396,439.73070707413405,42.71547425024511,44.79418593790941,206.38168295634296,26.185668387590873,69.71204251201577,129.6800892576781,7322.342744794522,2561.2683379364935,338.51581983999995,1303.2108147501267,115.44696345655872,247.9118616511923,68.07917299997499,13574.208500000002
8.11,180.32080332357373,1033.2419151199997,4513.931980554596,517.424678439041,43.07840966127201,46.40569686676412,210.2004699045632,26.76992012730529,71.1238473795553,130.31255857231224,7259.780058300045,2575.4050380047615,361.25084707999997,1601.118572771993,119.2383817359159,301.21482180546195,69.30960624897119,14122.263100000002
7.92,160.70526668026514,1017.3534449199997,3989.978754332734,473.68183772905587,43.34423583035612,43.425395057730924,210.85433038283895,25.439040710344518,71.30593087055681,130.69831946298717,7136.190148192137,2510.3862637789525,351.4167150099999,1394.166947523137,114.85176787276721,268.7571019480117,67.52942290783024,13242.880500000003
8.15,117.58298842042117,668.9364868399998,2333.5438293020256,339.25558801932203,39.997661469858066,39.62962857673537,162.7768453352415,24.313891469394264,59.931643194833335,108.18642583895642,5863.854551316469,2182.781837946296,245.84982003000002,849.424560977104,96.78279668215833,187.56046123515668,60.80658960330297,9914.1709
5.55,69.80231540895738,186.86191704000004,634.51852475,165.01789338712737,62.771937706528256,27.590390168498885,64.57136466536652,19.513477942059566,66.69901347796775,46.89676520120246,2784.572969298883,1318.2581580643791,124.93721341999998,283.9510423750001,60.0652486467841,96.99224083297173,44.867260801608516,3756.2577000000006
6.07,78.09989182510638,196.68203816000002,774.8945950000001,191.33662181293448,62.79769274989507,28.34628963197829,65.69307603380621,19.751254602611326,67.02635098434203,47.32677369129971,3020.421197858835,1411.319627621447,131.46413805999998,339.0041039375001,62.27181449098781,110.30204965320146,45.89053391180466,4260.2602
6.37,116.45979521903092,538.58197084,1848.1658432351685,330.62922011513666,65.5316645716761,32.514722410009895,151.23736019322632,21.070702411277548,79.89135147578962,103.94848537465445,5037.869539088423,1875.08245454621,237.61801106000004,690.0606841872101,81.14098397234284,177.94569187204294,53.51751404340992,7284.275199999997
6.7,102.488477458879,245.00578216,1206.5652112500002,268.13718967640284,62.895624578552926,29.80062328878374,72.9021049021589,20.210351997433982,68.05736267898266,50.12069178884418,3499.148492708619,1581.0945991059612,148.16205853999998,495.64730487500003,68.39162751389968,148.20648542226868,48.27651832589877,5268.265199999999
2.7,59.0920498409243,191.53701944,654.6577929375,152.49627499743224,19.693317693691252,32.237751982109415,61.33693720619342,22.052551960385305,26.980444358077946,43.69684029735141,3054.0234077924156,1292.47117710901,79.09121726999999,268.09988684375,70.88264314343814,84.05630868818044,50.8416677914314,3927.475500000001
2.87,68.6324938196261,201.35714055999998,792.513849125,179.00551269417275,19.951691409703784,32.88700593106645,62.51670952531182,22.239416663542077,27.779807506558143,44.19107807047381,3270.4979080361754,1387.2635883867922,85.61814190999999,322.0510172500001,72.76189857336048,98.02277348716156,51.6441609207177,4431.478
4.96,114.5039223167868,260.24555816,1399.5618880000002,304.81551060752173,62.94270230227651,30.50179756424201,75.39910408071142,20.432279872959747,68.55106704106494,51.461518398282365,3710.545956333448,1659.481440489254,156.34935581999997,569.4400800000001,70.22186092307722,166.138285959921,49.050505516529704,5772.2676999999985
2.74,102.488477458879,245.00578216,1206.5652112500002,268.13718967640284,62.895624578552926,29.80062328878374,72.9021049021589,20.210351997433982,68.05736267898266,50.12069178884418,3499.148492708619,1581.0945991059612,148.16205853999998,495.64730487500003,68.39162751389968,148.20648542226868,48.27651832589877,5268.265199999999
2.96,84.26822936537289,233.80466055999997,1033.3052710625002,219.5437638931178,20.885643775381038,34.1485017476609,67.3252764329194,22.604004990912365,30.183247677702344,46.3636496235388,3638.1783582627586,1559.6593550119526,102.28285374999999,420.89076131249993,75.61163234912998,121.36000803108925,52.58890661196682,5439.482999999999
2.98,90.20954557794674,250.77176231999997,1136.103819761719,234.27530129197027,21.341192735168484,34.76208678805114,69.3760171738867,22.781969850914958,31.351156246550524,47.05868033921529,3775.23719076782,1639.071634701348,110.76026830999999,465.0185349472658,76.72189369078424,130.66199752293383,52.85268849591541,5943.485499999999
3.26,111.19002639953064,543.25707324,1860.1639068105317,323.5304200703904,34.681583716637356,36.54107547144719,149.88494870834913,23.29984333283908,51.59277099995083,103.33701369553043,5191.660798518043,1857.0437215373527,191.77201491,670.9877739055405,89.44481138668691,169.16327509368492,57.92729620347919,7455.492999999998
3.35,86.38697580945892,197.24572863999998,964.8382893906253,231.65549238833066,19.112253753329828,29.780768152450328,61.77424734199726,20.387858001464778,26.995201522263994,43.41675644639923,3266.7799663136175,1396.017814949286,84.28270183,381.0150227421876,67.50674099673306,121.04081199349312,48.08112403824545,4410.7978
3.38,105.86531739014914,239.41070807999995,1351.1966441406255,288.82190443966397,20.371573844756206,31.83931014485081,67.77818955287671,21.028939669036234,30.196439655062452,46.09480754988029,3818.525126209791,1646.4875643850244,107.47433830999998,536.2325658671874,72.45640018314461,153.37281275576655,50.023166515181856,5922.805299999999
3.89,110.31326901214473,256.37780984,1454.64867925,300.313605114971,20.849618462369687,32.49652561044026,69.81562784368623,21.234175598623825,31.363856992785948,46.7977874666965,3949.330097563446,1721.9000608864555,115.95175286999998,580.5732225625002,73.61426459932883,161.28230624319806,50.3144667804951,6426.807799999999
3.22,106.16046935973073,490.82191731999995,1618.8048157693486,312.2386810619441,34.08345978185739,32.49652561044026,146.19876830438946,21.23417559862383,49.795223978181035,102.5709089196309,4879.338138227151,1721.9000608864558,173.73865435,579.6673465333254,80.39654623178782,157.82616760210936,53.358687733155605,6426.807799999998
3.72,110.80368319937297,500.53937676,1751.5948545962522,323.8398506140436,34.17063116042957,33.1407103575044,146.72356411020505,21.435519057835872,50.232834464912486,102.6579866249764,5017.672593771239,1794.1455737166452,180.26557899,631.962145426941,82.05820757852317,166.5949013168648,54.0887817107883,6930.810299999997
4.28,118.64716374405144,532.98689676,1985.1049298107296,342.3764105329148,34.500968411276254,34.39290181854389,148.8351611619915,21.82723356024138,51.60085652052105,103.07842663930343,5264.714945592544,1930.5427681612057,196.93029083000002,728.4108767431335,84.59535739920955,181.73092041830697,54.95205915376767,7938.815299999997
4.77,109.59026150345052,269.3692276,1392.3549854101564,290.2075674633797,63.0053714858271,31.187211496060364,74.67762571607261,20.649488719071464,69.14547188958034,50.44014474062066,3643.93282726109,1734.329026261897,165.16234509999995,572.0425914931641,71.99896889886686,160.99562615912632,49.47148394581421,6276.270199999998
2.96,59.91896407419241,164.95627296,462.90594600000003,119.06929571762963,62.6969993107102,24.043104549537688,59.32319258469782,17.389834514517673,66.31741695436637,43.55709468754718,2727.3364921229463,1383.8965622132057,121.24517936999999,233.2437556875,48.50487445092503,82.667864670593,37.50220281618735,3884.8801000000003
3.19,100.47456690039236,245.00578215999997,1178.0660585000003,257.21956100787224,62.895624578552926,29.80062328878374,72.90125023098373,20.210351997433982,68.05736267898264,50.119806475739516,3499.148492708619,1581.0945991059612,148.16205854,488.4844119375001,68.39162751389968,145.66501969171293,48.27651832589877,5268.265199999999
3.48,94.59301293782798,249.68088455999998,1215.7508955625,254.4351433857517,20.879563521739176,34.1485017476609,70.05337700820817,22.604004990912365,30.18262072192864,47.35633232503845,3717.1565111007903,1559.6593550119526,102.31606238999998,475.35818271875,78.06362608795469,136.64135706597216,53.55611267954138,5439.482999999999
5.31,106.07710621825484,281.87827496,1459.351733640625,287.5026955992919,21.73718563014107,35.3650276984198,74.66000507740327,22.957196920035898,32.40835276461758,49.609415848885,4044.4329303477766,1714.8102937901906,118.98077422999998,574.9023368671877,80.72641934645682,155.98150446186267,54.436233474934134,6447.4879999999985
5.62,106.45074324926094,271.96930488,1464.6196832500002,288.4457333251809,21.31482198842864,35.96956836577275,71.99693381047052,23.278009029568086,31.565339535686544,47.838923829011776,3886.413553870265,1657.0395026318927,115.24238862999997,577.0694148750001,81.68457632564423,156.55558951435958,54.8541518148425,6186.8454999999985
4.32,89.59022484086381,291.42675904,1123.9330681289066,241.35562808896825,30.71518325305349,35.87303067110444,82.7925786351545,23.5385225447577,39.3035377406941,58.4318006809953,3986.571553251676,1640.3029016685364,120.21919043,435.3539005136719,78.90166025325449,127.57707194979496,54.46917902125624,5770.810999999999
7.92,147.4641919748979,819.8413183599998,3656.7194939480746,404.2118826638489,37.091674165474096,49.76626913804169,165.64346841460736,28.443887838160077,60.70045236520145,106.28581221815412,6511.800545686885,2544.1649500341123,313.72852255,1391.3001648454601,118.80551528864306,251.57078758149916,69.45726764280516,14125.660800000001
