Activity,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,37.044318054055196,141.9459083283279,81.6629044972073,1658.257428393499,41.27225385002131
9.0,38.97757185792876,219.34753195824067,96.21066939908484,1680.0099135679407,40.78241768806961
7.64,30.50179756424201,166.138285959921,70.22186092307722,1659.481440489254,68.55106704106494
7.31,31.187211496060364,186.69716321886003,73.7529301722989,1734.329026261897,68.78631715239385
7.3,38.65308479500698,253.6120181711015,97.47564371934149,2205.148568188162,82.48599460838025
8.54,46.09113543459306,226.51769140984507,110.7727983396646,2373.618827141232,57.83697609947871
8.52,40.91885145834374,234.21577043824735,99.93325394732224,2243.200078757755,55.44342537164712
8.92,40.3988848660455,219.5856103535891,99.08342555392399,2185.847220949476,54.79148528119404
8.92,42.945600330301595,244.12837372871044,102.69331556873601,2366.2645082389454,57.10094172855711
8.96,42.44054574837605,272.9845261583744,109.23209478903168,2407.0733585326284,64.38708500597212
8.55,42.09636548895879,224.18376411110168,101.5561951212234,2189.8304455223374,55.508668765596745
9.22,41.456725215940544,302.7899415177045,102.5644933517443,2321.238151202674,81.96024117338209
8.0,44.79418593790941,247.9118616511923,115.44696345655872,2561.2683379364935,69.71204251201577
8.11,46.40569686676412,301.21482180546195,119.2383817359159,2575.4050380047615,71.1238473795553
7.92,43.425395057730924,268.7571019480117,114.85176787276721,2510.3862637789525,71.30593087055681
8.15,39.62962857673537,187.56046123515668,96.78279668215833,2182.781837946296,59.931643194833335
5.55,27.590390168498885,96.99224083297173,60.0652486467841,1318.2581580643791,66.69901347796775
6.07,28.34628963197829,110.30204965320146,62.27181449098781,1411.319627621447,67.02635098434203
6.37,32.514722410009895,177.94569187204294,81.14098397234284,1875.08245454621,79.89135147578962
6.7,29.80062328878374,148.20648542226868,68.39162751389968,1581.0945991059612,68.05736267898266
2.7,32.237751982109415,84.05630868818044,70.88264314343814,1292.47117710901,26.980444358077946
2.87,32.88700593106645,98.02277348716156,72.76189857336048,1387.2635883867922,27.779807506558143
4.96,30.50179756424201,166.138285959921,70.22186092307722,1659.481440489254,68.55106704106494
2.74,29.80062328878374,148.20648542226868,68.39162751389968,1581.0945991059612,68.05736267898266
2.96,34.1485017476609,121.36000803108925,75.61163234912998,1559.6593550119526,30.183247677702344
2.98,34.76208678805114,130.66199752293383,76.72189369078424,1639.071634701348,31.351156246550524
3.26,36.54107547144719,169.16327509368492,89.44481138668691,1857.0437215373527,51.59277099995083
3.35,29.780768152450328,121.04081199349312,67.50674099673306,1396.017814949286,26.995201522263994
3.38,31.83931014485081,153.37281275576655,72.45640018314461,1646.4875643850244,30.196439655062452
3.89,32.49652561044026,161.28230624319806,73.61426459932883,1721.9000608864555,31.363856992785948
3.22,32.49652561044026,157.82616760210936,80.39654623178782,1721.9000608864558,49.795223978181035
3.72,33.1407103575044,166.5949013168648,82.05820757852317,1794.1455737166452,50.232834464912486
4.28,34.39290181854389,181.73092041830697,84.59535739920955,1930.5427681612057,51.60085652052105
4.77,31.187211496060364,160.99562615912632,71.99896889886686,1734.329026261897,69.14547188958034
2.96,24.043104549537688,82.667864670593,48.50487445092503,1383.8965622132057,66.31741695436637
3.19,29.80062328878374,145.66501969171293,68.39162751389968,1581.0945991059612,68.05736267898264
3.48,34.1485017476609,136.64135706597216,78.06362608795469,1559.6593550119526,30.18262072192864
5.31,35.3650276984198,155.98150446186267,80.72641934645682,1714.8102937901906,32.40835276461758
5.62,35.96956836577275,156.55558951435958,81.68457632564423,1657.0395026318927,31.565339535686544
4.32,35.87303067110444,127.57707194979496,78.90166025325449,1640.3029016685364,39.3035377406941
7.92,49.76626913804169,251.57078758149916,118.80551528864306,2544.1649500341123,60.70045236520145
6.41,47.58599431145682,232.2242560961422,115.69943223715491,2377.287454929111,58.53318913549234
9.6,51.838710604238614,331.91902746739646,136.6085242215873,2862.1112562976696,84.50674547872296
8.46,51.43745297854474,290.12683048946565,123.4112854361383,2736.5762136302865,62.674004540602176
7.82,50.1808917030178,296.38314798760183,123.69959322487685,2678.7323052893557,61.7162300106627
7.92,45.0275842234513,246.03757209230736,102.28054132385104,2328.485043831946,42.539430620492325
7.0,45.48542282083349,270.35673587055237,111.53025459712714,2474.8078854262217,58.6624989656838
6.66,45.48542282083349,270.35673587055237,111.53025459712714,2474.8078854262217,58.6624989656838
7.44,43.840096730504605,205.24682836943217,102.9417041952386,2460.093180939183,62.91428004223864
9.31,46.64385403072951,252.14665399725098,109.70232301606016,2752.4842558933856,66.0991416479872
9.88,46.64385403072951,266.29450462350235,115.70496910297327,2752.4842558933856,76.44527825584176
9.05,47.09492143628654,261.669333436164,116.43354284792677,2798.2473262646413,76.91389422747474
9.28,47.11641730649733,317.2605203329924,116.48067960447348,2816.446260840241,98.36270887971772
9.28,44.81678534377495,255.93031831326337,105.01339771010174,2581.1386906111275,87.7352154449711
8.72,44.81678534377495,255.93031831326337,105.01339771010174,2581.1386906111275,87.7352154449711
8.59,45.77263828708152,349.5903096988002,107.44858964462959,2696.7564631304745,107.04196884254202
9.06,45.409119902283955,211.43612675873882,104.78096272997306,2463.6330420148774,62.732360139299495
7.8,45.409119902283955,211.43612675873882,104.78096272997306,2463.6330420148774,62.732360139299495
9.2,45.77263828708152,361.2324254475325,108.63187478415348,2696.7564631304745,106.95324243260687
8.97,45.26368964291357,239.9183590926497,111.68560554126928,2610.3857988661784,76.39075256128845
9.53,45.26368964291357,223.3181615842301,105.37734356881465,2610.3857988661784,64.6050021755245
9.53,45.72837309964133,273.5162612784566,114.74512770754147,2658.5959713594066,76.04844587442685
2.46,34.79120337915893,173.29964574997507,77.84834688996291,1669.9512762162585,68.9631451691091
4.11,34.79120337915893,173.29964574997507,77.84834688996291,1669.9512762162585,68.9631451691091
4.72,28.381988841693246,145.94462225769115,62.29586849864122,1447.0675632337625,91.07509722600032
5.1,29.117345292110677,162.96304945173685,64.30758238341727,1532.326026852494,91.31509547751399
3.27,29.117345292110677,162.96304945173685,64.30758238341727,1532.326026852494,91.31509547751399
2.14,29.83458233510233,184.11928964110535,66.89334858190311,1613.0844902161202,91.67803911061961
4.17,29.117345292110677,147.19932243940082,63.638865931127334,1532.326026852494,91.46879190383741
3.64,33.183941835924195,163.5118227335777,80.62640309476791,1694.7940377899286,73.57516001589406
6.12,34.42233069113711,227.72181769614593,90.13886067618115,1956.828255354386,82.66197112538774
7.19,35.03111982880364,239.70645776185023,91.54072385556057,2020.691797617722,82.92632150093552
6.44,35.03111982880364,239.70645776185023,91.54072385556057,2020.691797617722,82.92632150093552
5.34,35.03111982880364,228.2057074362125,91.07219240251108,2020.691797617722,83.09553554768473
7.46,35.62950831417688,239.77798627399474,92.45452539762452,2082.5978634786384,83.50037248783107
4.48,35.62950831417688,239.77798627399474,92.45452539762452,2082.5978634786384,83.50037248783107
