Activity,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,298.36068984,14694.437399999997,24.004108562636915,141.9459083283279,380.75086812680667,98.55208210941986,1298.602980597656,32.82789831009999,2668.46223557841,55.836343007090015,127.05139518999997,1658.257428393499,500.8623182792969,3965.385526119835,301.3499999999999,82.56727108676455,41.27225385002131,37.044318054055196,81.6629044972073
9.0,399.72824663999995,17604.845,24.69493854117658,219.34753195824067,628.4647591733835,146.21731236945502,2382.9307214179685,28.139996218638522,2839.2021770149195,62.187615209699366,148.66076701999998,1680.0099135679407,846.226733185547,4381.833280793953,393.4861999999999,105.02349143668306,40.78241768806961,38.97757185792876,96.21066939908484
7.64,260.24555816,12833.766999999998,20.432279872959747,166.138285959921,428.44481789443364,114.5039223167868,1399.5618880000002,62.94270230227651,2530.4588124896004,49.050505516529704,156.34935581999997,1659.481440489254,569.4400800000001,3710.545956333448,238.42499999999995,75.39910408071142,68.55106704106494,30.50179756424201,70.22186092307722
7.31,282.47367271999997,14849.776999999998,20.649488719071464,186.69716321886003,493.07788905840687,127.29549639489386,1691.2365320625,62.955818067585916,2746.975416584827,50.319267369939276,162.21306158,1734.329026261897,662.31948146875,4106.236764288257,264.435,78.18703203724944,68.78631715239385,31.187211496060364,73.7529301722989
7.3,657.8430293199999,26354.504,23.618965684868893,253.6120181711015,699.0221455538546,160.46762301072576,3066.9944992931155,65.83090651106703,3619.321004921604,60.64109009603223,288.01664399000003,2205.148568188162,1137.1787448707198,5812.647541007195,447.5759999999999,159.03959070619246,82.48599460838025,38.65308479500698,97.47564371934149
8.54,727.4414055599998,31253.992000000002,27.02669076346811,226.51769140984507,612.5542518861757,135.8255312310981,3084.6520283516384,36.27120042543326,3675.2048462017765,66.24740610177557,275.90773209,2373.618827141232,1172.6578587694028,6110.916161369422,579.156,159.8881473060451,57.83697609947871,46.09113543459306,110.7727983396646
8.52,658.0925665200002,27789.507999999998,24.710272752427773,234.21577043824735,636.256268261373,145.26751142466313,2913.722255681102,35.563691280198974,3623.1384430364737,61.48285010217771,244.87801539,2243.200078757755,1096.8716246386896,5895.985188522907,477.97199999999987,156.52564206980463,55.44342537164712,40.91885145834374,99.93325394732224
8.92,640.6441877999999,26781.502999999997,24.559257219053457,219.5856103535891,604.2436839540127,136.48722300747113,2729.3012414498535,35.402394182423244,3596.9420917097605,61.28827962759615,236.40060083,2185.847220949476,1014.8934958177413,5809.17956885966,464.96699999999987,155.5205158208182,54.79148528119404,40.3988848660455,99.08342555392399
8.92,706.6368994,30505.958000000002,25.42072813151265,244.12837372871044,662.0187055984071,150.45628207737997,3140.007850068009,35.950941969016014,3687.664924575597,62.13603423362555,268.45134428,2366.2645082389454,1191.2622766668464,6114.991505409595,519.4859999999999,158.9672497138528,57.10094172855711,42.945600330301595,102.69331556873601
8.96,873.7315709999998,33837.53799999999,25.152591391550526,272.9845261583744,823.8816532307743,165.64934877443773,3900.808433836276,39.97666786951465,4118.102306273063,65.44108223757739,303.82246843,2407.0733585326284,1355.1486629861904,6815.2397803429485,556.002,194.63500506260536,64.38708500597212,42.44054574837605,109.23209478903168
8.55,659.6263474,27297.403999999995,25.442880288293395,224.18376411110168,623.7953098324994,138.45793535167564,2848.7208421904,35.96496158590133,3650.3849024850315,62.66521148806405,240.52402551,2189.8304455223374,1053.9797880480837,5887.248114816845,482.51099999999985,160.28132433343328,55.508668765596745,42.09636548895879,101.5561951212234
9.22,734.0889702399999,29983.321999999996,24.870240865683307,302.7899415177045,815.8655582153875,188.9746288056574,3798.7249245568237,64.51736070064428,3733.836316848946,62.38552998024147,302.45776264,2321.238151202674,1424.0706510176346,6169.05951530134,504.28799999999984,166.2883943479743,81.96024117338209,41.456725215940544,102.5644933517443
8.0,950.3311864799996,38539.4268,26.185668387590873,247.9118616511923,726.9677232730112,147.2749458896052,3744.354908849396,42.71547425024511,4327.866225232816,68.07917299997499,338.51581983999995,2561.2683379364935,1303.2108147501267,7322.342744794522,619.0026000000001,206.38168295634296,69.71204251201577,44.79418593790941,115.44696345655872
8.11,1033.2419151199997,39294.235,26.76992012730529,301.21482180546195,859.7767797022084,180.32080332357373,4513.931980554596,43.07840966127201,4245.994731975482,69.30960624897119,361.25084707999997,2575.4050380047615,1601.118572771993,7259.780058300045,661.1130000000002,210.2004699045632,71.1238473795553,46.40569686676412,119.2383817359159
7.92,1017.3534449199997,37377.454,25.439040710344518,268.7571019480117,781.1675900893554,160.70526668026514,3989.978754332734,43.34423583035612,4208.701959855615,67.52942290783024,351.4167150099999,2510.3862637789525,1394.166947523137,7136.190148192137,612.5610000000001,210.85433038283895,71.30593087055681,43.425395057730924,114.85176787276721
8.15,668.9364868399998,26363.810799999996,24.313891469394264,187.56046123515668,530.9691408158914,117.58298842042117,2333.5438293020256,39.997661469858066,3673.329393472428,60.80658960330297,245.84982003000002,2182.781837946296,849.424560977104,5863.854551316469,440.5067999999999,162.7768453352415,59.931643194833335,39.62962857673537,96.78279668215833
5.55,186.86191704000004,8101.306999999999,19.513477942059566,96.99224083297173,222.75514367316921,69.80231540895738,634.51852475,62.771937706528256,2022.4448637099583,44.867260801608516,124.93721341999998,1318.2581580643791,283.9510423750001,2784.572969298883,170.90099999999995,64.57136466536652,66.69901347796775,27.590390168498885,60.0652486467841
6.07,196.68203816000002,9109.312,19.751254602611326,110.30204965320146,262.28831124236524,78.09989182510638,774.8945950000001,62.79769274989507,2174.5479444079765,45.89053391180466,131.46413805999998,1411.319627621447,339.0041039375001,3020.421197858835,183.90599999999995,65.69307603380621,67.02635098434203,28.34628963197829,62.27181449098781
6.37,538.58197084,19189.361999999997,21.070702411277548,177.94569187204294,492.12455270232607,116.45979521903092,1848.1658432351685,65.5316645716761,3321.86414980736,53.51751404340992,237.61801106000004,1875.08245454621,690.0606841872101,5037.869539088423,313.9559999999999,151.23736019322632,79.89135147578962,32.514722410009895,81.14098397234284
6.7,245.00578216,11825.761999999999,20.210351997433982,148.20648542226868,375.91092316112685,102.488477458879,1206.5652112500002,62.895624578552926,2389.454288194701,48.27651832589877,148.16205853999998,1581.0945991059612,495.64730487500003,3499.148492708619,225.41999999999996,72.9021049021589,68.05736267898266,29.80062328878374,68.39162751389968
2.7,191.53701944,9560.108,22.052551960385305,84.05630868818044,211.4240758782761,59.0920498409243,654.6577929375,19.693317693691252,2169.194037976688,50.8416677914314,79.09121726999999,1292.47117710901,268.09988684375,3054.0234077924156,223.38,61.33693720619342,26.980444358077946,32.237751982109415,70.88264314343814
2.87,201.35714055999998,10568.113,22.239416663542077,98.02277348716156,250.05974984728348,68.6324938196261,792.513849125,19.951691409703784,2303.1622874137324,51.6441609207177,85.61814190999999,1387.2635883867922,322.0510172500001,3270.4979080361754,236.385,62.51670952531182,27.779807506558143,32.88700593106645,72.76189857336048
4.96,260.24555816,12833.766999999998,20.432279872959747,166.138285959921,428.44481789443364,114.5039223167868,1399.5618880000002,62.94270230227651,2530.4588124896004,49.050505516529704,156.34935581999997,1659.481440489254,569.4400800000001,3710.545956333448,238.42499999999995,75.39910408071142,68.55106704106494,30.50179756424201,70.22186092307722
2.74,245.00578216,11825.761999999999,20.210351997433982,148.20648542226868,375.91092316112685,102.488477458879,1206.5652112500002,62.895624578552926,2389.454288194701,48.27651832589877,148.16205853999998,1581.0945991059612,495.64730487500003,3499.148492708619,225.41999999999996,72.9021049021589,68.05736267898266,29.80062328878374,68.39162751389968
2.96,233.80466055999997,12584.123,22.604004990912365,121.36000803108925,310.30269407516727,84.26822936537289,1033.3052710625002,20.885643775381038,2509.403606865237,52.58890661196682,102.28285374999999,1559.6593550119526,420.89076131249993,3638.1783582627586,262.395,67.3252764329194,30.183247677702344,34.1485017476609,75.61163234912998
2.98,250.77176231999997,13592.127999999999,22.781969850914958,130.66199752293383,332.832286201804,90.20954557794674,1136.103819761719,21.341192735168484,2562.4884972759487,52.85268849591541,110.76026830999999,1639.071634701348,465.0185349472658,3775.23719076782,275.4,69.3760171738867,31.351156246550524,34.76208678805114,76.72189369078424
3.26,543.25707324,20648.162999999997,23.29984333283908,169.16327509368492,482.1569669461345,111.19002639953064,1860.1639068105317,34.681583716637356,3379.303457356439,57.92729620347919,191.77201491,1857.0437215373527,670.9877739055405,5191.660798518043,366.4349999999999,149.88494870834913,51.59277099995083,36.54107547144719,89.44481138668691
3.35,197.24572863999998,10421.289999999999,20.387858001464778,121.04081199349312,318.6058564011808,86.38697580945892,964.8382893906253,19.112253753329828,2286.492847393357,48.08112403824545,84.28270183,1396.017814949286,381.0150227421876,3266.7799663136175,214.76099999999997,61.77424734199726,26.995201522263994,29.780768152450328,67.50674099673306
3.38,239.41070807999995,13445.305,21.028939669036234,153.37281275576655,407.37799897858184,105.86531739014914,1351.1966441406255,20.371573844756206,2598.6653853654225,50.023166515181856,107.47433830999998,1646.4875643850244,536.2325658671874,3818.525126209791,253.77599999999995,67.77818955287671,30.196439655062452,31.83931014485081,72.45640018314461
3.89,256.37780984,14453.31,21.234175598623825,161.28230624319806,426.7504136739306,110.31326901214473,1454.64867925,20.849618462369687,2648.2677968530515,50.3144667804951,115.95175286999998,1721.9000608864555,580.5732225625002,3949.330097563446,266.78099999999995,69.81562784368623,31.363856992785948,32.49652561044026,73.61426459932883
3.22,490.82191731999995,17784.89,21.23417559862383,157.82616760210936,454.818573303691,106.16046935973073,1618.8048157693486,34.08345978185739,3270.049566730981,53.358687733155605,173.73865435,1721.9000608864558,579.6673465333254,4879.338138227151,303.2969999999999,146.19876830438946,49.795223978181035,32.49652561044026,80.39654623178782
3.72,500.53937676,18792.894999999997,21.435519057835872,166.5949013168648,477.3925927247277,110.80368319937297,1751.5948545962522,34.17063116042957,3331.5521490827355,54.0887817107883,180.26557899,1794.1455737166452,631.962145426941,5017.672593771239,316.3019999999999,146.72356411020505,50.232834464912486,33.1407103575044,82.05820757852317
4.28,532.98689676,20808.905,21.82723356024138,181.73092041830697,513.8852313145782,118.64716374405144,1985.1049298107296,34.500968411276254,3435.906182311889,54.95205915376767,196.93029083000002,1930.5427681612057,728.4108767431335,5264.714945592544,342.3119999999999,148.8351611619915,51.60085652052105,34.39290181854389,84.59535739920955
