Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,301.3499999999999,1658.257428393499,3965.385526119835,24.004108562636915,1298.602980597656,37.044318054055196,2668.46223557841,41.27225385002131,32.82789831009999,82.56727108676455,98.55208210941986,500.8623182792969,14694.437399999997,55.836343007090015,81.6629044972073,141.9459083283279
9.0,393.4861999999999,1680.0099135679407,4381.833280793953,24.69493854117658,2382.9307214179685,38.97757185792876,2839.2021770149195,40.78241768806961,28.139996218638522,105.02349143668306,146.21731236945502,846.226733185547,17604.845,62.187615209699366,96.21066939908484,219.34753195824067
7.64,238.42499999999995,1659.481440489254,3710.545956333448,20.432279872959747,1399.5618880000002,30.50179756424201,2530.4588124896004,68.55106704106494,62.94270230227651,75.39910408071142,114.5039223167868,569.4400800000001,12833.766999999998,49.050505516529704,70.22186092307722,166.138285959921
7.31,264.435,1734.329026261897,4106.236764288257,20.649488719071464,1691.2365320625,31.187211496060364,2746.975416584827,68.78631715239385,62.955818067585916,78.18703203724944,127.29549639489386,662.31948146875,14849.776999999998,50.319267369939276,73.7529301722989,186.69716321886003
7.3,447.5759999999999,2205.148568188162,5812.647541007195,23.618965684868893,3066.9944992931155,38.65308479500698,3619.321004921604,82.48599460838025,65.83090651106703,159.03959070619246,160.46762301072576,1137.1787448707198,26354.504,60.64109009603223,97.47564371934149,253.6120181711015
8.54,579.156,2373.618827141232,6110.916161369422,27.02669076346811,3084.6520283516384,46.09113543459306,3675.2048462017765,57.83697609947871,36.27120042543326,159.8881473060451,135.8255312310981,1172.6578587694028,31253.992000000002,66.24740610177557,110.7727983396646,226.51769140984507
8.52,477.97199999999987,2243.200078757755,5895.985188522907,24.710272752427773,2913.722255681102,40.91885145834374,3623.1384430364737,55.44342537164712,35.563691280198974,156.52564206980463,145.26751142466313,1096.8716246386896,27789.507999999998,61.48285010217771,99.93325394732224,234.21577043824735
8.92,464.96699999999987,2185.847220949476,5809.17956885966,24.559257219053457,2729.3012414498535,40.3988848660455,3596.9420917097605,54.79148528119404,35.402394182423244,155.5205158208182,136.48722300747113,1014.8934958177413,26781.502999999997,61.28827962759615,99.08342555392399,219.5856103535891
8.92,519.4859999999999,2366.2645082389454,6114.991505409595,25.42072813151265,3140.007850068009,42.945600330301595,3687.664924575597,57.10094172855711,35.950941969016014,158.9672497138528,150.45628207737997,1191.2622766668464,30505.958000000002,62.13603423362555,102.69331556873601,244.12837372871044
8.96,556.002,2407.0733585326284,6815.2397803429485,25.152591391550526,3900.808433836276,42.44054574837605,4118.102306273063,64.38708500597212,39.97666786951465,194.63500506260536,165.64934877443773,1355.1486629861904,33837.53799999999,65.44108223757739,109.23209478903168,272.9845261583744
8.55,482.51099999999985,2189.8304455223374,5887.248114816845,25.442880288293395,2848.7208421904,42.09636548895879,3650.3849024850315,55.508668765596745,35.96496158590133,160.28132433343328,138.45793535167564,1053.9797880480837,27297.403999999995,62.66521148806405,101.5561951212234,224.18376411110168
9.22,504.28799999999984,2321.238151202674,6169.05951530134,24.870240865683307,3798.7249245568237,41.456725215940544,3733.836316848946,81.96024117338209,64.51736070064428,166.2883943479743,188.9746288056574,1424.0706510176346,29983.321999999996,62.38552998024147,102.5644933517443,302.7899415177045
8.0,619.0026000000001,2561.2683379364935,7322.342744794522,26.185668387590873,3744.354908849396,44.79418593790941,4327.866225232816,69.71204251201577,42.71547425024511,206.38168295634296,147.2749458896052,1303.2108147501267,38539.4268,68.07917299997499,115.44696345655872,247.9118616511923
8.11,661.1130000000002,2575.4050380047615,7259.780058300045,26.76992012730529,4513.931980554596,46.40569686676412,4245.994731975482,71.1238473795553,43.07840966127201,210.2004699045632,180.32080332357373,1601.118572771993,39294.235,69.30960624897119,119.2383817359159,301.21482180546195
7.92,612.5610000000001,2510.3862637789525,7136.190148192137,25.439040710344518,3989.978754332734,43.425395057730924,4208.701959855615,71.30593087055681,43.34423583035612,210.85433038283895,160.70526668026514,1394.166947523137,37377.454,67.52942290783024,114.85176787276721,268.7571019480117
8.15,440.5067999999999,2182.781837946296,5863.854551316469,24.313891469394264,2333.5438293020256,39.62962857673537,3673.329393472428,59.931643194833335,39.997661469858066,162.7768453352415,117.58298842042117,849.424560977104,26363.810799999996,60.80658960330297,96.78279668215833,187.56046123515668
5.55,170.90099999999995,1318.2581580643791,2784.572969298883,19.513477942059566,634.51852475,27.590390168498885,2022.4448637099583,66.69901347796775,62.771937706528256,64.57136466536652,69.80231540895738,283.9510423750001,8101.306999999999,44.867260801608516,60.0652486467841,96.99224083297173
6.07,183.90599999999995,1411.319627621447,3020.421197858835,19.751254602611326,774.8945950000001,28.34628963197829,2174.5479444079765,67.02635098434203,62.79769274989507,65.69307603380621,78.09989182510638,339.0041039375001,9109.312,45.89053391180466,62.27181449098781,110.30204965320146
6.37,313.9559999999999,1875.08245454621,5037.869539088423,21.070702411277548,1848.1658432351685,32.514722410009895,3321.86414980736,79.89135147578962,65.5316645716761,151.23736019322632,116.45979521903092,690.0606841872101,19189.361999999997,53.51751404340992,81.14098397234284,177.94569187204294
6.7,225.41999999999996,1581.0945991059612,3499.148492708619,20.210351997433982,1206.5652112500002,29.80062328878374,2389.454288194701,68.05736267898266,62.895624578552926,72.9021049021589,102.488477458879,495.64730487500003,11825.761999999999,48.27651832589877,68.39162751389968,148.20648542226868
2.7,223.38,1292.47117710901,3054.0234077924156,22.052551960385305,654.6577929375,32.237751982109415,2169.194037976688,26.980444358077946,19.693317693691252,61.33693720619342,59.0920498409243,268.09988684375,9560.108,50.8416677914314,70.88264314343814,84.05630868818044
