Activity,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,1298.602980597656,146.30089999999998,1658.257428393499,82.56727108676455,37.044318054055196,24.004108562636915,57.92706976236028,6014.1709999999985,55.836343007090015,14694.437399999997,141.9459083283279,3965.385526119835,298.36068984,41.27225385002131,32.82789831009999,269.2561360659322,81.6629044972073
9.0,2382.9307214179685,163.7514,1680.0099135679407,105.02349143668306,38.97757185792876,24.69493854117658,71.72114188754168,6562.225599999998,62.187615209699366,17604.845,219.34753195824067,4381.833280793953,399.72824663999995,40.78241768806961,28.139996218638522,421.3194367158121,96.21066939908484
7.64,1399.5618880000002,109.92129999999999,1659.481440489254,75.39910408071142,30.50179756424201,20.432279872959747,51.461518398282365,5772.2676999999985,49.050505516529704,12833.766999999998,166.138285959921,3710.545956333448,260.24555816,68.55106704106494,62.94270230227651,304.81551060752173,70.22186092307722
7.31,1691.2365320625,116.42379999999999,1734.329026261897,78.18703203724944,31.187211496060364,20.649488719071464,52.65354408486567,6276.270199999998,50.319267369939276,14849.776999999998,186.69716321886003,4106.236764288257,282.47367271999997,68.78631715239385,62.955818067585916,343.6938193509517,73.7529301722989
7.3,3066.9944992931155,183.01649999999998,2205.148568188162,159.03959070619246,38.65308479500698,23.618965684868893,105.69417557341862,10179.667799999997,60.64109009603223,26354.504,253.6120181711015,5812.647541007195,657.8430293199999,82.48599460838025,65.83090651106703,447.97672904429015,97.47564371934149
8.54,3084.6520283516384,247.11249999999993,2373.618827141232,159.8881473060451,46.09113543459306,27.02669076346811,105.04548299758798,12238.2732,66.24740610177557,31253.992000000002,226.51769140984507,6110.916161369422,727.4414055599998,57.83697609947871,36.27120042543326,374.6907906880165,110.7727983396646
8.52,2913.722255681102,201.19869999999995,2243.200078757755,156.52564206980463,40.91885145834374,24.710272752427773,104.4937859992049,10722.867999999997,61.48285010217771,27789.507999999998,234.21577043824735,5895.985188522907,658.0925665200002,55.44342537164712,35.563691280198974,400.87714434331554,99.93325394732224
8.92,2729.3012414498535,194.69619999999995,2185.847220949476,155.5205158208182,40.3988848660455,24.559257219053457,104.31186349045801,10218.865499999998,61.28827962759615,26781.502999999997,219.5856103535891,5809.17956885966,640.6441877999999,54.79148528119404,35.402394182423244,381.1923685037444,99.08342555392399
8.92,3140.007850068009,223.44529999999995,2366.2645082389454,158.9672497138528,42.945600330301595,25.42072813151265,104.8533212301897,11974.233,62.13603423362555,30505.958000000002,244.12837372871044,6114.991505409595,706.6368994,57.10094172855711,35.950941969016014,414.96619938563794,102.69331556873601
8.96,3900.808433836276,220.70619999999994,2407.0733585326284,194.63500506260536,42.44054574837605,25.152591391550526,124.85814374163368,12234.8755,65.44108223757739,33837.53799999999,272.9845261583744,6815.2397803429485,873.7315709999998,64.38708500597212,39.97666786951465,520.4291093516167,109.23209478903168
8.55,2848.7208421904,206.52979999999994,2189.8304455223374,160.28132433343328,42.09636548895879,25.442880288293395,108.15229549287595,10350.885599999998,62.66521148806405,27297.403999999995,224.18376411110168,5887.248114816845,659.6263474,55.508668765596745,35.96496158590133,391.3829379994046,101.5561951212234
9.22,3798.7249245568237,207.85509999999996,2321.238151202674,166.2883943479743,41.456725215940544,24.870240865683307,108.03495815148254,11319.6929,62.38552998024147,29983.321999999996,302.7899415177045,6169.05951530134,734.0889702399999,81.96024117338209,64.51736070064428,513.6592680866952,102.5644933517443
8.0,3744.354908849396,243.83839999999995,2561.2683379364935,206.38168295634296,44.79418593790941,26.185668387590873,129.6800892576781,13574.208500000002,68.07917299997499,38539.4268,247.9118616511923,7322.342744794522,950.3311864799996,69.71204251201577,42.71547425024511,439.73070707413405,115.44696345655872
8.11,4513.931980554596,261.28889999999996,2575.4050380047615,210.2004699045632,46.40569686676412,26.76992012730529,130.31255857231224,14122.263100000002,69.30960624897119,39294.235,301.21482180546195,7259.780058300045,1033.2419151199997,71.1238473795553,43.07840966127201,517.424678439041,119.2383817359159
7.92,3989.978754332734,233.71119999999993,2510.3862637789525,210.85433038283895,43.425395057730924,25.439040710344518,130.69831946298717,13242.880500000003,67.52942290783024,37377.454,268.7571019480117,7136.190148192137,1017.3534449199997,71.30593087055681,43.34423583035612,473.68183772905587,114.85176787276721
8.15,2333.5438293020256,186.48729999999998,2182.781837946296,162.7768453352415,39.62962857673537,24.313891469394264,108.18642583895642,9914.1709,60.80658960330297,26363.810799999996,187.56046123515668,5863.854551316469,668.9364868399998,59.931643194833335,39.997661469858066,339.25558801932203,96.78279668215833
5.55,634.51852475,83.9113,1318.2581580643791,64.57136466536652,27.590390168498885,19.513477942059566,46.89676520120246,3756.2577000000006,44.867260801608516,8101.306999999999,96.99224083297173,2784.572969298883,186.86191704000004,66.69901347796775,62.771937706528256,165.01789338712737,60.0652486467841
6.07,774.8945950000001,90.4138,1411.319627621447,65.69307603380621,28.34628963197829,19.751254602611326,47.32677369129971,4260.2602,45.89053391180466,9109.312,110.30204965320146,3020.421197858835,196.68203816000002,67.02635098434203,62.79769274989507,191.33662181293448,62.27181449098781
6.37,1848.1658432351685,129.42879999999997,1875.08245454621,151.23736019322632,32.514722410009895,21.070702411277548,103.94848537465445,7284.275199999997,53.51751404340992,19189.361999999997,177.94569187204294,5037.869539088423,538.58197084,79.89135147578962,65.5316645716761,330.62922011513666,81.14098397234284
6.7,1206.5652112500002,103.41879999999999,1581.0945991059612,72.9021049021589,29.80062328878374,20.210351997433982,50.12069178884418,5268.265199999999,48.27651832589877,11825.761999999999,148.20648542226868,3499.148492708619,245.00578216,68.05736267898266,62.895624578552926,268.13718967640284,68.39162751389968
2.7,654.6577929375,107.4246,1292.47117710901,61.33693720619342,32.237751982109415,22.052551960385305,43.69684029735141,3927.475500000001,50.8416677914314,9560.108,84.05630868818044,3054.0234077924156,191.53701944,26.980444358077946,19.693317693691252,152.49627499743224,70.88264314343814
2.87,792.513849125,113.9271,1387.2635883867922,62.51670952531182,32.88700593106645,22.239416663542077,44.19107807047381,4431.478,51.6441609207177,10568.113,98.02277348716156,3270.4979080361754,201.35714055999998,27.779807506558143,19.951691409703784,179.00551269417275,72.76189857336048
4.96,1399.5618880000002,109.92129999999999,1659.481440489254,75.39910408071142,30.50179756424201,20.432279872959747,51.461518398282365,5772.2676999999985,49.050505516529704,12833.766999999998,166.138285959921,3710.545956333448,260.24555816,68.55106704106494,62.94270230227651,304.81551060752173,70.22186092307722
2.74,1206.5652112500002,103.41879999999999,1581.0945991059612,72.9021049021589,29.80062328878374,20.210351997433982,50.12069178884418,5268.265199999999,48.27651832589877,11825.761999999999,148.20648542226868,3499.148492708619,245.00578216,68.05736267898266,62.895624578552926,268.13718967640284,68.39162751389968
2.96,1033.3052710625002,126.93209999999999,1559.6593550119526,67.3252764329194,34.1485017476609,22.604004990912365,46.3636496235388,5439.482999999999,52.58890661196682,12584.123,121.36000803108925,3638.1783582627586,233.80466055999997,30.183247677702344,20.885643775381038,219.5437638931178,75.61163234912998
2.98,1136.103819761719,133.4346,1639.071634701348,69.3760171738867,34.76208678805114,22.781969850914958,47.05868033921529,5943.485499999999,52.85268849591541,13592.127999999999,130.66199752293383,3775.23719076782,250.77176231999997,31.351156246550524,21.341192735168484,234.27530129197027,76.72189369078424
3.26,1860.1639068105317,152.94209999999995,1857.0437215373527,149.88494870834913,36.54107547144719,23.29984333283908,103.33701369553043,7455.492999999998,57.92729620347919,20648.162999999997,169.16327509368492,5191.660798518043,543.25707324,51.59277099995083,34.681583716637356,323.5304200703904,89.44481138668691
