Activity,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,37.044318054055196,141.9459083283279,2668.46223557841,146.30089999999998,57.92706976236028,127.05139518999997,269.2561360659322,298.36068984,500.8623182792969,1658.257428393499,41.27225385002131,82.56727108676455,380.75086812680667,24.004108562636915,55.836343007090015,81.6629044972073,14694.437399999997,98.55208210941986
9.0,38.97757185792876,219.34753195824067,2839.2021770149195,163.7514,71.72114188754168,148.66076701999998,421.3194367158121,399.72824663999995,846.226733185547,1680.0099135679407,40.78241768806961,105.02349143668306,628.4647591733835,24.69493854117658,62.187615209699366,96.21066939908484,17604.845,146.21731236945502
7.64,30.50179756424201,166.138285959921,2530.4588124896004,109.92129999999999,51.461518398282365,156.34935581999997,304.81551060752173,260.24555816,569.4400800000001,1659.481440489254,68.55106704106494,75.39910408071142,428.44481789443364,20.432279872959747,49.050505516529704,70.22186092307722,12833.766999999998,114.5039223167868
7.31,31.187211496060364,186.69716321886003,2746.975416584827,116.42379999999999,52.65354408486567,162.21306158,343.6938193509517,282.47367271999997,662.31948146875,1734.329026261897,68.78631715239385,78.18703203724944,493.07788905840687,20.649488719071464,50.319267369939276,73.7529301722989,14849.776999999998,127.29549639489386
7.3,38.65308479500698,253.6120181711015,3619.321004921604,183.01649999999998,105.69417557341862,288.01664399000003,447.97672904429015,657.8430293199999,1137.1787448707198,2205.148568188162,82.48599460838025,159.03959070619246,699.0221455538546,23.618965684868893,60.64109009603223,97.47564371934149,26354.504,160.46762301072576
8.54,46.09113543459306,226.51769140984507,3675.2048462017765,247.11249999999993,105.04548299758798,275.90773209,374.6907906880165,727.4414055599998,1172.6578587694028,2373.618827141232,57.83697609947871,159.8881473060451,612.5542518861757,27.02669076346811,66.24740610177557,110.7727983396646,31253.992000000002,135.8255312310981
8.52,40.91885145834374,234.21577043824735,3623.1384430364737,201.19869999999995,104.4937859992049,244.87801539,400.87714434331554,658.0925665200002,1096.8716246386896,2243.200078757755,55.44342537164712,156.52564206980463,636.256268261373,24.710272752427773,61.48285010217771,99.93325394732224,27789.507999999998,145.26751142466313
8.92,40.3988848660455,219.5856103535891,3596.9420917097605,194.69619999999995,104.31186349045801,236.40060083,381.1923685037444,640.6441877999999,1014.8934958177413,2185.847220949476,54.79148528119404,155.5205158208182,604.2436839540127,24.559257219053457,61.28827962759615,99.08342555392399,26781.502999999997,136.48722300747113
8.92,42.945600330301595,244.12837372871044,3687.664924575597,223.44529999999995,104.8533212301897,268.45134428,414.96619938563794,706.6368994,1191.2622766668464,2366.2645082389454,57.10094172855711,158.9672497138528,662.0187055984071,25.42072813151265,62.13603423362555,102.69331556873601,30505.958000000002,150.45628207737997
8.96,42.44054574837605,272.9845261583744,4118.102306273063,220.70619999999994,124.85814374163368,303.82246843,520.4291093516167,873.7315709999998,1355.1486629861904,2407.0733585326284,64.38708500597212,194.63500506260536,823.8816532307743,25.152591391550526,65.44108223757739,109.23209478903168,33837.53799999999,165.64934877443773
